KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001497 : Middlehaven,"4,906","3,054","1,324",178
E05001498 : Nunthorpe,"4,866","4,606",157,27
E05001499 : Pallister,"6,069","5,888",39,62
E05001500 : Park,"5,919","4,786",860,53
E05001501 : Park End,"6,254","6,056",31,48
E05001502 : Stainton and Thornton,"2,890","2,843",13,4
E05001503 : Thorntree,"6,290","6,063",52,67
E05001504 : University,"6,740","3,499","2,425",278
E05008018 : Alnwick,"4,766","4,679",51,4
E05008019 : Amble,"4,565","4,521",16,5
E05008020 : Amble West with Warkworth,"4,172","4,156",5,2
E05008021 : Ashington Central,"4,968","4,852",71,2
E05008022 : Bamburgh,"4,846","4,815",10,2
E05008023 : Bedlington Central,"4,294","4,249",28,2
E05008024 : Bedlington East,"4,844","4,797",22,6
E05008025 : Bedlington West,"5,657","5,560",60,0
E05008026 : Bellingham,"4,074","4,025",20,4
E05008027 : Berwick East,"4,874","4,781",55,4
E05008028 : Berwick North,"4,477","4,397",43,3
E05008029 : Berwick West with Ord,"4,066","4,023",20,11
E05008030 : Bothal,"4,448","4,396",36,2
E05008031 : Bywell,"4,534","4,476",17,3
E05008032 : Chevington with Longhorseley,"5,596","5,332",90,88
E05008033 : Choppington,"4,792","4,731",32,2
E05008034 : College,"5,128","5,056",39,1
E05008035 : Corbridge,"4,191","4,142",15,4
E05008036 : Cowpen,"4,466","4,392",47,1
E05008037 : Cramlington East,"5,440","5,374",28,1
E05008038 : Cramlington Eastfield,"4,928","4,861",22,4
E05008039 : Cramlington North,"5,380","5,306",31,9
E05008040 : Cramlington South East,"3,850","3,814",23,1
E05008041 : Cramlington Village,"4,503","4,467",9,1
E05008042 : Cramlington West,"5,312","5,230",32,4
E05008043 : Croft,"4,692","4,576",68,4
E05008044 : Haltwhistle,"4,832","4,801",11,6
E05008045 : Hartley,"4,923","4,864",26,4
E05008046 : Haydon,"4,639","4,604",17,2
E05008047 : Haydon and Hadrian,"4,454","4,411",13,4
E05008048 : Hexham Central with Acomb,"4,353","4,297",21,1
E05008049 : Hexham East,"4,185","4,108",28,1
E05008050 : Hexham West,"4,559","4,488",17,4
E05008051 : Hirst,"5,572","5,330",179,10
E05008052 : Holywell,"5,039","4,997",5,4
E05008053 : Humshaugh,"4,568","4,538",11,0
E05008054 : Isabella,"4,835","4,766",31,4
E05008055 : Kitty Brewster,"5,494","5,406",59,2
E05008056 : Lesbury,"5,069","5,018",27,2
E05008057 : Longhoughton,"4,424","4,375",19,3
E05008058 : Lynemouth,"4,842","4,787",19,3
E05008059 : Morpeth Kirkhill,"5,207","5,139",28,11
E05008060 : Morpeth North,"4,416","4,344",37,8
E05008061 : Morpeth Stobhill,"4,115","4,008",52,12
E05008062 : Newbiggin Central and East,"4,710","4,658",22,2
E05008063 : Newsham,"4,742","4,647",77,1
E05008064 : Norham and Islandshires,"4,438","4,385",17,9
E05008065 : Pegswood,"3,869","3,806",28,12
E05008066 : Plessey,"3,998","3,968",12,2
E05008067 : Ponteland East,"4,600","4,480",82,2
E05008068 : Ponteland North,"4,454","4,302",105,13
E05008069 : Ponteland South with Heddon,"4,295","4,056",183,5
E05008070 : Ponteland West,"4,406","4,109",235,12
E05008071 : Prudhoe East,"5,829","5,729",57,3
E05008072 : Prudhoe West,"5,024","4,980",23,2
E05008073 : Rothbury,"5,316","5,269",25,3
E05008074 : Seaton with Newbiggin West,"4,632","4,538",65,1
E05008075 : Seghill with Seaton Delaval,"5,460","5,409",32,2
E05008076 : Shilbottle,"4,925","4,902",10,1
E05008077 : Sleekburn,"3,998","3,965",12,4
E05008078 : South Blyth,"4,564","4,532",19,1
E05008079 : South Tynedale,"4,856","4,799",24,6
E05008080 : Stakeford,"4,672","4,634",15,3
E05008081 : Stocksfield and Broomhaugh,"4,799","4,734",30,0
E05008082 : Ulgham,"5,238","5,177",36,1
E05008083 : Wensleydale,"4,548","4,462",49,2
E05008084 : Wooler,"4,266","4,236",10,0
E05001505 : Brotton,"7,000","6,943",18,4
E05001506 : Coatham,"5,326","5,219",50,10
E05001507 : Dormanstown,"6,755","6,663",36,6
E05001508 : Eston,"7,005","6,940",16,7
E05001509 : Grangetown,"5,088","5,015",18,4
E05001510 : Guisborough,"7,622","7,511",52,4
E05001511 : Hutton,"7,191","7,064",64,15
E05001512 : Kirkleatham,"7,045","6,946",32,6
E05001513 : Lockwood,"2,022","2,003",5,2
E05001514 : Loftus,"6,382","6,332",14,3
E05001515 : Longbeck,"7,061","6,986",29,2
E05001516 : Newcomen,"4,359","4,289",39,7
E05001517 : Normanby,"6,930","6,851",33,9
E05001518 : Ormesby,"5,942","5,851",32,3
E05001519 : St Germain's,"6,115","6,049",20,3
E05001520 : Saltburn,"5,958","5,866",32,1
E05001521 : Skelton,"7,454","7,377",26,5
E05001522 : South Bank,"6,548","6,197",258,15
E05001523 : Teesville,"6,517","6,450",14,4
E05001524 : West Dyke,"7,616","7,524",32,11
E05001525 : Westworth,"4,650","4,599",32,0
E05001526 : Zetland,"4,591","4,528",17,1
E05001527 : Billingham Central,"7,244","7,150",29,5
E05001528 : Billingham East,"7,574","7,446",35,16
E05001529 : Billingham North,"9,141","9,004",71,6
E05001530 : Billingham South,"6,762","6,637",41,18
E05001531 : Billingham West,"5,444","5,398",21,4
E05001532 : Bishopsgarth and Elm Tree,"6,689","6,492",150,11
E05001533 : Eaglescliffe,"10,449","10,052",242,30
E05001534 : Fairfield,"5,736","5,579",107,11
E05001535 : Grangefield,"6,717","6,389",201,36
E05001536 : Hardwick,"6,881","6,613",177,20
E05001537 : Hartburn,"6,615","6,404",137,16
E05001538 : Ingleby Barwick East,"10,165","9,383",601,37
E05001539 : Ingleby Barwick West,"10,880","10,204",491,51
E05001540 : Mandale and Victoria,"11,260","9,899",989,115
E05001541 : Newtown,"7,410","7,024",208,74
E05001542 : Northern Parishes,"3,361","3,080",195,10
E05001543 : Norton North,"6,700","6,508",100,19
E05001544 : Norton South,"7,843","7,536",104,66
E05001545 : Norton West,"6,286","6,164",79,9
E05001546 : Parkfield and Oxbridge,"7,840","6,354","1,130",125
E05001547 : Roseworth,"7,500","7,254",129,26
E05001548 : Stainsby Hill,"6,518","6,365",63,30
E05001549 : Stockton Town Centre,"6,512","5,218",755,329
E05001550 : Village,"6,963","6,595",235,36
E05001551 : Western Parishes,"3,375","3,293",44,1
E05001552 : Yarm,"9,745","9,258",298,32
E05001067 : Birtley,"8,367","8,163",117,24
E05001068 : Blaydon,"10,365","10,149",97,18
E05001069 : Bridges,"9,012","7,731",638,214
E05001070 : Chopwell and Rowlands Gill,"9,395","9,263",61,13
E05001071 : Chowdene,"9,091","8,893",92,27
E05001072 : Crawcrook and Greenside,"8,841","8,739",40,8
E05001073 : Deckham,"9,938","9,472",236,70
E05001074 : Dunston and Teams,"9,127","8,454",336,124
E05001075 : Dunston Hill and Whickham East,"9,199","8,994",98,27
E05001076 : Felling,"8,908","8,501",169,94
E05001077 : High Fell,"9,716","9,382",139,77
E05001078 : Lamesley,"8,862","8,690",75,23
E05001079 : Lobley Hill and Bensham,"10,638","9,993",359,76
E05001080 : Low Fell,"8,636","8,434",116,17
E05001081 : Pelaw and Heworth,"9,100","8,853",142,33
"E05001082 : Ryton, Crookhill and Stella","8,146","8,034",48,10
E05001083 : Saltwell,"9,659","8,629",513,149
E05001084 : Wardley and Leam Lane,"8,327","8,121",133,16
E05001085 : Whickham North,"8,451","8,231",127,18
E05001086 : Whickham South and Sunniside,"8,313","8,181",71,4
E05001087 : Windy Nook and Whitehills,"9,781","9,587",92,24
E05001088 : Winlaton and High Spen,"8,342","8,248",39,15
