KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05005657 : Spalding St Paul's,"5,488","5,303",64,31
E05005658 : Spalding Wygate,"4,646","4,524",57,13
E05005659 : Sutton Bridge,"4,454","4,369",24,23
E05005660 : The Saints,"2,539","2,502",12,8
E05005661 : Whaplode and Holbeach St John's,"4,347","4,305",9,0
E05005662 : All Saints,"5,113","4,949",82,18
E05005663 : Aveland,"2,258","2,237",3,6
E05005664 : Barrowby,"1,952","1,923",12,2
E05005665 : Belmont,"5,133","5,038",41,15
E05005666 : Bourne East,"8,401","8,166",100,36
E05005667 : Bourne West,"6,055","5,920",51,30
E05005668 : Deeping St James,"7,051","6,944",40,13
E05005669 : Earlesfield,"7,332","7,100",105,38
E05005670 : Ermine,"2,830","2,773",24,16
E05005671 : Forest,"2,084","2,056",11,1
E05005672 : Glen Eden,"2,417","2,389",12,2
E05005673 : Grantham St John's,"6,076","5,783",141,79
E05005674 : Green Hill,"4,193","4,018",106,21
E05005675 : Greyfriars,"4,084","3,947",89,13
E05005676 : Harrowby,"5,852","5,694",67,20
E05005677 : Heath,"1,887","1,840",14,8
E05005678 : Hillsides,"2,235","2,196",12,5
E05005679 : Isaac Newton,"2,424","2,405",7,5
E05005680 : Lincrest,"2,224","2,194",6,3
E05005681 : Loveden,"2,522","2,504",7,3
E05005682 : Market and West Deeping,"6,263","6,104",70,23
E05005683 : Morkery,"2,444","2,408",10,7
E05005684 : Peascliffe,"2,200","2,174",5,4
E05005685 : Ringstone,"2,938","2,912",8,5
E05005686 : St Anne's,"4,887","4,735",78,25
E05005687 : St George's,"4,019","3,892",68,6
E05005688 : St Mary's,"4,660","4,452",107,26
E05005689 : St Wulfram's,"4,056","3,773",190,31
E05005690 : Saxonwell,"2,383","2,357",12,3
E05005691 : Stamford St John's,"5,909","5,796",43,15
E05005692 : Thurlby,"2,153","2,124",11,5
E05005693 : Toller,"2,633","2,592",10,11
E05005694 : Truesdale,"4,811","4,722",24,13
E05005695 : Witham Valley,"2,309","2,277",14,1
E05005696 : Bardney,"2,057","2,038",3,2
E05005697 : Caistor,"3,234","3,193",14,8
E05005698 : Cherry Willingham,"4,421","4,323",43,24
E05005699 : Dunholme,"2,464","2,429",18,6
E05005700 : Fiskerton,"2,086","2,064",3,5
E05005701 : Gainsborough East,"7,031","6,895",44,31
E05005702 : Gainsborough North,"6,860","6,717",76,12
E05005703 : Gainsborough South-West,"4,617","4,420",82,39
E05005704 : Hemswell,"2,527","2,483",25,2
E05005705 : Kelsey,"2,664","2,613",22,6
E05005706 : Lea,"2,140","2,116",9,2
E05005707 : Market Rasen,"5,417","5,303",44,32
E05005708 : Middle Rasen,"2,978","2,951",5,6
E05005709 : Nettleham,"4,710","4,614",60,7
E05005710 : Saxilby,"5,076","4,993",33,10
E05005711 : Scampton,"3,196","3,149",20,5
E05005712 : Scotter,"4,764","4,673",69,5
E05005713 : Stow,"2,222","2,210",5,0
E05005714 : Sudbrooke,"2,648","2,503",74,12
E05005715 : Thonock,"2,708","2,691",7,1
E05005716 : Torksey,"2,790","2,765",6,1
E05005717 : Waddingham and Spital,"2,452","2,433",2,1
E05005718 : Welton,"5,604","5,489",49,4
E05005719 : Wold View,"2,363","2,324",13,2
E05005720 : Yarborough,"2,221","2,211",2,1
E05005926 : Beanfield,"3,357","3,292",26,7
E05005927 : Central,"2,160","2,113",8,12
E05005928 : Danesholme,"3,864","3,720",56,35
E05005929 : East,"7,086","6,866",81,28
E05005930 : Exeter,"2,257","2,191",16,10
E05005931 : Great Oakley,"2,248","2,152",32,40
E05005932 : Kingswood,"6,815","6,475",108,122
E05005933 : Lodge Park,"3,401","3,306",27,11
E05005934 : Oakley Vale,"9,384","8,223",286,632
E05005935 : Rowlett,"4,484","4,380",30,19
E05005936 : Rural West,"1,692","1,666",5,3
E05005937 : Shire Lodge,"4,402","4,262",33,41
E05005938 : Stanion and Corby Village,"2,565","2,498",21,13
E05005939 : Tower Hill,"4,156","4,030",37,30
E05005940 : Weldon and Gretton,"3,384","3,345",16,5
E05005941 : Abbey North,"9,751","9,261",235,71
E05005942 : Abbey South,"3,475","3,357",81,11
E05005943 : Badby,"1,952","1,930",5,5
E05005944 : Barby and Kilsby,"4,313","3,896",130,151
E05005945 : Boughton and Pitsford,"1,783","1,692",59,11
E05005946 : Brampton,"1,749","1,719",18,7
E05005947 : Braunston,"1,759","1,737",7,0
E05005948 : Brixworth,"6,184","6,018",56,31
E05005949 : Byfield,"1,853","1,827",16,0
E05005950 : Clipston,"2,100","2,056",11,3
E05005951 : Crick,"1,886","1,835",14,6
E05005952 : Drayton,"6,030","5,749",154,49
E05005953 : Flore,"1,899","1,860",25,2
E05005954 : Hill,"5,770","5,509",99,52
E05005955 : Long Buckby,"4,233","4,148",40,4
E05005956 : Moulton,"4,195","4,058",55,17
E05005957 : Ravensthorpe,"1,844","1,813",6,9
E05005958 : Spratton,"1,796","1,754",17,7
E05005959 : Walgrave,"2,047","1,994",21,7
E05005960 : Weedon,"3,361","3,276",30,18
E05005961 : Welford,"1,969","1,937",16,1
E05005962 : West Haddon and Guilsborough,"2,410","2,354",33,6
E05005963 : Woodford,"3,709","3,586",51,11
E05005964 : Yelvertoft,"1,775","1,757",4,2
E05005965 : Barnwell,"1,967","1,934",14,0
E05005966 : Fineshade,"2,051","2,018",9,6
E05005967 : Higham Ferrers Chichele,"3,390","3,305",33,18
E05005968 : Higham Ferrers Lancaster,"5,259","5,049",61,63
E05005969 : Irthlingborough John Pyel,"4,574","4,395",63,32
E05005970 : Irthlingborough Waterloo,"3,961","3,844",21,33
E05005971 : King's Forest,"1,900","1,862",16,3
E05005972 : Lower Nene,"2,147","2,089",20,9
E05005973 : Lyveden,"2,033","2,018",6,4
E05005974 : Oundle,"6,318","6,048",145,35
E05005975 : Prebendal,"2,142","2,102",23,3
E05005976 : Raunds Saxon,"4,702","4,568",56,23
E05005977 : Raunds Windmill,"3,939","3,852",32,20
E05005978 : Rushden Bates,"4,514","4,265",96,69
E05005979 : Rushden Hayden,"7,382","6,991",125,81
E05005980 : Rushden Pemberton,"6,807","6,613",74,50
E05005981 : Rushden Sartoris,"4,347","4,138",96,56
E05005982 : Rushden Spencer,"6,222","5,940",91,82
E05005983 : Stanwick,"2,183","2,136",14,14
E05005984 : Thrapston Lakes,"4,735","4,628",41,13
E05005985 : Thrapston Market,"4,076","3,956",54,13
E05005986 : Woodford,"2,116","2,091",6,3
E05005987 : All Saints,"8,067","7,322",456,112
E05005988 : Avondale Grange,"5,466","5,107",137,94
E05005989 : Barton,"4,887","4,644",137,28
E05008549 : Brambleside,"4,789","4,254",394,41
E05005991 : Burton Latimer,"7,449","7,248",81,37
E05005992 : Desborough Loatland,"5,968","5,707",91,51
E05005993 : Desborough St Giles,"4,729","4,620",28,22
E05005994 : Ise Lodge,"7,287","6,847",280,52
E05005995 : Northfield,"2,659","2,387",162,49
E05005996 : Pipers Hill,"5,405","4,997",243,52
E05008550 : Queen Eleanor and Buccleuch,"2,630","2,583",16,5
E05005998 : Rothwell,"7,694","7,500",77,31
E05005999 : St Michael's and Wicksteed,"7,604","7,103",206,146
E05006000 : St Peter's,"4,754","4,094",427,101
E05006001 : Slade,"6,133","5,954",48,35
E05006002 : Welland,"2,646","2,592",12,17
E05006003 : William Knibb,"5,308","4,781",228,118
E05008824 : Abington,"9,668","7,894",832,533
E05008825 : Billing,"8,457","7,133",507,526
E05008826 : Boothville,"3,843","3,626",111,51
E05008827 : Brookside,"5,441","3,838",619,671
E05008828 : Castle,"13,930","9,893","1,895","1,318"
E05008829 : Delapre and Briar Hill,"14,515","12,558",650,662
E05008830 : East Hunsbury,"10,200","9,067",533,265
E05008831 : Eastfield,"5,308","4,396",332,292
E05008832 : Headlands,"4,614","3,820",346,248
E05008833 : Kings Heath,"4,866","3,972",150,409
E05008834 : Kingsley,"5,386","4,709",263,199
E05008835 : Kingsthorpe,"4,477","4,251",77,55
E05008836 : Nene Valley,"11,180","9,948",652,253
E05008837 : New Duston,"9,818","9,256",209,146
E05008838 : Obelisk,"4,118","3,534",293,172
E05008839 : Old Duston,"7,301","6,782",212,136
E05008840 : Park,"4,503","3,907",404,75
E05008841 : Parklands,"4,450","4,155",98,85
E05008842 : Phippsville,"4,777","4,236",213,160
E05008843 : Rectory Farm,"5,462","4,482",267,450
E05008844 : Riverside,"4,253","3,332",491,285
E05008845 : Rushmills,"4,709","4,047",322,183
E05008846 : St David's,"5,007","4,170",331,272
E05008847 : St James,"5,465","4,276",513,417
E05008848 : Semilong,"5,953","4,688",518,492
E05008849 : Spencer,"5,849","4,252",824,460
E05008850 : Spring Park,"4,294","4,079",107,37
E05008851 : Sunnyside,"4,296","3,652",361,154
E05008852 : Talavera,"11,340","9,065",526,"1,124"
E05008853 : Trinity,"4,267","3,606",301,185
E05008854 : Upton,"5,536","4,867",307,136
E05008855 : West Hunsbury,"4,704","4,165",226,146
E05008856 : Westone,"4,082","3,582",261,144
E05006027 : Astwell,"2,028","1,991",16,2
E05006028 : Blakesley and Cote,"3,442","3,372",26,5
E05006029 : Blisworth and Roade,"4,219","4,119",38,18
E05006030 : Brackley East,"4,357","4,244",45,13
E05006031 : Brackley South,"4,215","4,124",42,8
E05006032 : Brackley West,"4,446","4,342",31,17
E05006033 : Brafield and Yardley,"4,100","4,006",44,3
E05006034 : Cosgrove and Grafton,"2,122","2,082",19,1
E05006035 : Danvers and Wardoun,"3,629","3,578",19,8
E05006036 : Deanshanger,"4,112","3,958",71,28
E05006037 : Grange Park,"4,404","3,823",340,111
E05006038 : Hackleton,"2,258","2,150",48,4
E05006039 : Harpole and Grange,"4,560","4,481",25,8
E05006040 : Heyfords and Bugbrooke,"4,329","4,227",37,7
E05006041 : Kings Sutton,"2,116","2,063",12,11
E05006042 : Kingthorn,"1,675","1,646",3,7
E05006043 : Little Brook,"2,214","2,082",42,29
E05006044 : Middleton Cheney,"3,832","3,776",18,16
E05006045 : Old Stratford,"1,996","1,927",22,7
E05006046 : Salcey,"2,270","2,217",20,9
E05006047 : Silverstone,"2,176","2,128",15,4
E05006048 : Steane,"1,998","1,957",12,6
E05006049 : Tove,"1,681","1,640",15,9
E05006050 : Towcester Brook,"5,837","5,661",78,14
E05006051 : Towcester Mill,"3,415","3,299",55,16
E05006052 : Washington,"1,716","1,686",9,8
E05006053 : Whittlewood,"2,042","1,993",27,7
E05008595 : Brickhill,"5,743","4,763",348,344
E05006055 : Castle,"7,321","5,068","1,605",371
E05006056 : Croyland,"8,239","7,253",293,380
E05006057 : Earls Barton,"5,387","5,256",34,21
E05006058 : Finedon,"4,309","4,169",23,23
E05008596 : Great Doddington and Wilby,"1,747","1,699",16,2
E05006060 : Hemmingwell,"8,272","6,426",852,599
E05006061 : Irchester,"4,745","4,594",64,17
E05006062 : North,"2,263","2,209",16,3
E05008597 : Queensway,"5,818","5,043",145,362
E05006064 : Redwell East,"4,230","3,665",320,162
E05006065 : Redwell West,"3,417","2,974",226,129
E05006066 : South,"2,052","1,996",11,7
E05008598 : Swanspool,"6,047","5,040",469,262
E05006068 : West,"1,731","1,682",16,4
E05006069 : Wollaston,"4,035","3,951",25,10
E05006362 : Hucknall Central,"7,245","7,051",81,41
E05006363 : Hucknall East,"8,156","7,763",151,92
E05006364 : Hucknall North,"6,966","6,813",61,30
E05006365 : Hucknall West,"9,732","9,538",43,33
E05006366 : Jacksdale,"3,158","3,117",22,5
E05006367 : Kirkby in Ashfield Central,"7,108","6,943",68,21
E05006368 : Kirkby in Ashfield East,"6,613","6,457",70,22
E05006369 : Kirkby in Ashfield West,"6,951","6,798",48,31
E05006370 : Selston,"6,753","6,685",15,14
E05006371 : Sutton in Ashfield Central,"11,512","11,247",102,49
E05006372 : Sutton in Ashfield East,"12,663","12,322",165,60
E05006373 : Sutton in Ashfield North,"10,937","10,699",114,22
E05006374 : Sutton in Ashfield West,"11,641","11,415",102,25
E05006375 : Underwood,"2,953","2,916",8,3
E05006376 : Woodhouse,"7,109","6,969",49,24
E05006377 : Beckingham,"2,285","2,263",2,14
E05006378 : Blyth,"2,232","2,202",11,2
E05006379 : Carlton,"5,623","5,561",17,6
E05006380 : Clayworth,"1,892","1,864",8,2
E05006381 : East Markham,"2,485","2,328",121,12
E05006382 : East Retford East,"7,115","6,903",128,17
E05006383 : East Retford North,"6,162","6,041",46,22
E05006384 : East Retford South,"4,215","4,152",29,3
E05006385 : East Retford West,"4,858","4,746",40,7
E05006386 : Everton,"2,283","2,259",7,3
E05006387 : Harworth,"7,948","7,764",92,11
E05006388 : Langold,"2,472","2,453",14,0
E05006389 : Misterton,"2,467","2,454",5,2
E05006390 : Rampton,"2,296","2,211",14,42
E05006391 : Ranskill,"2,417","2,359",12,26
E05006392 : Sturton,"2,289","2,262",5,6
E05006393 : Sutton,"3,109","2,774",126,100
E05006394 : Tuxford and Trent,"4,274","4,222",2,7
E05006395 : Welbeck,"2,092","2,075",5,4
E05006396 : Worksop East,"6,325","6,165",61,21
E05006397 : Worksop North,"9,050","8,780",138,38
E05006398 : Worksop North East,"6,189","6,001",80,39
E05006399 : Worksop North West,"7,653","7,460",66,40
E05006400 : Worksop South,"6,900","6,707",85,31
E05006401 : Worksop South East,"8,232","7,886",141,65
E05006402 : Attenborough,"2,328","2,241",29,10
E05006403 : Awsworth,"2,204","2,157",19,4
E05006404 : Beeston Central,"4,799","4,055",435,106
E05006405 : Beeston North,"5,653","4,519",781,92
E05006406 : Beeston Rylands,"5,516","5,082",219,61
E05006407 : Beeston West,"5,337","4,727",296,75
E05006408 : Bramcote,"7,270","6,300",714,66
E05006409 : Brinsley,"2,327","2,283",9,0
E05006410 : Chilwell East,"5,041","4,709",161,53
E05006411 : Chilwell West,"7,823","7,287",232,104
E05006412 : Cossall and Kimberley,"6,659","6,504",50,22
E05006413 : Eastwood North and Greasley (Beauvale),"3,050","3,009",14,4
E05006414 : Eastwood South,"9,139","8,972",59,10
E05006415 : Greasley (Giltbrook and Newthorpe),"6,233","6,122",63,14
E05006416 : Nuthall East and Strelley,"5,238","4,200",752,84
E05006417 : Nuthall West and Greasley (Watnall),"5,013","4,833",63,30
E05006418 : Stapleford North,"4,772","4,622",50,33
E05006419 : Stapleford South East,"4,998","4,739",97,44
E05006420 : Stapleford South West,"5,471","5,213",101,49
E05006421 : Toton and Chilwell Meadows,"8,238","7,663",326,58
E05006422 : Trowell,"2,378","2,301",33,14
E05006423 : Bestwood Village,"1,969","1,877",25,24
E05006424 : Bonington,"6,786","6,128",218,193
E05006425 : Burton Joyce and Stoke Bardolph,"3,613","3,521",26,15
E05006426 : Calverton,"7,076","6,942",53,10
E05006427 : Carlton,"6,881","6,058",482,118
E05006428 : Carlton Hill,"7,278","6,528",325,195
E05006429 : Daybrook,"5,014","4,630",150,99
E05006430 : Gedling,"6,817","6,515",105,46
E05006431 : Killisick,"2,595","2,450",22,44
E05006432 : Kingswell,"4,892","4,571",147,53
E05006433 : Lambley,"2,164","2,025",99,12
E05006434 : Mapperley Plains,"7,132","6,432",386,133
E05006435 : Netherfield and Colwick,"7,398","6,889",172,94
E05006436 : Newstead,"2,300","2,168",78,16
E05006437 : Phoenix,"4,974","4,679",72,78
E05006438 : Porchester,"7,045","6,484",183,155
E05006439 : Ravenshead,"5,629","5,332",187,32
E05006440 : St James,"4,186","3,962",57,58
E05006441 : St Marys,"6,602","6,242",149,91
E05006442 : Valley,"4,380","4,034",86,90
E05006443 : Woodborough,"1,872","1,811",16,5
E05006444 : Woodthorpe,"6,940","6,378",305,92
E05008857 : Abbott,"2,313","2,259",25,6
E05008858 : Berry Hill,"2,241","2,153",59,9
E05008859 : Brick Kiln,"3,119","3,044",37,13
E05008860 : Broomhill,"3,165","3,057",58,18
E05008861 : Bull Farm and Pleasley Hill,"3,616","3,533",30,18
E05008862 : Carr Bank,"3,334","3,206",34,20
E05008863 : Eakring,"2,715","2,658",24,6
E05008864 : Grange Farm,"2,717","2,571",89,16
E05008865 : Holly,"3,078","3,010",35,5
E05008866 : Hornby,"2,753","2,703",19,11
E05008867 : Kings Walk,"2,872","2,711",88,18
E05008868 : Kingsway,"3,039","2,960",38,8
E05008869 : Ladybrook,"3,426","3,213",108,34
E05008870 : Lindhurst,"2,890","2,795",42,13
E05008871 : Ling Forest,"2,627","2,578",12,9
E05008872 : Manor,"2,617","2,573",9,7
E05008873 : Market Warsop,"3,239","3,197",9,6
E05008874 : Maun Valley,"2,546","2,498",12,10
E05008875 : Meden,"2,722","2,691",9,9
E05008876 : Netherfield,"2,947","2,918",7,3
E05008877 : Newgate,"2,932","2,813",55,21
E05008878 : Newlands,"3,189","3,138",19,2
E05008879 : Oak Tree,"2,839","2,744",35,18
E05008880 : Oakham,"2,646","2,567",45,4
E05008881 : Park Hall,"3,225","3,166",25,10
E05008882 : Peafields,"2,833","2,757",32,1
E05008883 : Penniment,"2,895","2,814",44,2
E05008884 : Portland,"2,307","2,194",55,12
E05008885 : Racecourse,"3,082","3,013",21,20
E05008886 : Ransom Wood,"2,690","2,590",46,8
E05008887 : Sandhurst,"2,854","2,743",58,17
E05008888 : Sherwood,"2,581","2,504",32,6
E05008889 : Warsop Carrs,"3,091","3,047",9,8
E05008890 : Woodhouse,"3,335","3,265",11,14
E05008891 : Woodlands,"2,378","2,289",36,11
E05008892 : Yeoman Hill,"3,613","3,550",22,5
E05006464 : Balderton North,"4,969","4,862",41,24
E05006465 : Balderton West,"4,788","4,682",46,11
E05006466 : Beacon,"7,335","7,068",110,47
E05006467 : Blidworth,"4,457","4,403",19,8
E05006468 : Boughton,"5,038","4,976",29,5
E05006469 : Bridge,"4,926","4,751",72,26
E05006470 : Castle,"4,507","4,323",86,30
E05006471 : Caunton,"2,255","2,225",13,2
E05006472 : Clipstone,"4,665","4,584",31,10
E05006473 : Collingham and Meering,"4,571","4,503",23,10
E05006474 : Devon,"5,701","5,544",52,18
E05006475 : Edwinstowe,"5,188","5,124",12,10
E05006476 : Farndon,"5,947","5,784",73,17
E05006477 : Farnsfield and Bilsthorpe,"8,362","8,203",49,15
E05006478 : Lowdham,"5,614","5,164",134,148
E05006479 : Magnus,"5,231","5,032",73,28
E05006480 : Muskham,"2,458","2,421",10,2
E05006481 : Ollerton,"6,512","6,434",23,24
E05006482 : Rainworth,"6,879","6,776",31,13
E05006483 : Southwell East,"2,395","2,350",11,7
E05006484 : Southwell North,"2,316","2,278",12,3
E05006485 : Southwell West,"3,011","2,916",35,16
E05006486 : Sutton-on-Trent,"2,443","2,420",7,2
E05006487 : Trent,"2,478","2,416",14,21
E05006488 : Winthorpe,"2,771","2,719",30,2
E05006489 : Abbey,"4,564","4,100",304,26
E05006490 : Bingham East,"4,513","4,400",44,14
E05006491 : Bingham West,"4,618","4,448",58,17
E05006492 : Compton Acres,"4,934","3,893",805,63
E05006493 : Cotgrave,"7,203","7,023",57,29
E05006494 : Cranmer,"2,768","2,652",43,31
E05006495 : Edwalton Village,"3,908","3,353",388,30
E05006496 : Gamston,"5,337","4,605",444,75
E05006497 : Gotham,"1,994","1,936",10,5
E05006498 : Keyworth North,"1,637","1,596",20,0
E05006499 : Keyworth South,"5,096","4,983",36,18
E05006500 : Lady Bay,"5,121","4,704",232,37
E05006501 : Leake,"6,480","6,317",73,19
E05006502 : Lutterell,"3,912","3,276",467,36
E05006503 : Manvers,"4,068","3,914",73,12
E05006504 : Melton,"4,720","4,289",283,32
E05006505 : Musters,"4,298","3,739",367,44
E05006506 : Nevile,"1,888","1,862",11,2
E05006507 : Oak,"2,190","2,129",15,7
E05006508 : Ruddington,"7,216","6,837",203,21
E05006509 : Soar Valley,"2,639","2,441",130,18
E05006510 : Stanford,"2,581","2,499",47,5
E05006511 : Thoroton,"2,077","2,045",10,1
E05006512 : Tollerton,"1,883","1,828",35,1
E05006513 : Trent,"4,810","4,626",80,19
E05006514 : Trent Bridge,"4,636","4,111",315,51
E05006515 : Wiverton,"3,817","3,747",28,11
E05006516 : Wolds,"2,221","2,151",36,3
E05001842 : Aylestone,"6,759","6,394",239,34
E05001843 : Backbury,"3,082","3,046",5,5
E05001844 : Belmont,"9,837","9,681",36,13
E05001845 : Bircher,"2,817","2,759",35,4
E05001846 : Bringsty,"2,830","2,804",12,3
E05001847 : Bromyard,"5,880","5,803",21,12
"E05001848 : Burghill, Holmer and Lyde","3,309","3,266",15,5
E05001849 : Castle,"3,094","3,070",7,2
E05001850 : Central,"3,139","2,964",94,17
E05001851 : Credenhill,"3,612","3,570",9,7
E05001852 : Frome,"3,450","3,417",6,5
E05001853 : Golden Cross with Weobley,"2,985","2,941",17,1
E05001854 : Golden Valley North,"3,057","3,017",7,2
E05001855 : Golden Valley South,"3,016","2,995",3,3
E05001856 : Hagley,"3,811","3,763",24,8
E05001857 : Hampton Court,"2,696","2,663",8,6
E05001858 : Hollington,"2,116","2,087",8,3
E05001859 : Hope End,"5,600","5,491",53,7
E05001860 : Kerne Bridge,"3,205","3,165",16,1
E05001861 : Kington Town,"3,240","3,146",52,11
E05001862 : Ledbury,"9,636","9,425",108,33
E05001863 : Leominster North,"5,775","5,720",16,2
E05001864 : Leominster South,"5,916","5,809",54,6
E05001865 : Llangarron,"3,357","3,323",12,2
E05001866 : Mortimer,"3,211","3,174",18,4
E05001867 : Old Gore,"3,144","3,111",12,1
E05001868 : Pembridge and Lyonshall with Titley,"3,124","3,090",23,0
E05001869 : Penyard,"3,290","3,246",12,1
E05001870 : Pontrilas,"3,605","3,559",15,2
E05001871 : Ross-on-Wye East,"4,947","4,894",19,9
E05001872 : Ross-on-Wye West,"5,635","5,547",34,7
E05001873 : St Martins and Hinton,"12,619","12,385",93,21
E05001874 : St Nicholas,"6,900","6,750",49,20
E05001875 : Stoney Street,"2,996","2,947",21,3
E05001876 : Sutton Walls,"3,333","3,291",17,8
E05001877 : Three Elms,"10,377","10,169",96,19
E05001878 : Tupsley,"9,265","8,961",148,27
E05001879 : Upton,"2,818","2,799",2,5
E05001880 : Valletts,"3,372","3,331",13,7
E05001881 : Wormsley Ridge,"2,622","2,596",10,5
E05008136 : Abbey,"3,767","3,660",64,4
E05008137 : Albrighton,"4,628","4,539",41,9
E05008138 : Alveley and Claverley,"4,032","3,993",9,10
E05008139 : Bagley,"4,621","4,523",42,11
E05008140 : Battlefield,"4,193","4,132",25,2
"E05008141 : Bayston Hill, Column and Sutton","11,982","11,796",92,9
E05008142 : Belle Vue,"4,550","4,444",43,6
E05008143 : Bishop's Castle,"3,728","3,675",27,1
E05008144 : Bowbrook,"3,904","3,614",181,32
E05008145 : Bridgnorth East and Astley Abbotts,"6,614","6,496",61,4
E05008146 : Bridgnorth West and Tasley,"6,830","6,748",31,10
E05008147 : Broseley,"4,929","4,885",19,1
E05008148 : Brown Clee,"3,906","3,873",17,2
E05008149 : Burnell,"4,597","4,257",284,13
E05008150 : Castlefields and Ditherington,"4,231","4,098",71,14
E05008151 : Cheswardine,"4,240","4,130",40,22
E05008152 : Chirbury and Worthen,"3,049","3,031",2,3
E05008153 : Church Stretton and Craven Arms,"8,936","8,757",84,19
E05008154 : Clee,"4,595","4,546",21,6
E05008155 : Cleobury Mortimer,"7,226","7,122",60,9
E05008156 : Clun,"3,964","3,903",26,6
E05008157 : Copthorne,"4,105","3,938",99,20
E05008158 : Corvedale,"3,783","3,748",17,2
E05008159 : Ellesmere Urban,"3,835","3,774",27,1
E05008160 : Harlescott,"5,060","4,971",40,11
E05008161 : Highley,"3,605","3,558",25,2
E05008162 : Hodnet,"4,429","4,279",41,50
E05008163 : Llanymynech,"3,988","3,952",14,1
E05008164 : Longden,"3,967","3,906",16,1
E05008165 : Loton,"4,119","4,018",56,12
E05008166 : Ludlow East,"4,129","4,053",26,13
E05008167 : Ludlow North,"3,696","3,632",24,4
E05008168 : Ludlow South,"4,136","4,085",15,3
E05008169 : Market Drayton East,"4,808","4,735",24,5
E05008170 : Market Drayton West,"8,654","8,523",80,6
E05008171 : Meole,"4,375","4,301",29,5
E05008172 : Rea Valley,"4,283","4,227",42,5
E05008173 : Monkmoor,"4,543","4,460",39,4
E05008174 : Much Wenlock,"3,988","3,956",5,1
E05008175 : Oswestry East,"9,056","8,897",91,11
E05008176 : Oswestry South,"4,300","4,163",69,14
E05008177 : Oswestry West,"3,749","3,642",39,28
E05008178 : Porthill,"4,558","4,298",158,16
E05008179 : Prees,"4,281","4,192",39,11
E05008180 : Quarry and Coton Hill,"4,474","4,261",110,18
E05008181 : Radbrook,"3,979","3,818",122,5
E05008182 : Ruyton and Baschurch,"4,174","4,130",13,5
E05008183 : St Martin's,"4,333","4,271",30,3
E05008184 : St Oswald,"4,504","4,442",28,1
"E05008185 : Gobowen, Selattyn and Weston Rhyn","6,866","6,718",95,6
E05008186 : Severn Valley,"4,211","4,144",21,8
E05008187 : Shawbury,"4,666","4,595",34,4
E05008188 : Shifnal North,"4,746","4,672",34,7
E05008189 : Shifnal South and Cosford,"5,248","5,072",54,12
E05008190 : Sundorne,"3,957","3,890",13,5
E05008191 : Tern,"4,411","4,359",15,3
E05008192 : The Meres,"4,590","4,507",47,6
E05008193 : Underdale,"4,495","4,395",42,5
E05008194 : Wem,"8,324","8,150",57,50
E05008195 : Whitchurch North,"7,005","6,910",51,9
E05008196 : Whitchurch South,"4,399","4,351",16,2
E05008197 : Whittington,"4,067","4,003",33,4
E05008198 : Worfield,"3,711","3,656",19,8
E05008714 : Abbey Hulton and Townsend,"9,918","9,530",109,86
"E05008715 : Baddeley, Milton and Norton","17,250","16,828",152,65
E05008716 : Bentilee and Ubberley,"10,779","10,308",113,150
E05008717 : Birches Head and Central Forest Park,"11,322","9,957",758,218
E05008718 : Blurton East,"5,203","4,996",84,48
E05008719 : Blurton West and Newstead,"6,304","5,866",202,109
E05008720 : Boothen and Oak Hill,"5,744","4,909",519,136
E05008721 : Bradeley and Chell Heath,"5,751","5,515",65,88
E05008722 : Broadway and Longton East,"5,261","5,078",102,27
E05008723 : Burslem Central,"6,206","5,275",560,144
E05008724 : Burslem Park,"5,108","4,617",274,71
E05008725 : Dresden and Florence,"5,089","4,033",911,56
E05008726 : Eaton Park,"4,476","4,376",36,23
E05008727 : Etruria and Hanley,"6,719","3,860","2,019",357
E05008728 : Fenton East,"6,269","5,793",291,62
E05008729 : Fenton West and Mount Pleasant,"5,801","5,454",150,88
E05008730 : Ford Green and Smallthorne,"5,827","5,429",156,75
E05008731 : Goldenhill and Sandyford,"5,533","5,168",197,47
E05008732 : Great Chell and Packmoor,"9,997","9,656",132,74
E05008733 : Hanford and Trentham,"11,836","11,333",292,61
E05008734 : Hanley Park and Shelton,"6,467","3,543","2,159",392
E05008735 : Hartshill and Basford,"6,650","5,419",895,120
E05008736 : Hollybush and Longton West,"5,878","5,692",50,52
E05008737 : Joiner's Square,"4,998","3,813",807,161
E05008738 : Lightwood North and Normacot,"5,196","3,387","1,642",56
E05008739 : Little Chell and Stanfield,"6,410","5,503",625,95
E05008740 : Meir Hay,"4,756","4,618",65,37
E05008741 : Meir North,"5,763","5,475",80,100
E05008742 : Meir Park,"4,941","4,784",86,17
E05008743 : Meir South,"5,791","5,312",289,61
E05008744 : Moorcroft,"5,406","2,984","1,789",200
E05008745 : Penkhull and Stoke,"6,518","5,610",592,114
E05008746 : Sandford Hill,"6,378","6,048",180,40
E05008747 : Sneyd Green,"5,342","4,852",240,85
E05008748 : Springfields and Trent Vale,"6,816","6,048",531,104
E05008749 : Tunstall,"6,232","4,688","1,237",109
E05008750 : Weston Coyney,"5,073","4,955",53,13
E05001882 : Apley Castle,"3,058","2,634",349,26
