KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05005393 : Hardhorn,"2,995",570,364,968
E05005394 : High Cross,"3,061",690,403,795
E05005395 : Jubilee,"3,486","1,268",466,586
E05005396 : Mount,"3,259","1,199",475,374
E05005397 : Norcross,"3,124",789,409,681
E05005398 : Park,"3,333",967,567,465
E05005399 : Pharos,"4,537","1,449",743,573
E05005400 : Pilling,"1,907",454,239,505
E05005401 : Preesall,"4,942","1,461",632,959
E05005402 : Rossall,"5,255","1,910",823,770
E05005403 : Staina,"5,096","1,093",670,"1,303"
E05005404 : Tithebarn,"3,398",630,432,"1,032"
E05005405 : Victoria,"5,074","1,137",673,"1,248"
E05005406 : Warren,"4,786","1,434",783,709
E05005407 : Wyresdale,"1,693",318,208,602
E05000865 : Cherryfield,"5,955","2,044",979,814
E05000866 : Halewood North,"5,217",749,830,"1,465"
E05000867 : Halewood South,"5,590","1,942",838,894
E05000868 : Halewood West,"5,451","2,051",751,801
E05000869 : Kirkby Central,"5,301","2,324",870,457
E05000870 : Longview,"6,720","2,668","1,034",840
E05000871 : Northwood,"5,597","2,477",834,548
E05000872 : Page Moss,"5,517","2,549",861,433
E05000873 : Park,"5,369","2,245",819,615
E05000874 : Prescot East,"6,043","2,046",934,935
E05000875 : Prescot West,"5,483","1,726",742,"1,106"
E05000876 : Roby,"6,160","1,419",811,"1,517"
E05000877 : St Bartholomews,"5,847","1,881",845,956
E05000878 : St Gabriels,"5,318","1,747",771,914
E05000879 : St Michaels,"5,580","2,099",875,727
E05000880 : Shevington,"5,386","1,360",897,998
E05000881 : Stockbridge,"4,925","2,377",750,401
E05000882 : Swanside,"5,417","1,434",822,"1,090"
E05000883 : Whiston North,"5,649","1,670",838,"1,091"
E05000884 : Whiston South,"5,858","1,796",929,"1,028"
E05000885 : Whitefield,"4,842","2,043",744,490
E05000886 : Allerton and Hunts Cross,"12,505","3,004","1,618","3,472"
E05000887 : Anfield,"11,728","4,261","2,004","1,401"
E05000888 : Belle Vale,"12,247","4,934","1,729","1,473"
E05000889 : Central,"19,455","1,847","1,094","5,684"
E05000890 : Childwall,"11,469","2,213","1,371","3,502"
E05000891 : Church,"11,810","1,711","1,107","5,286"
E05000892 : Clubmoor,"12,322","5,079","1,925","1,225"
E05000893 : County,"11,438","4,270","1,764","1,320"
E05000894 : Cressington,"12,161","2,871","1,480","3,818"
E05000895 : Croxteth,"11,515","3,647","1,691","2,045"
E05000896 : Everton,"12,202","5,777","1,622","1,392"
E05000897 : Fazakerley,"13,532","4,003","2,202","2,301"
E05000898 : Greenbank,"14,836","1,914",779,"4,229"
E05000899 : Kensington and Fairfield,"12,595","4,223","1,668","2,296"
E05000900 : Kirkdale,"13,682","5,524","1,626","1,978"
E05000901 : Knotty Ash,"10,823","3,639","1,550","1,904"
E05000902 : Mossley Hill,"11,896","1,852","1,105","4,512"
E05000903 : Norris Green,"11,686","4,829","1,738","1,250"
E05000904 : Old Swan,"13,299","4,361","2,050","2,272"
E05000905 : Picton,"14,084","3,994","1,454","2,945"
E05000906 : Princes Park,"14,005","4,100","1,431","3,810"
E05000907 : Riverside,"15,998","4,326","1,546","4,906"
E05000908 : St Michael's,"11,576","2,122",987,"5,041"
E05000909 : Speke-Garston,"15,775","6,144","2,638","1,690"
E05000910 : Tuebrook and Stoneycroft,"13,389","4,174","2,091","2,247"
E05000911 : Warbreck,"13,553","3,919","2,195","2,301"
E05000912 : Wavertree,"12,465","2,814","1,412","3,813"
E05000913 : West Derby,"11,977","3,130","1,704","2,685"
E05000914 : Woolton,"11,132","2,478","1,141","3,998"
E05000915 : Yew Tree,"13,160","4,372","1,937","2,330"
E05000932 : Ainsdale,"10,197","2,265","1,231","3,026"
E05000933 : Birkdale,"10,540","1,948","1,427","3,113"
E05000934 : Blundellsands,"9,505","1,587","1,094","3,567"
E05000935 : Cambridge,"10,598","2,903","1,240","2,793"
E05000936 : Church,"10,080","2,581","1,357","2,445"
E05000937 : Derby,"9,827","3,450","1,673","1,212"
E05000938 : Duke's,"11,724","2,913","1,301","3,307"
E05000939 : Ford,"10,073","3,294","1,727","1,363"
E05000940 : Harington,"9,923","1,376","1,094","4,043"
E05000941 : Kew,"10,081","2,148","1,478","2,530"
E05000942 : Linacre,"9,792","3,858","1,521","1,023"
E05000943 : Litherland,"9,000","2,811","1,543","1,221"
E05000944 : Manor,"10,578","2,685","1,421","2,652"
E05000945 : Meols,"10,330","2,237","1,329","2,701"
E05000946 : Molyneux,"10,725","2,685","1,686","2,222"
E05000947 : Netherton and Orrell,"10,145","3,207","1,739","1,431"
E05000948 : Norwood,"11,710","2,546","1,650","2,819"
E05000949 : Park,"10,153","2,376","1,309","2,684"
E05000950 : Ravenmeols,"10,097","1,926","1,220","3,256"
E05000951 : St Oswald,"9,701","3,556","1,674","1,098"
E05000952 : Sudell,"10,835","2,558","1,510","2,660"
E05000953 : Victoria,"10,821","2,011","1,450","3,324"
E05000916 : Billinge and Seneley Green,"9,310","2,107","1,174","2,540"
E05000917 : Blackbrook,"8,770","2,539","1,387","1,348"
E05000918 : Bold,"7,717","2,446","1,266","1,289"
E05000919 : Earlestown,"8,610","2,459","1,299","1,599"
E05000920 : Eccleston,"9,639","1,771","1,069","3,366"
E05000921 : Haydock,"9,339","2,762","1,441","1,486"
E05000922 : Moss Bank,"8,872","2,562","1,241","1,638"
E05000923 : Newton,"9,033","2,047","1,248","2,243"
E05000924 : Parr,"9,457","3,965","1,562",879
E05000925 : Rainford,"6,679","1,396",790,"2,195"
E05000926 : Rainhill,"9,248","2,243","1,159","2,490"
E05000927 : Sutton,"9,907","2,960","1,530","1,567"
E05000928 : Thatto Heath,"9,718","2,946","1,476","1,773"
E05000929 : Town Centre,"8,928","3,216","1,398","1,254"
E05000930 : West Park,"9,389","2,516","1,345","1,890"
E05000931 : Windle,"8,756","2,015","1,137","2,367"
E05000954 : Bebington,"12,766","2,632","1,597","3,541"
E05000955 : Bidston and St James,"11,670","4,457","1,843","1,447"
E05000956 : Birkenhead and Tranmere,"12,250","3,816","2,080","1,685"
E05000957 : Bromborough,"12,098","3,047","1,820","2,649"
E05000958 : Clatterbridge,"12,099","2,013","1,363","4,131"
E05000959 : Claughton,"12,077","2,912","1,611","3,001"
E05000960 : Eastham,"11,469","2,542","1,576","2,703"
"E05000961 : Greasby, Frankby and Irby","11,784","1,951","1,364","3,869"
E05000962 : Heswall,"11,220","1,402","1,025","5,314"
E05000963 : Hoylake and Meols,"11,052","1,641","1,044","4,578"
E05000964 : Leasowe and Moreton East,"11,647","3,506","1,832","1,822"
E05000965 : Liscard,"12,588","3,398","1,958","2,325"
E05000966 : Moreton West and Saughall Massie,"11,602","2,973","1,686","2,357"
E05000967 : New Brighton,"12,174","2,651","1,789","3,105"
E05000968 : Oxton,"11,958","2,323","1,431","3,622"
E05000969 : Pensby and Thingwall,"10,929","2,296","1,329","3,198"
E05000970 : Prenton,"11,915","2,691","1,590","2,876"
E05000971 : Rock Ferry,"11,179","3,535","1,840","1,532"
E05000972 : Seacombe,"11,825","3,653","2,082","1,408"
E05000973 : Upton,"13,083","3,816","1,874","2,568"
E05000974 : Wallasey,"12,579","2,140","1,790","3,579"
E05000975 : West Kirby and Thurstaston,"10,534","1,619","1,046","4,499"
E05001687 : Beverley Rural,"11,863","1,821","1,314","4,318"
E05001688 : Bridlington Central and Old Town,"8,847","3,027","1,342","1,228"
E05001689 : Bridlington North,"11,748","3,961","1,375","2,195"
E05001690 : Bridlington South,"12,226","4,283","1,809","1,791"
E05001691 : Cottingham North,"7,635","1,185",716,"2,262"
E05001692 : Cottingham South,"7,552","1,914",845,"2,135"
E05001693 : Dale,"14,676","2,264","1,719","5,205"
E05001694 : Driffield and Rural,"12,715","3,077","1,772","2,989"
E05001695 : East Wolds and Coastal,"12,053","2,917","1,536","3,111"
E05001696 : Goole North,"8,801","2,594","1,358","1,329"
E05001697 : Goole South,"8,114","2,570","1,406",934
E05001698 : Hessle,"12,331","2,617","1,615","3,163"
E05001699 : Howden,"4,063",875,536,"1,189"
E05001700 : Howdenshire,"12,367","2,709","1,802","3,154"
E05001701 : Mid Holderness,"11,704","2,786","1,610","2,709"
E05001702 : Minster and Woodmansey,"13,176","2,828","1,552","4,043"
E05001703 : North Holderness,"8,636","2,324","1,116","2,025"
E05001704 : Pocklington Provincial,"13,315","2,744","1,716","3,993"
E05001705 : St Mary's,"13,283","2,303","1,387","4,925"
"E05001706 : Snaith, Airmyn, Rawcliffe and Marshland","8,052","1,982","1,121","1,808"
E05001707 : South East Holderness,"12,390","3,699","1,800","2,218"
E05001708 : South Hunsley,"8,074","1,129",816,"3,361"
E05001709 : South West Holderness,"12,067","2,945","1,789","2,482"
E05001710 : Tranby,"8,133","1,959","1,110","1,814"
E05001711 : Willerby and Kirk Ella,"11,374","1,951","1,354","3,658"
E05001712 : Wolds Weighton,"13,138","2,571","1,712","3,965"
E05001664 : Avenue,"11,154","1,946","1,146","3,955"
E05001665 : Beverley,"7,356","1,697",886,"1,538"
E05001666 : Boothferry,"9,948","2,678","1,516","1,648"
E05001667 : Bransholme East,"7,471","3,015","1,392",497
E05001668 : Bransholme West,"6,372","2,962",997,400
E05001669 : Bricknell,"6,830","1,480",940,"1,711"
E05001670 : Derringham,"9,364","2,664","1,472","1,272"
E05001671 : Drypool,"10,571","3,023","1,627","2,048"
E05001672 : Holderness,"10,787","2,431","1,828","1,768"
E05001673 : Ings,"9,903","3,622","1,383","1,260"
E05001674 : Kings Park,"7,855","1,495","1,224","1,715"
E05001675 : Longhill,"9,293","3,727","1,517",785
E05001676 : Marfleet,"10,551","4,642","1,753",688
E05001677 : Myton,"13,406","4,610","1,708","2,378"
E05001678 : Newington,"8,816","3,086","1,393",995
E05001679 : Newland,"10,669","1,896",875,"2,340"
E05001680 : Orchard Park and Greenwood,"10,234","4,743","1,753",585
E05001681 : Pickering,"9,303","3,553","1,371","1,056"
E05001682 : St Andrew's,"6,530","2,625",889,698
E05001683 : Southcoates East,"6,253","2,698",959,491
E05001684 : Southcoates West,"6,529","2,035","1,105",683
E05001685 : Sutton,"10,284","3,098","1,673","1,429"
E05001686 : University,"8,561","2,125",955,"1,747"
E05001713 : Croft Baker,"9,841","3,177","1,491","1,434"
E05001714 : East Marsh,"9,350","3,935","1,710",633
E05001715 : Freshney,"8,027","2,420","1,351","1,179"
E05001716 : Haverstoe,"8,475","2,164","1,116","1,897"
E05001717 : Heneage,"9,493","2,703","1,743","1,286"
E05001718 : Humberston and New Waltham,"9,187","2,435","1,238","1,909"
E05001719 : Immingham,"9,325","2,858","1,700","1,106"
E05001720 : Park,"10,101","2,221","1,428","2,511"
E05001721 : Scartho,"8,576","2,041","1,184","1,916"
E05001722 : Sidney Sussex,"9,934","2,930","1,950","1,152"
E05001723 : South,"9,590","3,968","1,616",814
E05001724 : Waltham,"5,934","1,420",709,"1,464"
E05001725 : West Marsh,"6,121","2,131","1,154",607
E05001726 : Wolds,"6,055","1,187",811,"1,766"
E05001727 : Yarborough,"9,368","2,619","1,615","1,296"
E05001728 : Ashby,"9,643","2,679","1,724","1,486"
E05001729 : Axholme Central,"5,933","1,301",764,"1,703"
E05001730 : Axholme North,"6,771","1,762","1,071","1,304"
E05001731 : Axholme South,"5,920","1,333",796,"1,532"
E05001732 : Barton,"8,957","2,324","1,424","1,866"
E05001733 : Bottesford,"9,339","1,936","1,433","2,048"
E05001734 : Brigg and Wolds,"9,550","2,462","1,299","2,279"
E05001735 : Broughton and Appleby,"5,631","1,373",869,"1,248"
E05001736 : Brumby,"9,158","3,037","1,746","1,002"
E05001737 : Burringham and Gunness,"3,293","1,138",498,443
E05001738 : Burton upon Stather and Winterton,"9,271","2,079","1,367","2,141"
E05001739 : Crosby and Park,"10,339","3,139","1,820","1,372"
E05001740 : Ferry,"9,255","2,263","1,432","2,006"
E05001741 : Frodingham,"6,438","2,036","1,274",640
E05001742 : Kingsway with Lincoln Gardens,"9,153","2,424","1,475","1,683"
E05001743 : Ridge,"10,713","2,385","1,462","2,701"
E05001744 : Town,"6,741","1,962","1,044","1,129"
E05001745 : Acomb,"6,952","1,675",845,"1,716"
E05001746 : Bishopthorpe,"3,262",587,338,"1,288"
E05001747 : Clifton,"11,395","2,279","1,133","3,737"
E05001748 : Derwent,"2,993",553,337,"1,100"
E05001749 : Dringhouses and Woodthorpe,"9,224","1,739","1,082","3,089"
E05001750 : Fishergate,"8,580",945,682,"3,287"
E05001751 : Fulford,"2,337",450,244,888
E05001752 : Guildhall,"8,246","1,045",632,"3,243"
E05001753 : Haxby and Wigginton,"10,179","1,986","1,239","3,103"
E05001754 : Heslington,"4,619",118,116,917
E05001755 : Heworth,"11,415","2,339","1,239","3,225"
E05001756 : Heworth Without,"3,170",647,324,"1,002"
E05001757 : Holgate,"10,643","1,840","1,219","3,707"
E05001758 : Hull Road,"9,251","1,458",750,"2,315"
E05001759 : Huntington and New Earswick,"10,263","2,618","1,345","2,378"
E05001760 : Micklegate,"10,712","1,372",841,"5,368"
E05001761 : Osbaldwick,"3,025",615,328,713
E05001762 : Rural West York,"8,631","1,160",816,"3,636"
"E05001763 : Skelton, Rawcliffe and Clifton Without","10,715","1,882","1,360","3,469"
E05001764 : Strensall,"6,508","1,059",789,"2,140"
E05001765 : Westfield,"10,892","3,022","1,642","2,217"
E05001766 : Wheldrake,"3,263",474,335,"1,337"
E05006189 : Aire Valley with Lothersdale,"2,996",465,296,"1,177"
E05006190 : Barden Fell,"1,377",178,128,568
E05006191 : Bentham,"3,052",582,391,972
E05006192 : Cowling,"1,847",267,242,597
E05006193 : Embsay-with-Eastby,"1,556",233,168,620
E05006194 : Gargrave and Malhamdale,"2,603",489,267,941
E05006195 : Glusburn,"3,314",754,405,827
E05006196 : Grassington,"1,385",241,146,527
E05006197 : Hellifield and Long Preston,"1,811",381,224,510
E05006198 : Ingleton and Clapham,"3,257",732,364,"1,011"
E05006199 : Penyghent,"1,562",300,161,556
E05006200 : Settle and Ribblebanks,"3,066",730,388,925
E05006201 : Skipton East,"2,856",594,353,748
E05006202 : Skipton North,"2,928",466,252,"1,256"
E05006203 : Skipton South,"3,012",886,441,600
E05006204 : Skipton West,"3,255",805,492,787
E05006205 : Sutton-in-Craven,"3,034",682,354,826
E05006206 : Upper Wharfedale,"1,630",307,169,618
E05006207 : West Craven,"1,620",264,177,597
E05006208 : Bedale,"3,875",855,511,989
E05006209 : Brompton,"1,755",374,229,487
E05006210 : Broughton and Greenhow,"1,427",213,129,629
E05006211 : Cowtons,"1,519",244,191,564
E05006212 : Crakehall,"1,461",284,206,455
E05006213 : Easingwold,"3,906",862,386,"1,279"
E05006214 : Great Ayton,"4,230",923,447,"1,514"
E05006215 : Helperby,"1,552",254,171,529
E05006216 : Huby and Sutton,"1,554",278,181,544
E05006217 : Leeming,"2,705",270,320,692
E05006218 : Leeming Bar,"1,662",363,204,509
E05006219 : Morton-on-Swale,"1,474",253,164,512
E05006220 : Northallerton Broomfield,"3,744",671,440,"1,256"
E05006221 : Northallerton Central,"3,852",891,704,701
E05006222 : Northallerton North,"3,055",862,396,662
E05006223 : Osmotherley,"1,488",254,157,591
E05006224 : Romanby,"3,291",668,405,964
E05006225 : Rudby,"2,981",417,282,"1,315"
E05006226 : Shipton,"2,107",297,236,753
E05006227 : Sowerby,"3,495",852,451,958
E05006228 : Stillington,"1,588",281,186,596
E05006229 : Stokesley,"4,603",913,419,"1,814"
E05006230 : Swainby,"1,557",229,163,686
E05006231 : Tanfield,"1,526",270,196,512
E05006232 : Thirsk,"4,971","1,331",693,"1,102"
E05006233 : Thorntons,"1,545",239,157,623
E05006234 : Tollerton,"1,658",281,187,629
E05006235 : Topcliffe,"2,106",324,322,570
E05006236 : White Horse,"1,751",297,190,689
E05006237 : Whitestonecliffe,"1,601",286,146,612
E05006238 : Bilton,"4,429",805,623,"1,211"
E05006239 : Bishop Monkton,"2,328",394,260,839
E05006240 : Boroughbridge,"2,591",574,308,694
E05006241 : Claro,"2,605",403,304,"1,012"
E05006242 : Granby,"5,089","1,137",683,"1,379"
E05006243 : Harlow Moor,"4,730",651,380,"2,153"
E05006244 : High Harrogate,"5,318",649,649,"2,073"
E05006245 : Hookstone,"4,640",800,559,"1,613"
E05006246 : Killinghall,"2,649",425,315,922
E05006247 : Kirkby Malzeard,"2,528",457,276,933
E05006248 : Knaresborough East,"4,105",879,560,"1,083"
E05006249 : Knaresborough King James,"4,288",709,451,"1,585"
E05006250 : Knaresborough Scriven Park,"4,370",767,533,"1,502"
E05006251 : Low Harrogate,"5,299",701,482,"2,112"
E05006252 : Lower Nidderdale,"2,632",429,349,929
E05006253 : Marston Moor,"2,337",351,260,898
E05006254 : Mashamshire,"1,983",429,218,611
E05006255 : Newby,"2,577",497,309,817
E05006256 : New Park,"4,533",827,628,"1,237"
E05006257 : Nidd Valley,"2,568",403,279,894
E05006258 : Ouseburn,"2,838",417,309,"1,022"
E05006259 : Pannal,"4,483",470,391,"2,157"
E05006260 : Pateley Bridge,"2,285",449,316,738
E05006261 : Ribston,"2,549",441,271,983
E05006262 : Ripon Minster,"4,377","1,063",575,"1,044"
E05006263 : Ripon Moorside,"4,099","1,046",607,829
E05006264 : Ripon Spa,"5,076",804,640,"1,560"
E05006265 : Rossett,"5,037",639,496,"2,237"
E05006266 : Saltergate,"4,682",670,710,"1,303"
E05006267 : Spofforth with Lower Wharfedale,"2,515",344,247,"1,097"
E05006268 : Starbeck,"5,103","1,157",716,"1,249"
E05006269 : Stray,"4,603",490,345,"2,365"
E05006270 : Washburn,"2,600",372,245,"1,142"
E05006271 : Wathvale,"2,672",393,367,827
E05006272 : Woodfield,"4,518","1,270",619,952
E05006273 : Addlebrough,"1,168",220,131,406
E05006274 : Barton,"1,037",192,125,371
E05006275 : Bolton Castle,"1,094",194,126,401
E05006276 : Brompton-on-Swale and Scorton,"2,511",512,329,742
E05006277 : Catterick,"2,677",479,468,509
E05006278 : Colburn,"3,789",847,755,583
E05006279 : Croft,"1,056",189,102,386
E05006280 : Gilling West,"1,011",191,133,336
E05006281 : Hawes and High Abbotside,"1,152",275,182,270
E05006282 : Hipswell,"4,034",408,900,759
E05006283 : Hornby Castle,"1,383",197,184,444
E05006284 : Leyburn,"2,245",581,275,580
E05006285 : Lower Wensleydale,"1,174",227,142,417
E05006286 : Melsonby,"1,173",182,137,474
E05006287 : Middleham,"1,114",243,177,286
E05006288 : Middleton Tyas,"1,009",223,106,374
E05006289 : Newsham with Eppleby,"1,112",195,120,411
E05006290 : Penhill,"1,004",204,112,359
E05006291 : Reeth and Arkengarthdale,"1,048",185,126,378
E05006292 : Richmond Central,"2,366",589,288,630
E05006293 : Richmond East,"2,175",393,222,765
E05006294 : Richmond West,"2,407",499,311,762
E05006295 : Scotton,"4,017",542,856,517
E05006296 : Swaledale,942,158,112,353
E05006297 : Amotherby,"1,638",342,214,469
E05006298 : Ampleforth,"1,644",261,150,590
E05006299 : Cropton,"1,290",265,133,413
E05006300 : Dales,"1,210",198,122,431
E05006301 : Derwent,"2,863",568,343,971
E05006302 : Helmsley,"2,651",655,347,749
E05006303 : Hovingham,"1,441",313,146,483
E05006304 : Kirkbymoorside,"2,901",693,342,813
E05006305 : Malton,"4,125","1,178",547,"1,015"
E05006306 : Norton East,"3,199","1,063",547,432
E05006307 : Norton West,"2,856",694,471,607
E05006308 : Pickering East,"2,768",776,318,684
E05006309 : Pickering West,"2,980",809,378,655
E05006310 : Rillington,"1,457",432,175,280
E05006311 : Ryedale South West,"1,438",256,178,516
E05006312 : Sherburn,"1,622",414,211,329
E05006313 : Sheriff Hutton,"1,455",233,167,553
E05006314 : Sinnington,"1,431",272,156,515
E05006315 : Thornton Dale,"2,797",638,322,880
E05006316 : Wolds,"1,434",309,160,408
E05006317 : Castle,"4,115","1,166",558,810
E05006318 : Cayton,"3,619",985,493,695
E05006319 : Central,"3,878",854,634,663
E05006320 : Danby,"1,769",317,156,673
E05006321 : Derwent Valley,"3,783",763,447,"1,129"
E05006322 : Eastfield,"4,237","1,544",726,362
E05006323 : Esk Valley,"3,682",741,408,"1,178"
E05006324 : Falsgrave Park,"3,937","1,210",483,804
E05006325 : Filey,"5,654","1,880",739,"1,005"
E05006326 : Fylingdales,"1,837",425,228,518
E05006327 : Hertford,"4,214","1,154",543,944
E05006328 : Lindhead,"1,899",409,211,565
E05006329 : Mayfield,"3,848","1,134",531,744
E05006330 : Mulgrave,"2,924",726,398,784
E05006331 : Newby,"5,257","1,113",677,"1,252"
E05006332 : North Bay,"3,994",954,597,800
E05006333 : Northstead,"3,330",829,432,675
E05006334 : Ramshill,"4,083",949,449,"1,032"
"E05006335 : Scalby, Hackness and Staintondale","3,448",693,307,"1,251"
E05006336 : Seamer,"3,843",852,480,873
E05006337 : Stepney,"3,707",940,449,891
E05006338 : Streonshalh,"3,786","1,245",584,603
E05006339 : Weaponness,"3,481",761,299,"1,083"
E05006340 : Whitby West Cliff,"3,499",980,438,774
E05006341 : Woodlands,"3,578","1,131",514,634
E05006342 : Appleton Roebuck,"1,487",221,187,624
E05006343 : Barlby,"3,376",736,570,626
E05006344 : Brayton,"5,023",968,638,"1,339"
E05006345 : Camblesforth,"3,516",731,477,840
E05006346 : Cawood with Wistow,"3,754",581,464,"1,393"
E05006347 : Eggborough,"3,066",737,481,648
E05006348 : Fairburn with Brotherton,"2,953",780,435,656
E05006349 : Hambleton,"4,422",847,604,"1,166"
E05006350 : Hemingbrough,"3,328",618,480,921
E05006351 : Monk Fryston and South Milford,"3,294",477,414,"1,227"
E05006352 : North Duffield,"1,515",198,163,607
E05006353 : Riccall with Escrick,"3,443",587,381,"1,186"
E05006354 : Saxton and Ulleskelf,"1,825",278,213,709
E05006355 : Selby North,"5,088","1,565",847,716
E05006356 : Selby South,"3,775",954,634,618
E05006357 : Selby West,"3,158",831,393,675
E05006358 : Sherburn in Elmet,"5,452","1,175",814,"1,302"
E05006359 : Tadcaster East,"3,181",744,476,732
E05006360 : Tadcaster West,"2,898",690,366,804
E05006361 : Whitley,"3,581",713,498,997
E05000976 : Central,"9,268","2,831","1,359","1,504"
E05000977 : Cudworth,"8,748","2,965","1,331","1,150"
E05000978 : Darfield,"8,656","2,751","1,274","1,455"
E05000979 : Darton East,"8,754","2,232","1,274","1,901"
E05000980 : Darton West,"8,814","2,418","1,095","2,025"
E05000981 : Dearne North,"8,432","3,614","1,321",791
E05000982 : Dearne South,"9,453","3,383","1,527","1,098"
E05000983 : Dodworth,"8,290","2,414",981,"1,971"
E05000984 : Hoyland Milton,"9,606","3,024","1,444","1,610"
E05000985 : Kingstone,"8,647","2,688","1,290","1,397"
E05000986 : Monk Bretton,"8,864","3,553","1,369","1,034"
E05000987 : North East,"10,560","3,929","1,560","1,477"
E05000988 : Old Town,"8,829","2,242","1,198","2,040"
E05000989 : Penistone East,"9,611","1,976","1,030","3,308"
E05000990 : Penistone West,"9,280","2,106","1,103","2,741"
E05000991 : Rockingham,"9,144","2,918","1,277","1,464"
E05000992 : Royston,"8,703","2,781","1,299","1,444"
E05000993 : St Helens,"8,042","3,538","1,261",620
E05000994 : Stairfoot,"9,411","3,464","1,456","1,190"
E05000995 : Wombwell,"9,265","3,079","1,419","1,308"
E05000996 : Worsbrough,"7,958","2,984","1,045","1,196"
E05000997 : Adwick,"12,409","4,529","2,256","1,219"
E05000998 : Armthorpe,"11,777","3,433","1,714","1,936"
E05000999 : Askern Spa,"10,527","3,453","1,759","1,688"
E05001000 : Balby,"12,054","3,410","1,889","2,030"
E05001001 : Bentley,"11,316","3,979","2,025","1,269"
E05001002 : Bessacarr and Cantley,"12,000","2,771","1,563","3,385"
E05001003 : Central,"14,652","4,797","2,294","1,861"
E05001004 : Conisbrough and Denaby,"11,451","4,561","1,774","1,198"
"E05001005 : Edenthorpe, Kirk Sandall and Barnby Dun","10,992","2,502","1,546","2,395"
E05001006 : Edlington and Warmsworth,"11,073","3,701","1,668","1,675"
E05001007 : Finningley,"12,489","2,337","1,697","3,535"
E05001008 : Great North Road,"12,207","3,441","1,973","1,897"
E05001009 : Hatfield,"10,829","3,380","1,636","1,692"
E05001010 : Mexborough,"12,401","4,543","2,138","1,303"
E05001011 : Rossington,"10,808","3,492","1,714","1,495"
E05001012 : Sprotbrough,"9,885","1,894","1,347","2,850"
E05001013 : Stainforth and Moorends,"10,635","4,181","1,705","1,138"
E05001014 : Thorne,"13,590","4,624","2,256","1,646"
E05001015 : Torne Valley,"10,363","2,270","1,164","3,392"
E05001016 : Town Moor,"11,517","3,263","1,797","2,225"
E05001017 : Wheatley,"11,934","3,558","1,848","1,885"
E05008935 : Anston and Woodsetts,"9,135","2,108","1,353","2,191"
E05001019 : Boston Castle,"10,704","3,339","1,393","2,316"
E05001020 : Brinsworth and Catcliffe,"9,788","2,793","1,598","1,471"
E05008936 : Dinnington,"10,127","2,802","1,583","2,019"
E05001022 : Hellaby,"9,106","1,935","1,401","2,230"
E05001023 : Holderness,"9,872","2,606","1,551","1,811"
E05001024 : Hoober,"9,904","3,015","1,403","1,799"
E05001025 : Keppel,"9,835","2,470","1,509","1,870"
E05001026 : Maltby,"10,101","3,481","1,656","1,224"
E05001027 : Rawmarsh,"10,745","3,661","1,796","1,306"
E05001028 : Rother Vale,"9,896","2,861","1,602","1,766"
E05001029 : Rotherham East,"10,689","4,534","1,779",921
E05001030 : Rotherham West,"10,407","3,312","1,831","1,305"
E05001031 : Silverwood,"9,350","2,596","1,499","1,809"
E05001032 : Sitwell,"9,863","2,270","1,297","2,567"
E05001033 : Swinton,"9,679","3,123","1,498","1,478"
E05001034 : Valley,"10,290","3,719","1,592","1,405"
E05001035 : Wales,"9,065","2,271","1,370","2,043"
E05001036 : Wath,"9,577","2,912","1,278","1,850"
E05001037 : Wickersley,"10,033","2,761","1,561","1,828"
E05001038 : Wingfield,"9,852","3,507","1,734",956
E05001039 : Arbourthorne,"15,511","5,593","2,200","2,378"
E05001040 : Beauchief and Greenhill,"15,254","4,298","2,304","3,311"
E05001041 : Beighton,"14,813","3,642","2,317","2,952"
E05001042 : Birley,"13,822","4,568","2,167","1,827"
E05001043 : Broomhill,"15,714",866,467,"5,189"
E05001044 : Burngreave,"19,734","6,987","2,821","3,322"
E05001045 : Central,"33,156","3,074","1,930","10,311"
E05001046 : Crookes,"15,350","1,676",920,"6,918"
E05001047 : Darnall,"17,460","6,374","2,611","2,408"
E05001048 : Dore and Totley,"13,803","1,887","1,352","6,366"
E05001049 : East Ecclesfield,"15,205","4,048","2,338","2,963"
E05001050 : Ecclesall,"14,723","1,359","1,056","8,241"
E05001051 : Firth Park,"15,838","6,253","2,603","1,768"
E05001052 : Fulwood,"15,488","1,179",785,"6,834"
E05001053 : Gleadless Valley,"17,010","4,609","2,238","4,459"
E05001054 : Graves Park,"13,867","2,717","1,730","4,518"
E05001055 : Hillsborough,"15,071","3,282","2,096","4,130"
E05001056 : Manor Castle,"16,737","6,130","2,371","2,590"
E05001057 : Mosborough,"14,034","3,589","2,262","2,724"
E05001058 : Nether Edge,"15,708","1,829","1,132","7,975"
E05001059 : Richmond,"14,466","4,887","2,363","1,863"
E05001060 : Shiregreen and Brightside,"16,023","5,284","2,787","1,938"
E05001061 : Southey,"15,049","6,010","2,615","1,505"
E05001062 : Stannington,"15,130","3,610","1,873","4,138"
E05001063 : Stocksbridge and Upper Don,"15,161","3,639","2,094","3,534"
E05001064 : Walkley,"18,847","3,818","1,849","6,587"
