KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05001488 : Coulby Newham,"7,327","1,921","1,002","1,565"
E05001489 : Gresham,"6,986","2,188",838,"1,171"
E05001490 : Hemlington,"4,605","1,510",772,553
E05001491 : Kader,"4,215","1,013",521,977
E05001492 : Ladgate,"4,467","1,394",631,698
E05001493 : Linthorpe,"7,661","1,530",949,"2,261"
E05001494 : North Ormesby and Brambles Farm,"4,794","1,994",804,402
E05001495 : Marton,"3,932",714,433,"1,169"
E05001496 : Marton West,"4,361",729,465,"1,431"
E05001497 : Middlehaven,"4,132","1,216",426,605
E05001498 : Nunthorpe,"4,074",505,442,"1,639"
E05001499 : Pallister,"4,562","2,029",746,327
E05001500 : Park,"4,713","1,265",591,"1,048"
E05001501 : Park End,"4,729","1,996",828,316
E05001502 : Stainton and Thornton,"2,391",628,293,537
E05001503 : Thorntree,"4,566","2,226",736,236
E05001504 : University,"5,311","1,419",602,929
E05008018 : Alnwick,"3,838",987,537,884
E05008019 : Amble,"3,769","1,173",539,626
E05008020 : Amble West with Warkworth,"3,629",696,437,"1,153"
E05008021 : Ashington Central,"4,069","1,319",655,504
E05008022 : Bamburgh,"4,227","1,081",577,"1,043"
E05008023 : Bedlington Central,"3,632",967,454,833
E05008024 : Bedlington East,"3,879","1,161",598,572
E05008025 : Bedlington West,"4,537",968,629,"1,189"
E05008026 : Bellingham,"3,465",741,448,965
E05008027 : Berwick East,"4,040","1,266",637,593
E05008028 : Berwick North,"3,784",979,539,886
E05008029 : Berwick West with Ord,"3,328","1,002",527,491
E05008030 : Bothal,"3,789",952,460,900
E05008031 : Bywell,"3,678",540,300,"1,711"
