KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05001485 : Beechwood,"2,426",850,325,"1,167",359
E05001486 : Brookfield,"2,482","2,217","1,279",46,194
E05001487 : Clairville,"2,228","1,123",442,773,283
E05001488 : Coulby Newham,"3,827","2,238",683,"1,222",254
E05001489 : Gresham,"3,820","1,223",629,680,"1,813"
E05001490 : Hemlington,"2,595","1,119",476,"1,217",216
E05001491 : Kader,"2,118","1,878","1,089",51,166
E05001492 : Ladgate,"2,343","1,564",724,453,281
E05001493 : Linthorpe,"3,719","2,733","1,191",130,740
E05001494 : North Ormesby and Brambles Farm,"2,815","1,100",465,877,744
E05001495 : Marton,"2,028","1,725",904,70,200
E05001496 : Marton West,"2,205","1,929",943,75,153
E05001497 : Middlehaven,"2,057",391,195,817,775
E05001498 : Nunthorpe,"1,899","1,752",990,36,91
E05001499 : Pallister,"2,474","1,143",493,"1,014",264
E05001500 : Park,"2,339","1,509",650,180,601
E05001501 : Park End,"2,531","1,133",420,"1,053",274
E05001502 : Stainton and Thornton,"1,229",856,372,256,100
E05001503 : Thorntree,"2,481",763,293,"1,424",223
E05001504 : University,"2,292",792,415,461,977
E05008018 : Alnwick,"2,138","1,136",583,665,292
E05008019 : Amble,"2,066","1,194",614,571,274
E05008020 : Amble West with Warkworth,"1,893","1,489",839,146,224
E05008021 : Ashington Central,"2,321","1,294",604,508,492
E05008022 : Bamburgh,"2,375","1,551","1,005",352,391
E05008023 : Bedlington Central,"1,903","1,298",619,345,225
E05008024 : Bedlington East,"2,154","1,210",496,627,298
E05008025 : Bedlington West,"2,374","1,750",726,366,218
E05008026 : Bellingham,"1,824","1,152",675,258,328
E05008027 : Berwick East,"2,188","1,194",602,659,293
E05008028 : Berwick North,"2,104","1,196",705,430,424
E05008029 : Berwick West with Ord,"1,708","1,225",702,325,130
E05008030 : Bothal,"2,016","1,406",631,367,225
E05008031 : Bywell,"1,913","1,442",788,206,216
E05008032 : Chevington with Longhorseley,"1,947","1,255",571,400,247
E05008033 : Choppington,"2,122","1,213",467,630,249
E05008034 : College,"2,437","1,336",608,738,333
E05008035 : Corbridge,"1,876","1,293",793,232,307
E05008036 : Cowpen,"1,875",939,377,754,146
E05008037 : Cramlington East,"2,422","1,423",551,697,263
E05008038 : Cramlington Eastfield,"1,986","1,508",568,307,161
E05008039 : Cramlington North,"2,003","1,915",624,7,64
E05008040 : Cramlington South East,"1,884","1,504",821,139,223
E05008041 : Cramlington Village,"2,030","1,484",778,340,173
E05008042 : Cramlington West,"2,209","1,200",462,767,194
E05008043 : Croft,"2,198",972,461,692,482
E05008044 : Haltwhistle,"2,219","1,354",825,397,394
E05008045 : Hartley,"2,259","1,705",866,355,166
E05008046 : Haydon,"1,962","1,534",667,279,130
E05008047 : Haydon and Hadrian,"1,896","1,288",772,222,303
E05008048 : Hexham Central with Acomb,"2,084","1,197",650,513,318
E05008049 : Hexham East,"1,830","1,120",652,381,288
E05008050 : Hexham West,"1,811","1,521",881,90,159
E05008051 : Hirst,"2,452","1,110",519,628,678
E05008052 : Holywell,"2,368","1,571",753,538,213
E05008053 : Humshaugh,"1,984","1,227",690,195,486
E05008054 : Isabella,"2,238",930,404,"1,025",253
E05008055 : Kitty Brewster,"2,237","1,342",531,651,204
E05008056 : Lesbury,"2,322","1,508",889,356,357
E05008057 : Longhoughton,"1,788",978,565,184,533
E05008058 : Lynemouth,"2,079","1,502",754,322,230
E05008059 : Morpeth Kirkhill,"2,299","1,794","1,009",350,133
E05008060 : Morpeth North,"1,919","1,435",836,208,226
E05008061 : Morpeth Stobhill,"1,883","1,351",762,314,177
E05008062 : Newbiggin Central and East,"2,191","1,284",714,513,351
E05008063 : Newsham,"1,992","1,112",485,594,256
E05008064 : Norham and Islandshires,"2,061","1,166",746,241,521
E05008065 : Pegswood,"1,711","1,062",409,405,221
E05008066 : Plessey,"1,737","1,317",641,281,125
E05008067 : Ponteland East,"2,046","1,541",887,119,310
E05008068 : Ponteland North,"1,859","1,227",672,195,372
E05008069 : Ponteland South with Heddon,"1,737","1,545",937,63,95
E05008070 : Ponteland West,"1,682","1,310",779,69,271
E05008071 : Prudhoe East,"2,559","1,541",675,762,211
E05008072 : Prudhoe West,"1,974","1,557",578,260,139
E05008073 : Rothbury,"2,435","1,541",932,296,493
E05008074 : Seaton with Newbiggin West,"1,884","1,193",509,515,157
E05008075 : Seghill with Seaton Delaval,"2,507","1,448",575,717,280
E05008076 : Shilbottle,"2,113","1,601",871,276,185
E05008077 : Sleekburn,"1,834","1,047",461,514,250
E05008078 : South Blyth,"1,853","1,722",708,9,110
E05008079 : South Tynedale,"2,043","1,469",886,139,375
E05008080 : Stakeford,"2,135","1,702",891,232,180
E05008081 : Stocksfield and Broomhaugh,"2,043","1,688",935,111,187
E05008082 : Ulgham,"2,262","1,687",828,267,265
E05008083 : Wensleydale,"2,251","1,393",620,390,435
E05008084 : Wooler,"2,029","1,008",652,337,508
E05001505 : Brotton,"2,998","2,091","1,071",418,460
E05001506 : Coatham,"2,634","1,341",616,183,"1,065"
E05001507 : Dormanstown,"2,953","1,849",847,791,261
E05001508 : Eston,"3,270","1,765",682,"1,067",398
E05001509 : Grangetown,"2,080",583,198,"1,203",269
E05001510 : Guisborough,"3,564","2,119","1,102",784,585
E05001511 : Hutton,"3,057","2,683","1,517",116,228
E05001512 : Kirkleatham,"3,153","1,607",748,"1,301",211
E05001513 : Lockwood,922,525,303,258,117
E05001514 : Loftus,"2,793","1,705",977,633,421
E05001515 : Longbeck,"2,914","2,522","1,216",102,239
E05001516 : Newcomen,"1,865","1,144",543,540,159
E05001517 : Normanby,"3,025","2,229","1,157",516,234
E05001518 : Ormesby,"2,682","2,066","1,142",365,209
E05001519 : St Germain's,"2,858","2,142","1,258",388,280
E05001520 : Saltburn,"2,865","1,864","1,007",385,585
E05001521 : Skelton,"3,189","2,111",910,529,494
E05001522 : South Bank,"2,786","1,444",598,"1,014",286
E05001523 : Teesville,"2,920","2,017","1,126",645,218
E05001524 : West Dyke,"3,129","2,751","1,260",37,255
E05001525 : Westworth,"1,931","1,594",797,127,188
E05001526 : Zetland,"2,017","1,553",731,166,272
E05001527 : Billingham Central,"3,131","1,881",769,749,473
E05001528 : Billingham East,"3,086","1,786",713,878,402
E05001529 : Billingham North,"3,700","3,234","1,247",147,284
E05001530 : Billingham South,"2,744","1,589",589,709,428
E05001531 : Billingham West,"2,416","2,182","1,320",57,153
E05001532 : Bishopsgarth and Elm Tree,"2,930","2,334","1,099",334,223
E05001533 : Eaglescliffe,"4,338","3,598","1,767",209,481
E05001534 : Fairfield,"2,456","2,116","1,101",149,160
E05001535 : Grangefield,"2,653","2,196","1,042",248,176
E05001536 : Hardwick,"2,844","1,190",375,"1,337",285
E05001537 : Hartburn,"2,778","2,543","1,443",30,165
E05001538 : Ingleby Barwick East,"3,806","3,305",993,21,431
E05001539 : Ingleby Barwick West,"3,712","3,309",644,30,354
E05001540 : Mandale and Victoria,"4,681","1,964",641,"1,540","1,118"
E05001541 : Newtown,"2,970","1,415",547,990,541
E05001542 : Northern Parishes,"1,284","1,121",446,35,109
E05001543 : Norton North,"3,004","1,788",818,715,465
E05001544 : Norton South,"3,099","2,021",889,431,608
E05001545 : Norton West,"2,808","2,449","1,279",121,192
E05001546 : Parkfield and Oxbridge,"3,378","1,752",680,546,"1,021"
E05001547 : Roseworth,"3,044","1,785",680,926,306
E05001548 : Stainsby Hill,"2,722","1,641",762,777,267
E05001549 : Stockton Town Centre,"2,998",662,255,"1,585",701
E05001550 : Village,"3,074","1,940",977,681,415
E05001551 : Western Parishes,"1,358","1,143",542,103,93
E05001552 : Yarm,"4,145","3,281","1,667",277,536
E05001067 : Birtley,"3,599","2,251",980,886,386
E05001068 : Blaydon,"4,454","2,587",894,"1,436",371
E05001069 : Bridges,"4,327","1,334",407,"1,485","1,416"
E05001070 : Chopwell and Rowlands Gill,"4,209","2,697","1,359",937,517
E05001071 : Chowdene,"4,109","2,513","1,207","1,392",153
E05001072 : Crawcrook and Greenside,"3,881","2,977","1,371",419,446
E05001073 : Deckham,"4,428","1,936",750,"1,752",691
E05001074 : Dunston and Teams,"4,359","1,732",590,"1,822",728
E05001075 : Dunston Hill and Whickham East,"3,874","3,045","1,440",476,309
E05001076 : Felling,"4,206","1,397",554,"2,283",481
E05001077 : High Fell,"4,181","1,766",700,"2,071",303
E05001078 : Lamesley,"3,984","2,278","1,077","1,423",233
E05001079 : Lobley Hill and Bensham,"4,726","2,348",899,"1,423",890
E05001080 : Low Fell,"3,836","3,080","1,438",245,439
E05001081 : Pelaw and Heworth,"4,069","2,467","1,022","1,097",453
"E05001082 : Ryton, Crookhill and Stella","3,552","2,500","1,176",793,223
E05001083 : Saltwell,"4,165","1,894",807,609,"1,612"
E05001084 : Wardley and Leam Lane,"3,605","2,386",995,988,201
E05001085 : Whickham North,"3,811","2,489","1,277",822,448
E05001086 : Whickham South and Sunniside,"3,652","3,069","1,641",303,246
