KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05003283 : Belper East,"2,402","1,993",765,114,261
E05003284 : Belper North,"2,147","1,767","1,031",114,235
E05008520 : Belper South,"2,528","1,827",865,299,353
E05003286 : Codnor and Waingroves,"2,072","1,623",892,202,222
E05003287 : Crich,"1,062",795,478,122,128
E05008521 : Duffield,"2,028","1,650",969,133,200
E05003289 : Heage and Ambergate,"2,130","1,787",983,125,191
E05003290 : Heanor and Loscoe,"2,216","1,692",858,252,226
E05008522 : Heanor East,"2,488","1,754",804,403,281
E05003292 : Heanor West,"2,517","1,770",815,304,400
E05003293 : Ironville and Riddings,"2,596","1,725",893,506,333
"E05008523 : Kilburn, Denby and Holbrook","3,127","2,484","1,236",338,266
E05003295 : Langley Mill and Aldercar,"2,371","1,426",602,519,386
E05003296 : Ripley,"3,880","2,800","1,397",440,543
E05003297 : Ripley and Marehay,"2,504","1,835",989,434,202
"E05008524 : Shipley Park, Horsley and Horsley Woodhouse","2,523","2,096","1,138",205,181
E05003299 : Somercotes,"2,656","1,581",709,643,384
E05003300 : South West Parishes,"1,123",851,537,56,186
E05003301 : Swanwick,"2,223","1,925","1,021",85,179
E05003302 : Wingfield,"1,006",803,480,108,79
E05003303 : Barlborough,"1,342","1,076",479,127,124
E05003304 : Blackwell,"1,888","1,401",703,323,126
E05003305 : Bolsover North West,"1,721","1,134",524,277,292
E05003306 : Bolsover South,"1,709","1,093",546,415,166
E05003307 : Bolsover West,"1,653","1,136",577,282,216
E05003308 : Clowne North,"1,777","1,212",551,255,285
E05003309 : Clowne South,"1,576","1,206",658,176,175
E05003310 : Elmton-with-Creswell,"2,710","1,503",719,654,507
E05003311 : Pinxton,"1,850","1,260",637,328,239
E05003312 : Pleasley,"1,749","1,267",687,268,170
E05003313 : Scarcliffe,"1,781","1,142",622,312,279
E05003314 : Shirebrook East,778,345,173,261,152
E05003315 : Shirebrook Langwith,827,463,282,258,81
E05003316 : Shirebrook North West,"1,050",425,235,513,70
E05003317 : Shirebrook South East,837,515,244,89,226
E05003318 : Shirebrook South West,"1,092",801,363,140,130
E05003319 : South Normanton East,"1,895","1,293",530,321,254
E05003320 : South Normanton West,"2,792","2,126",965,222,401
E05003321 : Tibshelf,"2,035","1,384",606,387,210
E05003322 : Whitwell,"1,739","1,181",590,357,173
E05003323 : Barrow Hill and New Whittington,"2,666","1,756",836,588,306
E05003324 : Brimington North,"1,854","1,143",501,334,346
E05003325 : Brimington South,"2,697","2,006","1,048",476,196
E05003326 : Brockwell,"2,805","2,126","1,160",165,478
E05003327 : Dunston,"3,000","1,464",755,"1,269",226
E05003328 : Hasland,"2,880","2,052","1,077",405,374
E05003329 : Hollingwood and Inkersall,"3,159","2,302","1,103",558,271
E05003330 : Holmebrook,"2,205","1,021",480,564,580
E05003331 : Linacre,"1,692","1,392",633,217,71
E05003332 : Loundsley Green,"1,988",882,440,958,83
E05003333 : Lowgates and Woodthorpe,"1,949","1,130",557,625,176
E05003334 : Middlecroft and Poolsbrook,"2,047",854,380,"1,011",168
E05003335 : Moor,"2,094","1,219",642,524,330
E05003336 : Old Whittington,"1,962","1,117",595,578,226
E05003337 : Rother,"2,992","1,230",673,"1,503",227
E05003338 : St Helen's,"2,133",942,417,687,477
E05003339 : St Leonard's,"3,496","2,260","1,037",272,907
E05003340 : Walton,"2,490","2,268","1,300",25,165
E05003341 : West,"2,687","2,383","1,431",73,206
E05003342 : Ashbourne North,"1,684","1,058",597,330,249
E05003343 : Ashbourne South,"2,027","1,310",636,394,237
E05003344 : Bakewell,"2,133","1,471","1,002",331,265
E05003345 : Bradwell,841,592,381,105,129
E05003346 : Brailsford,699,553,338,27,103
E05003347 : Calver,823,661,424,66,81
E05003348 : Carsington Water,781,617,367,43,98
E05003349 : Chatsworth,780,440,303,64,153
E05003350 : Clifton and Bradley,765,556,365,18,157
E05003351 : Darley Dale,"2,392","1,822","1,074",265,254
E05003352 : Dovedale and Parwich,702,475,321,72,130
E05003353 : Doveridge and Sudbury,828,604,343,42,147
E05003354 : Hartington and Taddington,687,539,351,39,86
E05003355 : Hathersage and Eyam,"1,663","1,244",769,210,169
E05003356 : Hulland,758,628,397,33,64
E05003357 : Lathkill and Bradford,705,479,346,94,114
E05003358 : Litton and Longstone,734,587,389,31,100
E05003359 : Masson,"1,382","1,048",629,140,172
E05003360 : Matlock All Saints,"2,435","1,846","1,031",240,317
E05003361 : Matlock St Giles,"2,356","1,547",942,568,203
E05003362 : Norbury,674,545,316,29,86
E05003363 : Stanton,783,572,314,70,124
E05003364 : Tideswell,798,557,336,101,111
E05003365 : Winster and South Darley,732,587,389,74,55
E05003366 : Wirksworth,"2,582","1,931","1,153",350,256
E05003367 : Abbotsford,"2,020","1,730",575,91,180
E05003368 : Breaston,"1,970","1,676","1,001",133,133
E05003369 : Cotmanhay,"2,047","1,268",549,409,319
E05003370 : Derby Road East,"2,415","1,494",575,308,568
E05003371 : Derby Road West,"2,604","1,872",936,429,241
E05003372 : Draycott,"1,884","1,353",634,233,260
E05003373 : Hallam Fields,"2,280","1,655",650,269,326
E05003374 : Ilkeston Central,"2,231","1,405",671,268,525
E05003375 : Ilkeston North,"1,814",885,467,699,194
E05003376 : Kirk Hallam,"2,667","1,733",897,725,167
E05003377 : Little Eaton and Breadsall,"1,535","1,270",715,117,132
E05003378 : Little Hallam,"1,758","1,393",754,46,282
E05003379 : Long Eaton Central,"2,712","1,947",786,273,463
E05003380 : Nottingham Road,"2,868","2,004",875,298,515
E05003381 : Ockbrook And Borrowash,"3,175","2,445","1,271",341,331
E05003382 : Old Park,"1,841","1,244",585,227,340
E05003383 : Sandiacre North,"2,144","1,370",592,425,311
E05003384 : Sandiacre South,"1,683","1,463",718,46,163
E05003385 : Sawley,"2,967","2,049",936,564,297
E05003386 : Stanley,935,683,365,170,67
E05003387 : West Hallam and Dale Abbey,"2,034","1,845",950,35,134
E05003388 : Wilsthorpe,"3,108","2,506","1,004",229,317
E05003389 : Barms,902,552,288,108,218
E05003390 : Blackbrook,"1,629","1,349",749,95,141
E05003391 : Burbage,"1,016",855,401,34,108
E05003392 : Buxton Central,"1,927","1,022",531,204,666
E05003393 : Chapel East,950,693,335,112,120
E05003394 : Chapel West,"1,811","1,429",752,134,202
E05003395 : Corbar,"1,627","1,129",664,170,302
E05003396 : Cote Heath,"1,650","1,204",558,244,181
E05003397 : Dinting,756,708,446,13,27
E05003398 : Gamesley,"1,046",320,86,659,45
E05003399 : Hadfield North,850,468,186,247,106
E05003400 : Hadfield South,"1,748","1,400",634,178,149
E05003401 : Hayfield,911,686,358,130,76
E05003402 : Hope Valley,"1,718","1,275",772,202,197
E05003403 : Howard Town,"1,961","1,280",568,117,528
E05003404 : Limestone Peak,934,723,374,99,94
E05003405 : New Mills East,"1,723","1,076",498,455,150
E05003406 : New Mills West,"1,876","1,489",721,32,337
E05003407 : Old Glossop,"1,950","1,550",634,176,195
E05003408 : Padfield,"1,184",827,285,116,227
E05003409 : St John's,774,635,345,33,92
E05003410 : Sett,838,740,370,9,83
E05003411 : Simmondley,"1,773","1,608",622,29,119
E05003412 : Stone Bench,"1,866","1,036",478,607,189
E05003413 : Temple,771,673,439,12,73
E05003414 : Tintwistle,917,676,288,118,110
E05003415 : Whaley Bridge,"2,794","2,135","1,075",244,371
E05003416 : Whitfield,"1,044",521,236,368,125
E05003417 : Ashover,798,629,420,84,73
E05003418 : Barlow and Holmesfield,837,622,398,138,54
E05003419 : Brampton and Walton,"1,591","1,288",800,152,130
E05003420 : Clay Cross North,"2,650","1,644",924,697,267
E05003421 : Clay Cross South,"1,692",896,457,626,134
E05003422 : Coal Aston,"1,504","1,350",913,69,73
E05003423 : Dronfield North,"1,845","1,140",555,539,128
E05003424 : Dronfield South,"2,279","1,931","1,015",175,158
E05003425 : Dronfield Woodhouse,"1,448","1,319",756,55,59
E05003426 : Eckington North,"1,593","1,142",577,289,147
E05003427 : Eckington South,"1,627",818,360,652,135
E05003428 : Gosforth Valley,"2,191","1,923","1,090",135,82
E05003429 : Grassmoor,"1,691","1,027",550,511,133
E05003430 : Holmewood and Heath,"1,605",796,399,626,163
E05003431 : Killamarsh East,"1,521","1,095",482,262,142
E05003432 : Killamarsh West,"2,324","1,652",670,513,130
E05003433 : North Wingfield Central,"2,601","1,637",825,690,235
E05003434 : Pilsley and Morton,"2,283","1,710",863,346,204
E05003435 : Renishaw,"1,091",691,251,282,104
E05003436 : Ridgeway and Marsh Lane,757,551,333,144,45
E05003437 : Shirland,"2,414","1,475",805,739,172
E05003438 : Sutton,"1,811","1,340",797,320,127
E05003439 : Tupton,"1,700","1,152",600,439,99
E05003440 : Unstone,803,508,288,237,52
E05003441 : Wingerworth,"2,414","2,195","1,343",61,137
E05008809 : Aston,"2,800","2,411","1,191",127,227
E05008810 : Church Gresley,"2,923","1,965",633,311,603
E05008811 : Etwall,"2,223","1,803",958,123,276
E05008812 : Hatton,"1,123",857,397,110,138
E05008813 : Hilton,"3,684","2,933",927,173,531
E05008814 : Linton,"2,069","1,641",777,199,200
E05008815 : Melbourne,"2,247","1,601",875,234,377
E05008816 : Midway,"3,391","2,499","1,215",600,264
E05008817 : Newhall and Stanton,"3,525","2,419","1,148",547,512
E05008818 : Repton,"2,129","1,608",905,114,318
E05008819 : Seales,"2,227","1,688",868,230,262
E05008820 : Stenson,"1,647","1,372",545,32,226
E05008821 : Swadlincote,"3,339","2,400","1,016",460,404
E05008822 : Willington and Findern,"1,911","1,632",861,95,157
E05008823 : Woodville,"3,754","2,587",921,522,592
E05005408 : Blaby South,"1,960","1,522",810,273,137
E05005409 : Cosby with South Whetstone,"1,872","1,564",684,148,139
E05005410 : Countesthorpe,"2,797","2,368","1,221",168,217
E05005411 : Croft Hill,918,731,368,79,86
E05005412 : Ellis,"2,125","1,746",875,141,210
E05005413 : Enderby and St John's,"2,033","1,375",574,337,282
E05005414 : Fairestone,"1,992","1,767","1,052",91,109
E05005415 : Forest,"2,696","2,442","1,086",22,210
E05005416 : Millfield,"1,161",890,528,87,148
E05005417 : Muxloe,"1,827","1,528",892,121,161
E05005418 : Narborough and Littlethorpe,"2,259","1,809",754,169,262
E05005419 : Normanton,"1,031",824,378,98,98
E05005420 : North Whetstone,"2,196","1,645",618,302,202
E05005421 : Pastures,"1,888","1,695",764,30,140
E05005422 : Ravenhurst and Fosse,"2,800","2,306","1,164",125,341
E05005423 : Saxondale,"3,082","2,474","1,125",219,329
E05005424 : Stanton and Flamville,"3,146","2,508","1,207",340,245
E05005425 : Winstanley,"2,903","2,115",645,198,560
E05005426 : Anstey,"2,811","2,135","1,052",342,286
E05005427 : Barrow and Sileby West,"2,766","2,163","1,040",233,308
E05005428 : Birstall Wanlip,"2,297","1,980","1,036",102,179
E05005429 : Birstall Watermead,"2,745","2,312","1,235",157,237
E05005430 : East Goscote,"1,084",960,458,34,74
E05005431 : Forest Bradgate,"1,347","1,017",635,101,193
E05005432 : Loughborough Ashby,"1,295",484,232,460,309
E05005433 : Loughborough Dishley and Hathern,"2,600","1,963",958,271,314
E05005434 : Loughborough Garendon,"2,540","1,837",945,309,368
E05005435 : Loughborough Hastings,"2,751","1,185",497,952,535
E05005436 : Loughborough Lemyngton,"2,701","1,327",575,518,778
E05005437 : Loughborough Nanpantan,"1,552","1,282",787,65,192
E05005438 : Loughborough Outwoods,"2,228","2,041","1,272",12,151
E05005439 : Loughborough Shelthorpe,"2,817","1,832",650,617,314
E05005440 : Loughborough Southfields,"2,520","1,022",570,489,955
E05005441 : Loughborough Storer,"2,204",870,470,486,796
E05005442 : Mountsorrel,"2,886","2,211",900,352,274
E05005443 : Queniborough,"1,306","1,093",615,47,137
E05005444 : Quorn and Mountsorrel Castle,"2,873","2,227","1,141",212,381
E05005445 : Rothley and Thurcaston,"2,594","2,175","1,155",150,207
E05005446 : Shepshed East,"2,813","2,098",917,322,335
E05005447 : Shepshed West,"2,980","2,315","1,123",313,299
E05005448 : Sileby,"3,036","2,325",971,282,395
E05005449 : Syston East,"2,627","2,078","1,005",286,217
E05005450 : Syston West,"2,778","1,985",838,251,486
E05005451 : The Wolds,"1,265","1,079",544,51,107
E05005452 : Thurmaston,"3,944","3,003","1,592",383,450
E05005453 : Wreake Villages,"1,156",962,516,54,119
E05005454 : Billesdon,803,562,309,62,151
E05005455 : Bosworth,"1,026",791,394,78,136
E05005456 : Broughton Astley-Astley,880,727,191,21,117
E05005457 : Broughton Astley-Broughton,999,911,304,17,62
E05005458 : Broughton Astley-Primethorpe,769,588,287,115,48
E05005459 : Broughton Astley-Sutton,774,680,293,21,66
E05005460 : Dunton,910,766,415,62,73
E05005461 : Fleckney,"1,948","1,635",675,111,169
E05005462 : Glen,"1,828","1,470",811,116,212
E05005463 : Kibworth,"2,831","2,191","1,127",281,307
E05005464 : Lubenham,941,735,378,80,102
E05005465 : Lutterworth Brookfield,921,836,378,11,61
E05005466 : Lutterworth Orchard,937,703,393,108,101
E05005467 : Lutterworth Springs,"1,095",652,351,226,179
E05005468 : Lutterworth Swift,987,690,293,193,67
E05005469 : Market Harborough-Great Bowden and Arden,"3,147","2,236","1,160",383,443
E05005470 : Market Harborough-Little Bowden,"2,081","1,594",697,71,348
E05005471 : Market Harborough-Logan,"1,817","1,432",731,133,224
E05005472 : Market Harborough-Welland,"2,778","1,914",950,416,368
E05005473 : Misterton,"1,031",846,404,57,103
E05005474 : Nevill,930,721,367,73,113
E05005475 : Peatling,919,783,410,45,74
E05005476 : Thurnby and Houghton,"2,809","2,390","1,320",126,209
E05005477 : Tilton,848,649,386,59,108
E05005478 : Ullesthorpe,889,736,365,58,81
E05005479 : Ambien,"1,391","1,118",606,84,164
"E05005480 : Barlestone, Nailstone and Osbaston","1,367","1,046",471,162,133
E05005481 : Barwell,"3,908","2,826","1,216",559,452
E05005482 : Burbage St Catherines and Lash Hill,"2,619","1,812","1,018",591,172
E05005483 : Burbage Sketchley and Stretton,"3,774","3,304","1,672",106,327
"E05005484 : Cadeby, Carlton and Market Bosworth with Shackerstone","1,505","1,175",668,135,166
E05005485 : Earl Shilton,"4,390","3,029","1,363",720,555
E05005486 : Groby,"2,825","2,469","1,224",122,209
E05005487 : Hinckley Castle,"2,798","1,848",844,199,704
E05005488 : Hinckley Clarendon,"3,724","2,715","1,015",424,502
E05005489 : Hinckley De Montfort,"4,138","3,318","1,672",181,585
E05005490 : Hinckley Trinity,"2,796","2,041",845,400,324
"E05005491 : Markfield, Stanton and Fieldhead","2,534","2,080","1,164",179,238
E05005492 : Newbold Verdon with Desford and Peckleton,"3,378","2,734","1,499",365,224
"E05005493 : Ratby, Bagworth and Thornton","2,924","2,273",988,355,259
E05005494 : Twycross and Witherley with Sheepy,"1,306","1,038",594,103,142
E05005495 : Asfordby,"1,454","1,085",462,191,147
E05005496 : Bottesford,"1,553","1,219",657,117,168
E05005497 : Croxton Kerrial,791,484,257,43,223
E05005498 : Frisby-on-the-Wreake,739,583,319,22,114
E05005499 : Gaddesby,720,551,303,47,103
E05005500 : Long Clawson and Stathern,"1,743","1,331",685,160,208
E05005501 : Melton Craven,"1,663","1,113",550,286,240
E05005502 : Melton Dorian,"2,341","1,674",719,295,331
E05005503 : Melton Egerton,"1,644",935,422,368,297
E05005504 : Melton Newport,"2,335","1,824",999,124,355
E05005505 : Melton Sysonby,"2,196","1,666",747,328,132
E05005506 : Melton Warwick,"1,434","1,025",551,213,178
E05005507 : Old Dalby,808,612,320,81,93
E05005508 : Somerby,759,567,302,56,113
E05005509 : Waltham-on-the-Wolds,644,500,256,40,82
E05005510 : Wymondham,666,329,179,31,270
E05005511 : Appleby,918,735,407,102,63
E05005512 : Ashby Castle,"1,084",932,496,42,96
E05005513 : Ashby Holywell,"2,199","1,450",672,345,355
E05005514 : Ashby Ivanhoe,"1,967","1,334",723,405,160
E05005515 : Bardon,"1,287","1,025",279,67,167
E05005516 : Breedon,"1,040",767,378,101,149
E05005517 : Castle Donington,"3,126","2,259","1,087",339,483
E05005518 : Coalville,"2,534","1,599",644,398,481
E05005519 : Greenhill,"2,828","1,574",828,"1,078",127
E05005520 : Hugglescote,"1,994","1,538",624,189,224
E05005521 : Ibstock and Heather,"2,976","2,251","1,066",428,260
E05005522 : Kegworth and Whatton,"2,008","1,421",737,172,367
E05005523 : Measham,"2,156","1,427",684,394,304
E05005524 : Moira,"2,072","1,506",739,374,162
E05005525 : Oakthorpe and Donisthorpe,"1,073",789,339,177,96
E05005526 : Ravenstone and Packington,"1,060",854,481,100,79
E05005527 : Snibston,"2,117","1,647",714,146,276
E05005528 : Thringstone,"1,855","1,448",812,258,116
E05005529 : Valley,"1,868","1,460",720,173,199
E05005530 : Whitwick,"2,966","2,344","1,151",310,247
E05005531 : Oadby Brocks Hill,"1,446","1,314",766,18,98
E05005532 : Oadby Grange,"1,542","1,309",721,42,178
E05005533 : Oadby St Peter's,"1,864","1,291",784,273,246
E05005534 : Oadby Uplands,"1,528","1,344",730,15,142
E05005535 : Oadby Woodlands,"1,568","1,367",618,36,148
E05005536 : South Wigston,"3,256","2,301","1,067",371,518
E05005537 : Wigston All Saints,"2,494","2,021","1,149",248,179
E05005538 : Wigston Fields,"2,531","1,938",940,322,224
E05005539 : Wigston Meadowcourt,"2,489","2,081","1,018",148,212
E05005540 : Wigston St Wolstan's,"2,621","2,273","1,276",137,172
E05005541 : Central,"1,149",441,195,170,512
E05005542 : Coastal,"1,517","1,171",653,211,96
E05005543 : Fenside,"1,742",607,247,719,377
E05005544 : Fishtoft,"2,616","1,935","1,025",363,258
E05005545 : Five Village,"1,678","1,154",612,339,140
E05005546 : Frampton and Holme,715,605,396,44,58
E05005547 : Kirton,"2,087","1,234",593,515,294
E05005548 : North,"1,634","1,276",822,62,267
E05005549 : Old Leake and Wrangle,"1,418","1,046",591,216,122
E05005550 : Pilgrim,988,361,179,196,388
E05005551 : Skirbeck,"2,431","1,343",647,701,314
E05005552 : South,"1,007",786,310,44,161
E05005553 : Staniland South,"1,612",883,519,482,213
E05005554 : Staniland North,784,418,230,117,233
E05005555 : Swineshead and Holland Fen,"1,582","1,170",622,220,166
E05005556 : West,869,776,458,2,82
E05005557 : Witham,"1,859","1,090",567,229,500
E05005558 : Wyberton,"1,603","1,134",577,335,110
E05005559 : Alford,"1,979","1,300",788,278,344
E05005560 : Binbrook,861,627,402,87,121
E05005561 : Burgh le Marsh,"1,119",837,537,93,146
E05005562 : Chapel St Leonards,"2,281","1,689","1,220",131,400
E05005563 : Coningsby and Tattershall,"2,657","1,665",843,265,661
E05005564 : Croft,959,790,477,57,89
E05005565 : Frithville,825,652,382,45,100
E05005566 : Grimoldby,913,761,413,50,88
E05005567 : Halton Holegate,"1,017",813,533,70,115
E05005568 : Holton le Clay,"1,583","1,389",733,57,122
E05005569 : Horncastle,"3,291","2,199","1,285",428,600
E05005570 : Hundleby,942,665,414,50,179
E05005571 : Ingoldmells,978,617,497,152,171
E05005572 : Legbourne,837,579,354,40,187
E05005573 : Ludford,951,690,418,48,180
E05005574 : Mablethorpe Central,888,586,401,119,171
E05005575 : Mablethorpe East,943,499,326,231,191
E05005576 : Mablethorpe North,966,712,504,132,103
E05005577 : Mareham le Fen,927,696,439,75,128
E05005578 : Marshchapel,932,753,415,69,92
E05005579 : North Holme,975,596,314,270,99
E05005580 : North Somercotes,843,677,419,56,97
E05005581 : North Thoresby,853,686,403,35,108
E05005582 : Priory,"1,175",674,338,93,390
E05005583 : Roughton,"1,003",828,596,29,113
E05005584 : St Clement's,"2,572","1,577",994,548,409
E05005585 : St James',"1,233",722,354,119,373
E05005586 : St Margaret's,"1,038",697,374,206,118
E05005587 : St Mary's,971,747,479,45,164
E05005588 : St Michael's,"1,087",766,407,183,126
E05005589 : Scarbrough,"2,318",967,540,387,903
E05005590 : Seacroft,"1,868","1,215",700,227,391
E05005591 : Sibsey,880,711,417,72,67
E05005592 : Skidbrooke with Saltfleet Haven,889,724,460,49,91
E05005593 : Spilsby,"1,398",790,440,234,341
E05005594 : Stickney,946,761,430,88,79
E05005595 : Sutton on Sea North,"1,009",745,561,69,174
E05005596 : Sutton on Sea South,"1,086",900,687,73,95
E05005597 : Tetford,959,724,460,41,154
E05005598 : Tetney,984,828,402,58,88
E05005599 : Trinity,"1,051",475,228,381,138
E05005600 : Trusthorpe and Mablethorpe South,"1,149",895,713,27,207
E05005601 : Wainfleet and Friskney,"1,798","1,098",642,360,273
E05005602 : Willoughby with Sloothby,886,699,469,58,115
E05005603 : Winthorpe,"2,245","1,163",696,248,773
E05005604 : Withern with Stain,778,631,407,48,85
E05005605 : Woodhall Spa,"1,942","1,503","1,026",108,247
E05005606 : Wragby,"1,105",819,489,116,148
E05005607 : Abbey,"5,027","2,070",757,"1,218","1,614"
E05005608 : Birchwood,"3,714","2,073",831,"1,114",420
E05005609 : Boultham,"3,360","2,145","1,023",573,603
E05005610 : Bracebridge,"3,018","2,477","1,048",248,265
E05005611 : Carholme,"4,652","2,007",866,645,"1,890"
E05005612 : Castle,"3,733","1,660",794,"1,135",813
E05005613 : Glebe,"3,043","1,624",737,"1,008",367
E05005614 : Hartsholme,"2,845","2,377","1,038",52,398
E05005615 : Minster,"3,264","1,873",995,"1,027",270
E05005616 : Moorland,"3,282","1,887","1,020","1,110",220
E05005617 : Park,"3,887","1,739",608,599,"1,485"
E05005618 : Ashby de la Launde and Cranwell,"2,092","1,217",529,189,645
E05005619 : Bassingham and Brant Broughton,"1,968","1,516",735,158,244
"E05005620 : Billinghay, Martin and North Kyme","2,129","1,452",754,389,230
E05005621 : Bracebridge Heath and Waddington East,"3,799","2,590","1,235",380,770
E05005622 : Branston,"2,152","1,668",916,255,190
E05005623 : Cliff Villages,"2,268","1,735",923,216,262
"E05005624 : Eagle, Swinderby and Witham St Hughs","2,151","1,645",632,87,381
E05005625 : Heckington Rural,"2,406","1,846",999,277,242
E05005626 : Heighington and Washingborough,"2,985","2,521","1,354",187,234
E05005627 : Kirkby la Thorpe and South Kyme,993,746,372,121,102
E05005628 : Leasingham and Rauceby,961,773,482,82,91
E05005629 : Metheringham,"2,319","1,695",856,273,288
E05005630 : North Hykeham Forum,831,777,466,4,45
E05005631 : North Hykeham Memorial,"1,264","1,026",536,68,148
E05005632 : North Hykeham Mill,"1,773","1,249",486,226,250
E05005633 : North Hykeham Moor,"1,183",996,574,69,109
E05005634 : North Hykeham Witham,"1,019",814,532,117,59
E05005635 : Osbournby,"1,039",689,382,141,176
E05005636 : Ruskington,"2,479","1,853",995,305,281
E05005637 : Skellingthorpe,"1,490","1,259",636,88,122
E05005638 : Sleaford Castle,"1,097",678,277,185,211
E05005639 : Sleaford Holdingham,"1,148",741,292,245,147
E05005640 : Sleaford Navigation,"1,272",720,376,261,252
E05005641 : Sleaford Quarrington and Mareham,"2,865","2,296",883,101,412
E05005642 : Sleaford Westholme,"1,271",810,470,246,189
E05005643 : Waddington West,"1,018",875,423,24,104
E05005644 : Crowland and Deeping St Nicholas,"2,514","1,832",791,343,309
"E05005645 : Donington, Quadring and Gosberton","2,960","2,325","1,285",353,237
E05005646 : Fleet,933,803,484,53,67
E05005647 : Gedney,951,734,431,139,67
E05005648 : Holbeach Hurn,892,651,313,104,115
E05005649 : Holbeach Town,"3,310","2,311","1,299",431,479
E05005650 : Long Sutton,"3,243","2,445","1,492",425,310
"E05005651 : Moulton, Weston and Cowbit","2,758","2,175","1,180",335,199
E05005652 : Pinchbeck and Surfleet,"2,870","2,237","1,266",344,231
E05005653 : Spalding Castle,"1,120",712,418,142,242
E05005654 : Spalding Monks House,"2,189","1,652",811,163,290
E05005655 : Spalding St John's,"2,631","1,685",869,195,679
E05005656 : Spalding St Mary's,"1,966","1,252",653,356,312
E05005657 : Spalding St Paul's,"2,283","1,280",716,612,340
E05005658 : Spalding Wygate,"1,918","1,460",710,140,275
E05005659 : Sutton Bridge,"1,927","1,254",698,299,333
E05005660 : The Saints,"1,020",800,420,118,85
E05005661 : Whaplode and Holbeach St John's,"1,779","1,427",787,176,144
E05005662 : All Saints,"2,225","1,343",607,570,243
E05005663 : Aveland,905,681,358,109,94
E05005664 : Barrowby,840,670,384,98,59
E05005665 : Belmont,"2,109","1,670",617,40,375
E05005666 : Bourne East,"3,580","2,358","1,076",520,545
E05005667 : Bourne West,"2,531","2,067","1,080",159,239
E05005668 : Deeping St James,"2,985","2,345",974,209,359
E05005669 : Earlesfield,"2,861","1,372",542,"1,096",338
E05005670 : Ermine,"1,214",918,446,136,122
E05005671 : Forest,922,513,294,142,212
E05005672 : Glen Eden,"1,038",667,343,102,187
E05005673 : Grantham St John's,"2,766","1,476",632,292,920
E05005674 : Green Hill,"1,725","1,476",704,17,211
E05005675 : Greyfriars,"1,833","1,175",511,270,360
E05005676 : Harrowby,"2,432","1,385",659,830,154
E05005677 : Heath,786,574,322,87,109
E05005678 : Hillsides,868,684,357,78,87
E05005679 : Isaac Newton,"1,042",614,307,196,199
E05005680 : Lincrest,945,729,390,83,88
E05005681 : Loveden,"1,017",847,352,76,84
E05005682 : Market and West Deeping,"2,686","2,033","1,043",359,255
E05005683 : Morkery,"1,066",756,315,145,128
E05005684 : Peascliffe,966,645,349,202,82
E05005685 : Ringstone,"1,189",945,408,104,119
E05005686 : St Anne's,"2,219","1,196",516,304,683
E05005687 : St George's,"1,821","1,194",587,313,266
E05005688 : St Mary's,"2,489","1,266",790,449,698
E05005689 : St Wulfram's,"1,907","1,331",775,206,340
E05005690 : Saxonwell,999,818,479,65,89
E05005691 : Stamford St John's,"2,459","2,078","1,008",67,290
E05005692 : Thurlby,885,723,355,81,64
E05005693 : Toller,"1,130",792,392,166,153
E05005694 : Truesdale,"1,911","1,620",767,86,158
E05005695 : Witham Valley,993,848,519,44,79
E05005696 : Bardney,915,664,356,134,87
E05005697 : Caistor,"1,428",949,544,205,228
E05005698 : Cherry Willingham,"1,951","1,628",951,117,168
E05005699 : Dunholme,"1,030",829,435,86,83
E05005700 : Fiskerton,828,656,332,79,71
E05005701 : Gainsborough East,"2,981","1,349",576,"1,315",221
E05005702 : Gainsborough North,"2,989","1,960",891,413,566
E05005703 : Gainsborough South-West,"2,246","1,230",586,218,757
E05005704 : Hemswell,"1,033",638,313,45,308
E05005705 : Kelsey,"1,089",907,494,77,79
E05005706 : Lea,933,817,471,29,71
E05005707 : Market Rasen,"2,443","1,619",941,313,452
E05005708 : Middle Rasen,"1,281","1,024",563,85,142
E05005709 : Nettleham,"2,064","1,675",999,121,216
E05005710 : Saxilby,"2,245","1,706",897,154,299
E05005711 : Scampton,"1,229",835,320,53,306
E05005712 : Scotter,"2,007","1,728",882,81,151
E05005713 : Stow,962,769,421,88,88
E05005714 : Sudbrooke,"1,048",953,538,27,45
E05005715 : Thonock,"1,138",865,428,137,107
E05005716 : Torksey,"1,257","1,033",649,85,108
E05005717 : Waddingham and Spital,"1,045",796,414,71,144
E05005718 : Welton,"2,287","1,857",978,137,228
E05005719 : Wold View,958,607,279,101,208
E05005720 : Yarborough,998,765,414,75,120
E05005926 : Beanfield,"1,473",955,442,322,174
E05005927 : Central,962,521,240,282,140
E05005928 : Danesholme,"1,616","1,089",419,346,152
E05005929 : East,"3,052","1,741",618,765,496
E05005930 : Exeter,891,405,158,321,150
E05005931 : Great Oakley,883,699,220,46,122
E05005932 : Kingswood,"2,800","1,278",524,"1,016",461
E05005933 : Lodge Park,"1,469",998,455,288,156
E05005934 : Oakley Vale,"3,382","2,164",306,281,902
E05005935 : Rowlett,"1,816","1,097",379,488,187
E05005936 : Rural West,706,549,266,40,103
