KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
"E05005624 : Eagle, Swinderby and Witham St Hughs","3,900",457,302,80
E05005625 : Heckington Rural,"3,859",365,434,123
E05005626 : Heighington and Washingborough,"4,946",504,452,91
E05005627 : Kirkby la Thorpe and South Kyme,"1,812",179,172,68
E05005628 : Leasingham and Rauceby,"1,519",161,150,36
E05005629 : Metheringham,"3,978",368,449,121
E05005630 : North Hykeham Forum,"1,374",116,120,27
E05005631 : North Hykeham Memorial,"2,078",153,213,66
E05005632 : North Hykeham Mill,"3,089",281,306,99
E05005633 : North Hykeham Moor,"1,957",123,264,44
E05005634 : North Hykeham Witham,"1,623",98,196,48
E05005635 : Osbournby,"1,727",225,146,41
E05005636 : Ruskington,"4,067",312,488,139
E05005637 : Skellingthorpe,"2,549",226,263,52
E05005638 : Sleaford Castle,"1,791",100,248,63
E05005639 : Sleaford Holdingham,"1,995",134,300,93
E05005640 : Sleaford Navigation,"1,890",114,285,103
E05005641 : Sleaford Quarrington and Mareham,"5,236",569,467,121
E05005642 : Sleaford Westholme,"2,028",91,320,105
E05005643 : Waddington West,"1,831",141,214,56
E05005644 : Crowland and Deeping St Nicholas,"4,496",409,593,135
"E05005645 : Donington, Quadring and Gosberton","5,162",304,780,183
E05005646 : Fleet,"1,555",92,204,81
E05005647 : Gedney,"1,756",110,254,72
E05005648 : Holbeach Hurn,"1,703",104,255,58
E05005649 : Holbeach Town,"5,124",267,873,205
E05005650 : Long Sutton,"5,208",298,803,195
"E05005651 : Moulton, Weston and Cowbit","4,917",445,612,160
E05005652 : Pinchbeck and Surfleet,"4,986",365,765,173
E05005653 : Spalding Castle,"1,798",141,311,77
E05005654 : Spalding Monks House,"3,812",247,621,135
E05005655 : Spalding St John's,"4,633",274,"1,010",157
E05005656 : Spalding St Mary's,"3,306",198,669,136
E05005657 : Spalding St Paul's,"3,966",234,936,197
E05005658 : Spalding Wygate,"3,277",248,517,114
E05005659 : Sutton Bridge,"3,103",140,535,142
E05005660 : The Saints,"1,897",149,257,71
E05005661 : Whaplode and Holbeach St John's,"3,221",228,425,117
E05005662 : All Saints,"3,761",312,579,140
E05005663 : Aveland,"1,621",186,147,38
E05005664 : Barrowby,"1,426",166,135,45
E05005665 : Belmont,"3,826",352,405,68
E05005666 : Bourne East,"5,945",567,731,194
E05005667 : Bourne West,"4,311",421,502,123
E05005668 : Deeping St James,"5,358",592,465,133
E05005669 : Earlesfield,"5,129",160,"1,091",367
E05005670 : Ermine,"2,021",236,168,47
E05005671 : Forest,"1,528",166,148,27
E05005672 : Glen Eden,"1,773",253,136,43
E05005673 : Grantham St John's,"4,615",266,797,192
E05005674 : Green Hill,"3,048",337,267,42
E05005675 : Greyfriars,"3,038",275,369,101
E05005676 : Harrowby,"4,013",176,718,225
E05005677 : Heath,"1,354",214,116,30
E05005678 : Hillsides,"1,630",264,105,38
E05005679 : Isaac Newton,"1,770",176,205,51
E05005680 : Lincrest,"1,624",235,127,52
E05005681 : Loveden,"1,847",282,159,47
E05005682 : Market and West Deeping,"4,642",555,427,171
E05005683 : Morkery,"1,830",197,210,48
E05005684 : Peascliffe,"1,531",134,172,57
E05005685 : Ringstone,"2,156",221,212,53
E05005686 : St Anne's,"3,574",241,550,167
E05005687 : St George's,"2,823",262,374,79
E05005688 : St Mary's,"3,382",530,301,118
E05005689 : St Wulfram's,"2,997",364,281,113
E05005690 : Saxonwell,"1,685",264,121,34
E05005691 : Stamford St John's,"4,409",573,432,58
E05005692 : Thurlby,"1,602",226,109,30
E05005693 : Toller,"1,926",187,206,67
E05005694 : Truesdale,"3,423",563,223,60
E05005695 : Witham Valley,"1,701",261,148,24
E05005696 : Bardney,"1,517",108,188,53
E05005697 : Caistor,"2,358",237,311,78
E05005698 : Cherry Willingham,"3,170",318,303,80
E05005699 : Dunholme,"1,807",182,169,37
E05005700 : Fiskerton,"1,552",127,185,55
E05005701 : Gainsborough East,"4,907",178,933,494
E05005702 : Gainsborough North,"5,017",255,823,319
E05005703 : Gainsborough South-West,"3,412",139,613,318
E05005704 : Hemswell,"1,910",146,250,102
E05005705 : Kelsey,"2,044",257,209,64
E05005706 : Lea,"1,580",153,146,37
E05005707 : Market Rasen,"3,903",311,475,191
E05005708 : Middle Rasen,"2,208",213,219,80
E05005709 : Nettleham,"3,415",405,239,60
E05005710 : Saxilby,"3,771",486,294,105
E05005711 : Scampton,"2,354",263,190,69
E05005712 : Scotter,"3,520",379,339,89
E05005713 : Stow,"1,694",182,140,52
E05005714 : Sudbrooke,"1,915",312,85,36
E05005715 : Thonock,"1,996",157,224,105
E05005716 : Torksey,"2,124",193,224,82
E05005717 : Waddingham and Spital,"1,884",223,184,57
E05005718 : Welton,"4,042",505,325,96
E05005719 : Wold View,"1,749",141,208,79
E05005720 : Yarborough,"1,682",140,185,32
E05005926 : Beanfield,"2,515",79,670,88
E05005927 : Central,"1,601",62,398,74
E05005928 : Danesholme,"2,956",139,645,113
E05005929 : East,"5,169",249,"1,286",229
E05005930 : Exeter,"1,605",31,483,121
E05005931 : Great Oakley,"1,763",208,167,33
E05005932 : Kingswood,"4,910",143,"1,377",400
E05005933 : Lodge Park,"2,437",85,605,96
E05005934 : Oakley Vale,"6,761",578,"1,234",198
E05005935 : Rowlett,"3,250",121,781,129
E05005936 : Rural West,"1,272",156,138,9
E05005937 : Shire Lodge,"3,301",134,814,127
E05005938 : Stanion and Corby Village,"1,918",144,406,64
E05005939 : Tower Hill,"3,092",150,759,139
E05005940 : Weldon and Gretton,"2,499",267,347,55
E05005941 : Abbey North,"7,120",641,"1,165",220
E05005942 : Abbey South,"2,498",184,449,86
E05005943 : Badby,"1,488",242,83,31
E05005944 : Barby and Kilsby,"3,430",380,519,300
E05005945 : Boughton and Pitsford,"1,243",216,72,24
E05005946 : Brampton,"1,380",255,68,26
E05005947 : Braunston,"1,313",208,121,29
E05005948 : Brixworth,"4,431",632,368,76
E05005949 : Byfield,"1,375",234,123,38
E05005950 : Clipston,"1,538",262,104,22
E05005951 : Crick,"1,358",224,107,33
E05005952 : Drayton,"4,541",300,829,180
E05005953 : Flore,"1,416",212,131,33
E05005954 : Hill,"4,117",296,714,171
E05005955 : Long Buckby,"3,099",452,319,62
E05005956 : Moulton,"3,084",390,255,61
E05005957 : Ravensthorpe,"1,378",254,73,20
E05005958 : Spratton,"1,357",217,122,23
E05005959 : Walgrave,"1,499",251,126,37
E05005960 : Weedon,"2,527",330,286,54
E05005961 : Welford,"1,413",242,86,32
E05005962 : West Haddon and Guilsborough,"1,690",292,119,33
E05005963 : Woodford,"2,733",276,359,65
E05005964 : Yelvertoft,"1,351",203,108,23
E05005965 : Barnwell,"1,434",239,88,20
E05005966 : Fineshade,"1,527",228,160,36
E05005967 : Higham Ferrers Chichele,"2,522",231,386,49
E05005968 : Higham Ferrers Lancaster,"3,735",461,436,111
E05005969 : Irthlingborough John Pyel,"3,381",279,568,133
E05005970 : Irthlingborough Waterloo,"2,850",198,508,91
E05005971 : King's Forest,"1,356",199,137,36
E05005972 : Lower Nene,"1,549",283,88,26
E05005973 : Lyveden,"1,519",200,179,26
E05005974 : Oundle,"4,406",576,393,74
E05005975 : Prebendal,"1,585",263,124,27
E05005976 : Raunds Saxon,"3,505",314,419,87
E05005977 : Raunds Windmill,"2,881",157,523,93
E05005978 : Rushden Bates,"3,289",321,391,96
E05005979 : Rushden Hayden,"5,248",286,"1,067",283
E05005980 : Rushden Pemberton,"4,892",307,818,184
E05005981 : Rushden Sartoris,"3,151",343,324,78
E05005982 : Rushden Spencer,"4,575",442,614,177
E05005983 : Stanwick,"1,638",216,174,28
E05005984 : Thrapston Lakes,"3,378",370,494,79
E05005985 : Thrapston Market,"3,023",390,350,70
E05005986 : Woodford,"1,562",222,202,38
E05005987 : All Saints,"6,012",384,"1,017",298
E05005988 : Avondale Grange,"3,877",141,916,283
E05005989 : Barton,"3,507",390,391,82
E05008549 : Brambleside,"3,444",363,435,102
E05005991 : Burton Latimer,"5,412",437,816,159
E05005992 : Desborough Loatland,"4,204",415,617,131
E05005993 : Desborough St Giles,"3,548",305,505,98
E05005994 : Ise Lodge,"5,409",540,589,107
E05005995 : Northfield,"1,954",126,330,133
E05005996 : Pipers Hill,"3,769",256,659,190
E05008550 : Queen Eleanor and Buccleuch,"1,945",282,185,33
E05005998 : Rothwell,"5,639",497,888,194
E05005999 : St Michael's and Wicksteed,"5,441",426,858,287
E05006000 : St Peter's,"3,403",533,308,91
E05006001 : Slade,"4,401",667,379,84
E05006002 : Welland,"2,003",332,145,39
E05006003 : William Knibb,"3,952",235,761,284
E05008824 : Abington,"7,429",690,957,311
E05008825 : Billing,"6,120",537,811,344
E05008826 : Boothville,"2,926",293,333,55
E05008827 : Brookside,"3,908",153,752,352
E05008828 : Castle,"11,349",899,"2,032",882
E05008829 : Delapre and Briar Hill,"10,623",794,"1,782",586
E05008830 : East Hunsbury,"7,631","1,005",627,129
E05008831 : Eastfield,"3,692",249,614,263
E05008832 : Headlands,"3,171",170,499,206
E05008833 : Kings Heath,"3,245",91,734,343
E05008834 : Kingsley,"3,966",249,645,179
E05008835 : Kingsthorpe,"3,346",343,357,75
E05008836 : Nene Valley,"7,669","1,281",534,170
E05008837 : New Duston,"7,346",631,889,155
E05008838 : Obelisk,"3,412",164,288,68
E05008839 : Old Duston,"5,209",414,713,155
E05008840 : Park,"3,179",528,185,67
E05008841 : Parklands,"3,221",246,421,98
E05008842 : Phippsville,"3,457",413,352,184
E05008843 : Rectory Farm,"3,930",266,529,204
E05008844 : Riverside,"3,208",234,458,169
E05008845 : Rushmills,"3,640",539,319,282
E05008846 : St David's,"3,569",113,740,292
E05008847 : St James,"4,175",285,754,328
E05008848 : Semilong,"4,654",270,842,289
E05008849 : Spencer,"3,990",180,847,409
E05008850 : Spring Park,"3,220",242,371,89
E05008851 : Sunnyside,"3,173",192,449,143
E05008852 : Talavera,"7,839",354,"1,397",670
E05008853 : Trinity,"3,280",276,340,163
E05008854 : Upton,"3,817",670,235,124
E05008855 : West Hunsbury,"3,475",458,329,97
E05008856 : Westone,"2,813",238,355,100
E05006027 : Astwell,"1,487",248,89,23
E05006028 : Blakesley and Cote,"2,568",497,155,38
E05006029 : Blisworth and Roade,"3,169",349,374,65
E05006030 : Brackley East,"3,139",375,300,64
E05006031 : Brackley South,"3,133",307,422,84
E05006032 : Brackley West,"3,150",462,256,47
E05006033 : Brafield and Yardley,"3,004",419,250,65
E05006034 : Cosgrove and Grafton,"1,602",236,125,32
E05006035 : Danvers and Wardoun,"2,665",442,201,52
E05006036 : Deanshanger,"3,023",360,287,53
E05006037 : Grange Park,"2,956",571,152,50
E05006038 : Hackleton,"1,644",266,110,23
E05006039 : Harpole and Grange,"3,269",415,326,74
E05006040 : Heyfords and Bugbrooke,"3,184",384,325,61
E05006041 : Kings Sutton,"1,528",160,209,31
E05006042 : Kingthorn,"1,218",191,88,24
E05006043 : Little Brook,"1,652",249,84,25
E05006044 : Middleton Cheney,"2,760",300,306,27
E05006045 : Old Stratford,"1,453",227,86,33
E05006046 : Salcey,"1,689",218,146,40
E05006047 : Silverstone,"1,630",270,143,18
E05006048 : Steane,"1,494",197,109,24
E05006049 : Tove,"1,237",216,105,18
E05006050 : Towcester Brook,"4,323",512,488,113
E05006051 : Towcester Mill,"2,495",430,163,36
E05006052 : Washington,"1,303",224,69,41
E05006053 : Whittlewood,"1,546",222,137,30
E05008595 : Brickhill,"4,083",242,789,226
E05006055 : Castle,"5,532",289,"1,282",394
E05006056 : Croyland,"5,762",395,"1,100",415
E05006057 : Earls Barton,"3,922",421,485,71
E05006058 : Finedon,"3,219",252,596,116
E05008596 : Great Doddington and Wilby,"1,292",138,159,21
E05006060 : Hemmingwell,"5,801",446,"1,025",401
E05006061 : Irchester,"3,492",251,569,137
E05006062 : North,"1,688",238,172,37
E05008597 : Queensway,"4,023",115,920,285
E05006064 : Redwell East,"3,194",343,391,90
E05006065 : Redwell West,"2,607",311,250,68
E05006066 : South,"1,531",187,169,39
E05008598 : Swanspool,"4,422",263,902,322
E05006068 : West,"1,281",196,124,19
E05006069 : Wollaston,"2,968",377,290,58
E05006362 : Hucknall Central,"5,338",333,897,267
E05006363 : Hucknall East,"5,969",449,953,403
E05006364 : Hucknall North,"5,191",377,790,191
E05006365 : Hucknall West,"7,188",421,"1,194",304
E05006366 : Jacksdale,"2,409",124,506,94
E05006367 : Kirkby in Ashfield Central,"5,245",386,905,215
E05006368 : Kirkby in Ashfield East,"4,762",239,"1,087",359
E05006369 : Kirkby in Ashfield West,"5,033",265,"1,090",317
E05006370 : Selston,"4,969",321,943,176
E05006371 : Sutton in Ashfield Central,"8,323",315,"1,945",632
E05006372 : Sutton in Ashfield East,"9,149",477,"1,901",574
E05006373 : Sutton in Ashfield North,"8,104",438,"1,537",431
E05006374 : Sutton in Ashfield West,"8,709",603,"1,661",395
E05006375 : Underwood,"2,212",181,346,69
E05006376 : Woodhouse,"5,436",318,"1,067",201
E05006377 : Beckingham,"1,652",173,148,46
E05006378 : Blyth,"1,646",190,150,53
E05006379 : Carlton,"4,134",310,701,190
E05006380 : Clayworth,"1,470",180,110,44
E05006381 : East Markham,"1,794",242,129,59
E05006382 : East Retford East,"5,137",397,708,285
E05006383 : East Retford North,"4,380",253,663,197
E05006384 : East Retford South,"3,062",166,527,156
E05006385 : East Retford West,"3,590",243,468,170
E05006386 : Everton,"1,710",279,125,48
E05006387 : Harworth,"5,733",215,"1,155",360
E05006388 : Langold,"1,869",58,473,117
E05006389 : Misterton,"1,790",183,228,71
E05006390 : Rampton,"1,823",169,221,165
E05006391 : Ranskill,"1,843",219,198,63
E05006392 : Sturton,"1,725",177,151,46
E05006393 : Sutton,"2,580",210,445,291
E05006394 : Tuxford and Trent,"3,221",239,459,113
E05006395 : Welbeck,"1,523",112,212,57
E05006396 : Worksop East,"4,595",221,962,191
E05006397 : Worksop North,"6,649",549,929,234
E05006398 : Worksop North East,"4,639",320,728,183
E05006399 : Worksop North West,"5,730",481,899,280
E05006400 : Worksop South,"5,197",498,629,211
E05006401 : Worksop South East,"5,813",137,"1,554",604
E05006402 : Attenborough,"1,673",292,133,43
E05006403 : Awsworth,"1,720",126,264,73
E05006404 : Beeston Central,"3,756",525,412,156
E05006405 : Beeston North,"4,311",640,471,246
E05006406 : Beeston Rylands,"4,308",551,549,175
E05006407 : Beeston West,"4,018",851,253,164
E05006408 : Bramcote,"5,243","1,127",297,118
E05006409 : Brinsley,"1,758",150,270,57
E05006410 : Chilwell East,"3,547",564,274,112
E05006411 : Chilwell West,"5,742",631,750,244
E05006412 : Cossall and Kimberley,"5,088",454,658,171
E05006413 : Eastwood North and Greasley (Beauvale),"2,366",161,375,82
E05006414 : Eastwood South,"6,777",388,"1,271",477
E05006415 : Greasley (Giltbrook and Newthorpe),"4,725",428,559,105
E05006416 : Nuthall East and Strelley,"3,889",585,271,120
E05006417 : Nuthall West and Greasley (Watnall),"3,714",453,399,118
E05006418 : Stapleford North,"3,452",232,560,175
E05006419 : Stapleford South East,"3,643",380,501,142
E05006420 : Stapleford South West,"4,078",294,611,157
E05006421 : Toton and Chilwell Meadows,"5,976","1,005",405,102
E05006422 : Trowell,"1,789",197,174,41
E05006423 : Bestwood Village,"1,422",139,180,55
E05006424 : Bonington,"4,992",404,623,246
E05006425 : Burton Joyce and Stoke Bardolph,"2,515",436,132,50
E05006426 : Calverton,"5,227",395,632,186
E05006427 : Carlton,"5,120",388,632,237
E05006428 : Carlton Hill,"5,338",380,694,217
E05006429 : Daybrook,"3,663",212,596,250
E05006430 : Gedling,"4,888",553,475,170
E05006431 : Killisick,"1,709",53,292,149
E05006432 : Kingswell,"3,584",379,317,114
E05006433 : Lambley,"1,547",219,136,44
E05006434 : Mapperley Plains,"5,395",516,549,162
E05006435 : Netherfield and Colwick,"5,626",451,785,276
E05006436 : Newstead,"1,744",209,230,83
E05006437 : Phoenix,"3,640",248,501,165
E05006438 : Porchester,"5,190",666,365,171
E05006439 : Ravenshead,"4,139",675,203,73
E05006440 : St James,"3,204",256,409,105
E05006441 : St Marys,"4,825",344,651,202
E05006442 : Valley,"3,125",196,472,179
E05006443 : Woodborough,"1,422",248,118,37
E05006444 : Woodthorpe,"4,969",817,237,116
E05008857 : Abbott,"1,734",73,367,78
E05008858 : Berry Hill,"1,650",233,107,31
E05008859 : Brick Kiln,"2,260",86,466,120
E05008860 : Broomhill,"2,268",59,587,127
E05008861 : Bull Farm and Pleasley Hill,"2,611",93,546,233
E05008862 : Carr Bank,"2,399",106,535,280
E05008863 : Eakring,"2,017",177,248,59
E05008864 : Grange Farm,"2,110",170,310,47
E05008865 : Holly,"2,332",179,263,39
E05008866 : Hornby,"2,083",163,269,47
E05008867 : Kings Walk,"2,139",272,163,48
E05008868 : Kingsway,"2,243",127,366,105
E05008869 : Ladybrook,"2,535",83,655,211
E05008870 : Lindhurst,"2,219",253,240,54
E05008871 : Ling Forest,"1,972",139,270,68
E05008872 : Manor,"2,062",120,315,62
E05008873 : Market Warsop,"2,288",87,528,145
E05008874 : Maun Valley,"1,925",124,294,58
E05008875 : Meden,"1,966",92,415,120
E05008876 : Netherfield,"2,140",86,419,129
E05008877 : Newgate,"2,198",67,606,245
E05008878 : Newlands,"2,320",94,449,92
E05008879 : Oak Tree,"2,018",71,424,311
E05008880 : Oakham,"1,954",287,154,49
E05008881 : Park Hall,"2,381",95,504,133
E05008882 : Peafields,"2,116",141,347,96
E05008883 : Penniment,"2,056",65,494,123
E05008884 : Portland,"1,746",39,479,171
E05008885 : Racecourse,"2,234",106,452,100
E05008886 : Ransom Wood,"1,993",72,375,177
E05008887 : Sandhurst,"2,246",183,374,99
E05008888 : Sherwood,"1,873",108,344,94
E05008889 : Warsop Carrs,"2,307",86,506,109
E05008890 : Woodhouse,"2,363",78,575,232
E05008891 : Woodlands,"1,634",116,321,112
E05008892 : Yeoman Hill,"2,763",182,481,141
E05006464 : Balderton North,"3,573",277,466,119
E05006465 : Balderton West,"3,607",232,534,124
E05006466 : Beacon,"5,416",509,677,181
E05006467 : Blidworth,"3,255",172,577,185
E05006468 : Boughton,"3,682",195,781,255
E05006469 : Bridge,"3,694",197,753,243
E05006470 : Castle,"3,500",326,445,187
E05006471 : Caunton,"1,710",248,137,27
E05006472 : Clipstone,"3,249",208,587,153
E05006473 : Collingham and Meering,"3,310",439,295,73
E05006474 : Devon,"3,899",138,869,364
E05006475 : Edwinstowe,"3,799",280,620,88
E05006476 : Farndon,"4,336",603,370,126
E05006477 : Farnsfield and Bilsthorpe,"6,045",713,770,202
E05006478 : Lowdham,"4,326",618,556,168
E05006479 : Magnus,"3,815",276,605,247
E05006480 : Muskham,"1,858",243,133,35
E05006481 : Ollerton,"4,842",190,"1,055",257
E05006482 : Rainworth,"5,144",309,853,210
E05006483 : Southwell East,"1,672",311,80,27
E05006484 : Southwell North,"1,657",219,143,40
E05006485 : Southwell West,"2,153",349,113,36
E05006486 : Sutton-on-Trent,"1,824",271,179,44
E05006487 : Trent,"1,781",370,76,23
E05006488 : Winthorpe,"1,998",308,154,61
E05006489 : Abbey,"3,274",738,158,77
E05006490 : Bingham East,"3,229",541,223,60
E05006491 : Bingham West,"3,379",427,287,102
E05006492 : Compton Acres,"3,629",801,142,111
E05006493 : Cotgrave,"5,296",422,732,219
E05006494 : Cranmer,"2,163",255,376,87
E05006495 : Edwalton Village,"2,588",527,147,93
E05006496 : Gamston,"3,872",916,184,94
E05006497 : Gotham,"1,510",209,133,27
E05006498 : Keyworth North,"1,157",252,58,15
E05006499 : Keyworth South,"3,640",505,332,109
E05006500 : Lady Bay,"3,781",867,172,91
E05006501 : Leake,"4,592",749,375,102
E05006502 : Lutterell,"2,712",459,178,86
E05006503 : Manvers,"2,894",524,145,58
E05006504 : Melton,"3,434",895,113,71
E05006505 : Musters,"3,056",781,116,86
E05006506 : Nevile,"1,397",294,62,25
E05006507 : Oak,"1,556",293,77,38
E05006508 : Ruddington,"5,194",846,434,156
E05006509 : Soar Valley,"2,106",301,96,20
E05006510 : Stanford,"1,921",398,84,43
E05006511 : Thoroton,"1,578",272,82,14
E05006512 : Tollerton,"1,320",246,55,13
E05006513 : Trent,"3,315",554,242,90
E05006514 : Trent Bridge,"3,743",647,184,140
E05006515 : Wiverton,"2,861",441,239,51
E05006516 : Wolds,"1,558",353,69,21
E05001842 : Aylestone,"4,846",409,594,215
E05001843 : Backbury,"2,219",269,187,64
E05001844 : Belmont,"7,163",327,"1,191",435
E05001845 : Bircher,"2,020",267,141,39
E05001846 : Bringsty,"2,155",267,114,54
E05001847 : Bromyard,"4,225",347,500,171
"E05001848 : Burghill, Holmer and Lyde","2,426",275,161,51
E05001849 : Castle,"2,279",240,154,62
E05001850 : Central,"2,448",202,324,128
E05001851 : Credenhill,"2,517",249,232,82
E05001852 : Frome,"2,610",373,170,70
E05001853 : Golden Cross with Weobley,"2,063",224,185,59
E05001854 : Golden Valley North,"2,226",240,161,46
E05001855 : Golden Valley South,"2,139",226,117,50
E05001856 : Hagley,"2,804",337,228,83
E05001857 : Hampton Court,"2,018",218,172,54
E05001858 : Hollington,"1,585",182,146,41
E05001859 : Hope End,"4,087",677,255,97
E05001860 : Kerne Bridge,"2,302",326,159,56
E05001861 : Kington Town,"2,233",153,276,113
E05001862 : Ledbury,"6,731",689,822,189
E05001863 : Leominster North,"3,985",226,637,212
E05001864 : Leominster South,"4,332",263,666,198
E05001865 : Llangarron,"2,508",315,167,97
E05001866 : Mortimer,"2,365",241,180,56
E05001867 : Old Gore,"2,366",308,172,51
E05001868 : Pembridge and Lyonshall with Titley,"2,306",222,200,65
E05001869 : Penyard,"2,476",366,175,59
E05001870 : Pontrilas,"2,634",306,193,65
E05001871 : Ross-on-Wye East,"3,441",324,412,126
E05001872 : Ross-on-Wye West,"4,132",345,517,173
E05001873 : St Martins and Hinton,"9,099",462,"1,498",495
E05001874 : St Nicholas,"5,021",378,687,162
E05001875 : Stoney Street,"2,186",180,223,81
E05001876 : Sutton Walls,"2,489",248,328,60
E05001877 : Three Elms,"7,797",446,"1,103",286
E05001878 : Tupsley,"6,709",625,644,221
E05001879 : Upton,"2,101",226,132,54
E05001880 : Valletts,"2,436",201,210,99
E05001881 : Wormsley Ridge,"1,963",243,125,54
E05008136 : Abbey,"2,716",345,215,76
E05008137 : Albrighton,"3,303",382,285,82
E05008138 : Alveley and Claverley,"3,033",373,208,67
E05008139 : Bagley,"3,450",295,354,81
E05008140 : Battlefield,"3,192",205,430,84
"E05008141 : Bayston Hill, Column and Sutton","8,832",850,851,230
E05008142 : Belle Vue,"3,375",426,283,104
E05008143 : Bishop's Castle,"2,747",237,279,94
E05008144 : Bowbrook,"2,946",357,269,126
E05008145 : Bridgnorth East and Astley Abbotts,"5,007",551,502,145
E05008146 : Bridgnorth West and Tasley,"5,046",621,535,147
E05008147 : Broseley,"3,689",298,520,126
E05008148 : Brown Clee,"2,876",342,246,73
E05008149 : Burnell,"3,422",459,193,72
E05008150 : Castlefields and Ditherington,"3,107",186,514,185
E05008151 : Cheswardine,"3,032",342,278,93
E05008152 : Chirbury and Worthen,"2,276",229,189,49
E05008153 : Church Stretton and Craven Arms,"6,241",694,607,191
E05008154 : Clee,"3,388",337,343,92
E05008155 : Cleobury Mortimer,"5,366",536,545,134
E05008156 : Clun,"2,839",295,248,64
E05008157 : Copthorne,"2,816",470,147,46
E05008158 : Corvedale,"2,874",351,192,65
E05008159 : Ellesmere Urban,"2,727",209,396,95
E05008160 : Harlescott,"3,570",133,657,205
E05008161 : Highley,"2,666",179,412,102
E05008162 : Hodnet,"3,407",332,310,258
E05008163 : Llanymynech,"2,983",285,303,85
E05008164 : Longden,"2,893",340,266,85
E05008165 : Loton,"3,015",344,232,86
E05008166 : Ludlow East,"2,859",164,523,142
E05008167 : Ludlow North,"2,672",262,313,82
E05008168 : Ludlow South,"2,919",241,361,106
E05008169 : Market Drayton East,"3,529",337,369,159
E05008170 : Market Drayton West,"6,266",467,871,224
E05008171 : Meole,"3,038",301,338,124
E05008172 : Rea Valley,"3,051",301,307,104
E05008173 : Monkmoor,"3,267",147,517,185
E05008174 : Much Wenlock,"2,936",384,261,86
E05008175 : Oswestry East,"6,630",361,"1,006",310
E05008176 : Oswestry South,"3,081",317,295,148
E05008177 : Oswestry West,"2,748",188,395,160
E05008178 : Porthill,"3,223",448,166,80
E05008179 : Prees,"3,142",306,320,128
E05008180 : Quarry and Coton Hill,"3,563",411,431,145
E05008181 : Radbrook,"2,924",389,212,83
E05008182 : Ruyton and Baschurch,"2,950",338,220,77
E05008183 : St Martin's,"3,175",274,433,128
E05008184 : St Oswald,"3,289",324,298,90
"E05008185 : Gobowen, Selattyn and Weston Rhyn","5,078",410,631,207
E05008186 : Severn Valley,"3,111",431,279,80
E05008187 : Shawbury,"3,477",505,335,65
E05008188 : Shifnal North,"3,528",379,442,117
E05008189 : Shifnal South and Cosford,"4,008",518,224,69
E05008190 : Sundorne,"2,829",107,492,155
E05008191 : Tern,"3,212",348,239,105
E05008192 : The Meres,"3,380",384,259,93
E05008193 : Underdale,"3,232",248,387,152
E05008194 : Wem,"5,974",518,719,206
E05008195 : Whitchurch North,"5,046",347,737,224
E05008196 : Whitchurch South,"3,173",248,391,136
E05008197 : Whittington,"2,994",282,281,92
E05008198 : Worfield,"2,754",340,233,77
E05008714 : Abbey Hulton and Townsend,"7,143",199,"1,810",598
"E05008715 : Baddeley, Milton and Norton","12,551",734,"2,319",540
E05008716 : Bentilee and Ubberley,"7,292",135,"2,091",788
E05008717 : Birches Head and Central Forest Park,"8,659",388,"1,661",567
E05008718 : Blurton East,"3,860",196,803,204
E05008719 : Blurton West and Newstead,"4,402",205,"1,039",418
E05008720 : Boothen and Oak Hill,"4,423",245,776,316
E05008721 : Bradeley and Chell Heath,"4,140",139,"1,003",348
E05008722 : Broadway and Longton East,"4,006",153,909,150
E05008723 : Burslem Central,"4,613",185,"1,064",483
E05008724 : Burslem Park,"3,815",132,839,229
E05008725 : Dresden and Florence,"3,593",198,635,339
E05008726 : Eaton Park,"3,370",133,704,147
E05008727 : Etruria and Hanley,"4,881",169,905,708
E05008728 : Fenton East,"4,686",152,"1,123",302
E05008729 : Fenton West and Mount Pleasant,"4,395",131,"1,011",270
E05008730 : Ford Green and Smallthorne,"4,181",251,842,255
E05008731 : Goldenhill and Sandyford,"3,881",169,857,304
E05008732 : Great Chell and Packmoor,"7,311",394,"1,451",353
E05008733 : Hanford and Trentham,"8,814","1,013",898,262
E05008734 : Hanley Park and Shelton,"5,635",114,394,417
E05008735 : Hartshill and Basford,"5,159",407,679,323
E05008736 : Hollybush and Longton West,"4,188",140,"1,066",251
E05008737 : Joiner's Square,"3,902",128,736,450
E05008738 : Lightwood North and Normacot,"3,653",214,484,491
E05008739 : Little Chell and Stanfield,"4,514",170,983,454
E05008740 : Meir Hay,"3,612",188,694,99
E05008741 : Meir North,"3,954",84,"1,001",422
E05008742 : Meir Park,"3,806",410,429,78
E05008743 : Meir South,"4,025",149,914,427
E05008744 : Moorcroft,"3,704",120,630,572
E05008745 : Penkhull and Stoke,"4,906",445,702,230
E05008746 : Sandford Hill,"4,799",163,"1,141",296
E05008747 : Sneyd Green,"3,821",176,717,204
E05008748 : Springfields and Trent Vale,"5,014",284,"1,005",280
E05008749 : Tunstall,"4,399",151,992,507
E05008750 : Weston Coyney,"3,701",178,730,162
