KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05001501 : Park End,"4,272",60,"1,005",608
E05001502 : Stainton and Thornton,"2,130",179,288,168
E05001503 : Thorntree,"4,225",57,"1,060",812
E05001504 : University,"5,101",129,532,948
E05008018 : Alnwick,"3,413",269,507,162
E05008019 : Amble,"3,322",172,572,216
E05008020 : Amble West with Warkworth,"3,180",346,313,99
E05008021 : Ashington Central,"3,695",114,749,352
E05008022 : Bamburgh,"3,617",283,463,96
E05008023 : Bedlington Central,"3,127",252,405,165
E05008024 : Bedlington East,"3,530",131,668,285
E05008025 : Bedlington West,"4,131",398,473,143
E05008026 : Bellingham,"3,087",272,263,69
E05008027 : Berwick East,"3,542",148,618,151
E05008028 : Berwick North,"3,206",225,453,103
E05008029 : Berwick West with Ord,"2,911",141,506,105
E05008030 : Bothal,"3,259",260,377,113
E05008031 : Bywell,"3,233",649,190,62
E05008032 : Chevington with Longhorseley,"4,428",318,747,436
E05008033 : Choppington,"3,414",172,591,253
E05008034 : College,"3,846",140,763,344
E05008035 : Corbridge,"3,041",565,203,102
E05008036 : Cowpen,"3,136",74,686,268
E05008037 : Cramlington East,"4,019",201,703,223
E05008038 : Cramlington Eastfield,"3,842",293,454,151
E05008039 : Cramlington North,"4,041",604,177,48
E05008040 : Cramlington South East,"3,086",226,350,76
E05008041 : Cramlington Village,"3,308",275,368,115
E05008042 : Cramlington West,"3,984",173,674,288
E05008043 : Croft,"3,412",121,660,428
E05008044 : Haltwhistle,"3,598",251,578,121
E05008045 : Hartley,"3,635",327,373,126
E05008046 : Haydon,"3,539",232,486,136
E05008047 : Haydon and Hadrian,"3,316",324,334,104
E05008048 : Hexham Central with Acomb,"3,181",301,390,119
E05008049 : Hexham East,"2,896",336,344,127
E05008050 : Hexham West,"3,280",596,146,67
E05008051 : Hirst,"4,023",119,818,545
E05008052 : Holywell,"3,805",282,484,125
E05008053 : Humshaugh,"3,463",454,253,77
E05008054 : Isabella,"3,464",88,778,321
E05008055 : Kitty Brewster,"3,947",185,730,312
E05008056 : Lesbury,"3,721",386,386,122
E05008057 : Longhoughton,"3,275",459,226,77
E05008058 : Lynemouth,"3,635",253,531,208
E05008059 : Morpeth Kirkhill,"3,686",540,310,96
E05008060 : Morpeth North,"3,120",509,196,229
E05008061 : Morpeth Stobhill,"2,968",322,325,142
E05008062 : Newbiggin Central and East,"3,437",136,588,348
E05008063 : Newsham,"3,445",141,639,266
E05008064 : Norham and Islandshires,"3,377",288,323,92
E05008065 : Pegswood,"2,867",225,406,131
E05008066 : Plessey,"2,987",174,413,120
E05008067 : Ponteland East,"3,279",566,157,55
E05008068 : Ponteland North,"3,245",472,218,112
E05008069 : Ponteland South with Heddon,"3,057",643,113,68
E05008070 : Ponteland West,"3,204",668,122,62
E05008071 : Prudhoe East,"4,224",283,611,193
E05008072 : Prudhoe West,"3,832",354,379,128
E05008073 : Rothbury,"3,930",495,297,102
E05008074 : Seaton with Newbiggin West,"3,409",191,570,275
E05008075 : Seghill with Seaton Delaval,"4,142",271,587,185
E05008076 : Shilbottle,"3,678",479,320,83
E05008077 : Sleekburn,"2,965",91,590,223
E05008078 : South Blyth,"3,522",389,277,54
E05008079 : South Tynedale,"3,698",572,222,78
E05008080 : Stakeford,"3,525",222,491,119
E05008081 : Stocksfield and Broomhaugh,"3,544",678,183,76
E05008082 : Ulgham,"3,901",560,354,136
E05008083 : Wensleydale,"3,406",217,488,192
E05008084 : Wooler,"3,188",229,396,93
E05001505 : Brotton,"5,185",213,961,442
E05001506 : Coatham,"4,032",156,661,509
E05001507 : Dormanstown,"4,837",180,857,392
E05001508 : Eston,"5,213",173,"1,068",442
E05001509 : Grangetown,"3,496",53,859,743
E05001510 : Guisborough,"5,480",373,796,410
E05001511 : Hutton,"5,326",666,461,164
E05001512 : Kirkleatham,"5,118",228,859,489
E05001513 : Lockwood,"1,516",66,264,140
E05001514 : Loftus,"4,702",160,928,479
E05001515 : Longbeck,"5,292",465,553,158
E05001516 : Newcomen,"3,130",105,571,291
E05001517 : Normanby,"5,302",348,759,302
E05001518 : Ormesby,"4,373",258,648,261
E05001519 : St Germain's,"4,449",335,534,195
E05001520 : Saltburn,"4,325",451,412,280
E05001521 : Skelton,"5,532",296,783,369
E05001522 : South Bank,"4,739",130,"1,058",615
E05001523 : Teesville,"4,761",210,868,313
E05001524 : West Dyke,"5,569",493,536,171
E05001525 : Westworth,"3,484",305,406,118
E05001526 : Zetland,"3,316",216,423,182
E05001527 : Billingham Central,"5,100",163,948,410
E05001528 : Billingham East,"5,356",154,"1,166",534
E05001529 : Billingham North,"7,057",564,751,195
E05001530 : Billingham South,"4,789",178,875,389
E05001531 : Billingham West,"4,062",339,414,80
E05001532 : Bishopsgarth and Elm Tree,"5,031",383,675,203
E05001533 : Eaglescliffe,"7,673","1,042",607,232
E05001534 : Fairfield,"4,239",329,456,132
E05001535 : Grangefield,"4,900",462,504,204
E05001536 : Hardwick,"4,727",122,"1,009",547
E05001537 : Hartburn,"4,877",522,387,128
E05001538 : Ingleby Barwick East,"7,509","1,017",452,190
E05001539 : Ingleby Barwick West,"7,636","1,096",432,161
E05001540 : Mandale and Victoria,"8,368",330,"1,372",867
E05001541 : Newtown,"5,203",176,899,745
E05001542 : Northern Parishes,"2,550",500,100,62
E05001543 : Norton North,"4,865",264,853,396
E05001544 : Norton South,"5,976",243,"1,124",669
E05001545 : Norton West,"4,725",505,423,109
E05001546 : Parkfield and Oxbridge,"5,866",347,797,709
E05001547 : Roseworth,"5,300",131,"1,138",512
E05001548 : Stainsby Hill,"4,789",182,935,396
E05001549 : Stockton Town Centre,"4,880",99,985,901
E05001550 : Village,"5,120",226,845,355
E05001551 : Western Parishes,"2,522",350,202,92
E05001552 : Yarm,"7,534","1,245",585,243
E05001067 : Birtley,"6,101",381,937,341
E05001068 : Blaydon,"7,549",517,"1,158",461
E05001069 : Bridges,"7,333",865,892,589
E05001070 : Chopwell and Rowlands Gill,"6,816",536,959,355
E05001071 : Chowdene,"6,710",442,"1,033",350
E05001072 : Crawcrook and Greenside,"6,639",602,762,171
E05001073 : Deckham,"7,359",439,"1,304",692
E05001074 : Dunston and Teams,"7,053",450,"1,277",636
E05001075 : Dunston Hill and Whickham East,"6,728",651,774,222
E05001076 : Felling,"6,514",285,"1,484",743
E05001077 : High Fell,"6,890",283,"1,431",680
E05001078 : Lamesley,"6,545",447,"1,144",359
E05001079 : Lobley Hill and Bensham,"8,076",496,"1,353",600
E05001080 : Low Fell,"6,392",944,481,155
E05001081 : Pelaw and Heworth,"6,633",418,"1,122",360
"E05001082 : Ryton, Crookhill and Stella","5,975",599,691,212
E05001083 : Saltwell,"7,019",570,974,582
E05001084 : Wardley and Leam Lane,"6,053",399,962,239
E05001085 : Whickham North,"6,103",569,723,317
E05001086 : Whickham South and Sunniside,"6,289",745,474,164
E05001087 : Windy Nook and Whitehills,"7,124",324,"1,348",435
E05001088 : Winlaton and High Spen,"6,178",445,835,231
E05001089 : Benwell and Scotswood,"9,044",349,"1,752","1,138"
E05001090 : Blakelaw,"8,166",499,"1,362",743
E05001091 : Byker,"9,099",415,"1,869","1,277"
E05001092 : Castle,"7,578",820,818,308
E05001093 : Dene,"7,166","1,374",419,221
E05001094 : Denton,"7,269",352,"1,133",443
E05001095 : East Gosforth,"7,636","1,945",298,204
E05001096 : Elswick,"9,315",294,"1,450","1,889"
