QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05005542 : Coastal,955,114,254,318,269
E05005543 : Fenside,"1,409",60,209,253,887
E05005544 : Fishtoft,"1,752",225,473,490,564
E05005545 : Five Village,"1,079",150,271,325,333
E05005546 : Frampton and Holme,452,79,130,135,108
E05005547 : Kirton,"1,467",172,381,365,549
E05005548 : North,"1,009",244,260,227,278
E05005549 : Old Leake and Wrangle,888,119,239,267,263
E05005550 : Pilgrim,852,63,184,166,439
E05005551 : Skirbeck,"1,653",120,304,408,821
E05005552 : South,757,96,222,203,236
E05005553 : Staniland South,"1,038",60,181,254,543
E05005554 : Staniland North,584,48,88,122,326
E05005555 : Swineshead and Holland Fen,"1,060",164,279,321,296
E05005556 : West,558,96,183,140,139
E05005557 : Witham,"1,398",135,301,315,647
E05005558 : Wyberton,"1,025",116,255,328,326
E05005559 : Alford,"1,243",132,319,368,424
E05005560 : Binbrook,501,112,131,138,120
E05005561 : Burgh le Marsh,631,81,194,197,159
E05005562 : Chapel St Leonards,"1,195",94,264,328,509
E05005563 : Coningsby and Tattershall,"1,978",276,663,527,512
E05005564 : Croft,585,91,170,184,140
E05005565 : Frithville,535,92,130,179,134
E05005566 : Grimoldby,614,115,180,177,142
E05005567 : Halton Holegate,617,117,180,197,123
E05005568 : Holton le Clay,"1,049",187,314,325,223
E05005569 : Horncastle,"2,060",333,577,567,583
E05005570 : Hundleby,619,124,161,196,138
E05005571 : Ingoldmells,548,35,122,111,280
E05005572 : Legbourne,548,127,177,145,99
E05005573 : Ludford,624,166,182,161,115
E05005574 : Mablethorpe Central,490,33,110,126,221
E05005575 : Mablethorpe East,535,32,121,134,248
E05005576 : Mablethorpe North,495,32,90,138,235
E05005577 : Mareham le Fen,570,103,157,187,123
E05005578 : Marshchapel,596,109,182,161,144
E05005579 : North Holme,654,92,141,179,242
E05005580 : North Somercotes,511,63,146,148,154
E05005581 : North Thoresby,532,129,173,125,105
E05005582 : Priory,860,128,227,206,299
E05005583 : Roughton,556,118,156,174,108
E05005584 : St Clement's,"1,594",109,375,376,734
E05005585 : St James',904,170,259,210,265
E05005586 : St Margaret's,718,98,196,204,220
E05005587 : St Mary's,628,152,187,142,147
E05005588 : St Michael's,731,121,196,208,206
E05005589 : Scarbrough,"1,646",92,332,329,893
E05005590 : Seacroft,"1,178",135,363,268,412
E05005591 : Sibsey,530,118,168,132,112
E05005592 : Skidbrooke with Saltfleet Haven,539,68,138,166,167
E05005593 : Spilsby,946,131,226,278,311
E05005594 : Stickney,630,79,152,213,186
E05005595 : Sutton on Sea North,444,42,126,113,163
E05005596 : Sutton on Sea South,470,47,129,131,163
E05005597 : Tetford,589,136,169,171,113
E05005598 : Tetney,706,154,212,192,148
E05005599 : Trinity,793,68,178,217,330
E05005600 : Trusthorpe and Mablethorpe South,595,39,135,148,273
E05005601 : Wainfleet and Friskney,"1,163",122,297,321,423
E05005602 : Willoughby with Sloothby,508,74,153,149,132
E05005603 : Winthorpe,"1,489",98,387,310,694
E05005604 : Withern with Stain,476,91,121,143,121
E05005605 : Woodhall Spa,994,240,311,234,209
E05005606 : Wragby,692,138,190,178,186
E05005607 : Abbey,"4,237",678,"1,262",741,"1,556"
E05005608 : Birchwood,"2,892",343,770,643,"1,136"
E05005609 : Boultham,"2,404",322,694,615,773
E05005610 : Bracebridge,"2,277",346,699,680,552
E05005611 : Carholme,"3,882",922,"1,571",515,874
E05005612 : Castle,"2,781",531,817,550,883
E05005613 : Glebe,"2,358",266,586,545,961
E05005614 : Hartsholme,"2,133",416,723,543,451
E05005615 : Minster,"2,209",355,532,504,818
E05005616 : Moorland,"2,286",218,514,563,991
E05005617 : Park,"3,332",365,961,703,"1,303"
E05005618 : Ashby de la Launde and Cranwell,"1,646",398,649,328,271
E05005619 : Bassingham and Brant Broughton,"1,447",436,461,322,228
"E05005620 : Billinghay, Martin and North Kyme","1,399",204,415,435,345
E05005621 : Bracebridge Heath and Waddington East,"2,704",593,"1,062",608,441
E05005622 : Branston,"1,373",335,464,303,271
E05005623 : Cliff Villages,"1,496",482,483,327,204
"E05005624 : Eagle, Swinderby and Witham St Hughs","1,709",467,595,380,267
E05005625 : Heckington Rural,"1,486",326,491,346,323
E05005626 : Heighington and Washingborough,"1,863",468,665,415,315
E05005627 : Kirkby la Thorpe and South Kyme,690,160,211,168,151
E05005628 : Leasingham and Rauceby,530,130,166,129,105
E05005629 : Metheringham,"1,571",323,542,400,306
E05005630 : North Hykeham Forum,486,105,176,124,81
E05005631 : North Hykeham Memorial,817,141,277,217,182
E05005632 : North Hykeham Mill,"1,367",279,476,302,310
E05005633 : North Hykeham Moor,723,113,229,202,179
E05005634 : North Hykeham Witham,566,97,167,163,139
E05005635 : Osbournby,703,203,209,157,134
E05005636 : Ruskington,"1,548",261,509,344,434
E05005637 : Skellingthorpe,971,196,317,295,163
E05005638 : Sleaford Castle,832,126,246,188,272
E05005639 : Sleaford Holdingham,876,143,258,208,267
E05005640 : Sleaford Navigation,878,120,232,211,315
E05005641 : Sleaford Quarrington and Mareham,"2,223",522,830,501,370
E05005642 : Sleaford Westholme,860,99,223,218,320
E05005643 : Waddington West,697,131,240,209,117
E05005644 : Crowland and Deeping St Nicholas,"1,864",352,564,550,398
"E05005645 : Donington, Quadring and Gosberton","1,924",288,483,641,512
E05005646 : Fleet,549,76,145,185,143
E05005647 : Gedney,633,82,183,184,184
E05005648 : Holbeach Hurn,658,102,147,200,209
E05005649 : Holbeach Town,"2,018",208,499,592,719
E05005650 : Long Sutton,"1,871",218,491,538,624
"E05005651 : Moulton, Weston and Cowbit","1,813",340,523,495,455
E05005652 : Pinchbeck and Surfleet,"1,848",297,503,551,497
E05005653 : Spalding Castle,731,136,175,149,271
E05005654 : Spalding Monks House,"1,530",241,445,392,452
E05005655 : Spalding St John's,"1,957",280,481,436,760
E05005656 : Spalding St Mary's,"1,305",183,326,309,487
E05005657 : Spalding St Paul's,"1,568",185,326,372,685
E05005658 : Spalding Wygate,"1,312",229,395,321,367
E05005659 : Sutton Bridge,"1,230",101,295,315,519
E05005660 : The Saints,713,105,179,217,212
E05005661 : Whaplode and Holbeach St John's,"1,165",175,317,368,305
E05005662 : All Saints,"1,634",330,418,413,473
E05005663 : Aveland,617,161,197,140,119
E05005664 : Barrowby,523,153,148,135,87
E05005665 : Belmont,"1,697",328,544,462,363
E05005666 : Bourne East,"2,555",564,794,598,599
E05005667 : Bourne West,"1,700",378,511,450,361
E05005668 : Deeping St James,"2,273",579,769,531,394
E05005669 : Earlesfield,"2,286",125,413,595,"1,153"
E05005670 : Ermine,815,204,282,187,142
E05005671 : Forest,596,160,165,154,117
E05005672 : Glen Eden,698,213,188,166,131
E05005673 : Grantham St John's,"2,233",295,591,533,814
E05005674 : Green Hill,"1,207",306,415,265,221
E05005675 : Greyfriars,"1,382",235,447,315,385
E05005676 : Harrowby,"1,639",157,396,452,634
E05005677 : Heath,484,156,140,103,85
E05005678 : Hillsides,619,242,162,124,91
E05005679 : Isaac Newton,704,165,215,164,160
E05005680 : Lincrest,614,197,164,155,98
E05005681 : Loveden,742,237,243,158,104
E05005682 : Market and West Deeping,"1,865",498,593,410,364
E05005683 : Morkery,799,196,247,170,186
E05005684 : Peascliffe,574,129,178,125,142
E05005685 : Ringstone,862,223,267,205,167
E05005686 : St Anne's,"1,693",244,488,414,547
E05005687 : St George's,"1,237",314,335,289,299
E05005688 : St Mary's,"1,634",542,472,266,354
E05005689 : St Wulfram's,"1,225",282,393,260,290
E05005690 : Saxonwell,613,216,204,118,75
E05005691 : Stamford St John's,"1,825",527,575,427,296
E05005692 : Thurlby,623,219,194,135,75
E05005693 : Toller,776,161,235,195,185
E05005694 : Truesdale,"1,371",510,398,279,184
E05005695 : Witham Valley,598,204,193,100,101
E05005696 : Bardney,611,99,181,171,160
E05005697 : Caistor,950,215,242,243,250
E05005698 : Cherry Willingham,"1,187",272,397,302,216
E05005699 : Dunholme,690,170,235,159,126
E05005700 : Fiskerton,568,112,192,150,114
E05005701 : Gainsborough East,"2,244",174,451,590,"1,029"
E05005702 : Gainsborough North,"2,218",227,516,685,790
E05005703 : Gainsborough South-West,"1,691",169,384,454,684
E05005704 : Hemswell,762,129,224,213,196
E05005705 : Kelsey,787,231,231,204,121
E05005706 : Lea,569,130,165,163,111
E05005707 : Market Rasen,"1,588",291,426,414,457
E05005708 : Middle Rasen,835,212,238,228,157
E05005709 : Nettleham,"1,237",373,414,266,184
E05005710 : Saxilby,"1,513",439,517,333,224
E05005711 : Scampton,975,252,354,213,156
E05005712 : Scotter,"1,415",394,452,363,206
E05005713 : Stow,651,173,203,158,117
E05005714 : Sudbrooke,692,265,273,101,53
E05005715 : Thonock,774,137,243,230,164
E05005716 : Torksey,728,181,210,222,115
E05005717 : Waddingham and Spital,743,198,226,190,129
E05005718 : Welton,"1,621",486,516,365,254
E05005719 : Wold View,691,134,175,196,186
E05005720 : Yarborough,670,125,237,173,135
E05005926 : Beanfield,"1,023",80,221,243,479
E05005927 : Central,687,61,133,146,347
E05005928 : Danesholme,"1,208",98,293,314,503
E05005929 : East,"2,334",207,515,549,"1,063"
E05005930 : Exeter,717,25,98,171,423
E05005931 : Great Oakley,756,208,235,167,146
E05005932 : Kingswood,"2,250",116,379,448,"1,307"
E05005933 : Lodge Park,"1,004",69,243,263,429
E05005934 : Oakley Vale,"3,167",567,952,662,986
E05005935 : Rowlett,"1,402",102,305,325,670
E05005936 : Rural West,480,142,163,104,71
E05005937 : Shire Lodge,"1,407",119,322,339,627
E05005938 : Stanion and Corby Village,854,135,211,229,279
E05005939 : Tower Hill,"1,303",114,284,271,634
E05005940 : Weldon and Gretton,"1,012",255,284,281,192
E05005941 : Abbey North,"3,271",622,"1,000",708,941
E05005942 : Abbey South,"1,044",143,318,234,349
E05005943 : Badby,543,197,169,115,62
E05005944 : Barby and Kilsby,886,297,292,177,120
E05005945 : Boughton and Pitsford,458,181,164,66,47
E05005946 : Brampton,519,217,160,96,46
E05005947 : Braunston,521,158,164,107,92
E05005948 : Brixworth,"1,834",611,601,397,225
E05005949 : Byfield,518,196,134,103,85
E05005950 : Clipston,590,237,165,123,65
E05005951 : Crick,523,211,162,93,57
E05005952 : Drayton,"2,015",262,621,459,673
E05005953 : Flore,571,218,162,112,79
E05005954 : Hill,"1,849",308,514,407,620
E05005955 : Long Buckby,"1,276",402,391,263,220
E05005956 : Moulton,"1,163",362,383,268,150
E05005957 : Ravensthorpe,530,219,174,90,47
E05005958 : Spratton,530,194,148,112,76
E05005959 : Walgrave,575,219,186,102,68
E05005960 : Weedon,"1,090",309,330,263,188
E05005961 : Welford,574,210,172,130,62
E05005962 : West Haddon and Guilsborough,681,274,187,140,80
E05005963 : Woodford,"1,221",244,388,325,264
E05005964 : Yelvertoft,506,182,152,99,73
E05005965 : Barnwell,567,215,171,114,67
E05005966 : Fineshade,617,210,181,139,87
E05005967 : Higham Ferrers Chichele,"1,060",206,338,292,224
E05005968 : Higham Ferrers Lancaster,"1,587",418,543,351,275
E05005969 : Irthlingborough John Pyel,"1,557",261,467,420,409
E05005970 : Irthlingborough Waterloo,"1,213",187,357,343,326
E05005971 : King's Forest,539,166,161,121,91
E05005972 : Lower Nene,587,251,179,104,53
E05005973 : Lyveden,606,193,180,123,110
E05005974 : Oundle,"1,615",630,458,278,249
E05005975 : Prebendal,604,239,170,131,64
E05005976 : Raunds Saxon,"1,490",335,452,387,316
E05005977 : Raunds Windmill,"1,150",152,308,364,326
E05005978 : Rushden Bates,"1,450",323,472,341,314
E05005979 : Rushden Hayden,"2,535",273,669,711,882
E05005980 : Rushden Pemberton,"2,038",245,597,591,605
E05005981 : Rushden Sartoris,"1,251",311,397,340,203
E05005982 : Rushden Spencer,"1,920",398,612,489,421
E05005983 : Stanwick,627,185,217,142,83
E05005984 : Thrapston Lakes,"1,445",366,432,367,280
E05005985 : Thrapston Market,"1,298",375,409,283,231
E05005986 : Woodford,623,204,174,139,106
E05005987 : All Saints,"2,831",428,825,736,842
E05005988 : Avondale Grange,"1,923",135,426,530,832
E05005989 : Barton,"1,292",376,399,323,194
E05008549 : Brambleside,"1,481",335,461,367,318
E05005991 : Burton Latimer,"2,300",396,704,645,555
E05005992 : Desborough Loatland,"1,937",404,616,494,423
E05005993 : Desborough St Giles,"1,399",282,425,376,316
E05005994 : Ise Lodge,"2,171",496,682,579,414
E05005995 : Northfield,965,153,261,199,352
E05005996 : Pipers Hill,"1,555",226,425,409,495
E05008550 : Queen Eleanor and Buccleuch,761,263,237,155,106
E05005998 : Rothwell,"2,468",484,706,636,642
E05005999 : St Michael's and Wicksteed,"2,518",443,723,570,782
E05006000 : St Peter's,"1,449",451,467,298,233
E05006001 : Slade,"1,921",641,622,375,283
E05006002 : Welland,793,289,258,149,97
E05006003 : William Knibb,"2,105",286,576,443,800
E05008824 : Abington,"3,548",860,"1,203",601,884
E05008825 : Billing,"2,700",472,928,557,743
E05008826 : Boothville,"1,088",228,394,288,178
E05008827 : Brookside,"1,789",139,443,403,804
E05008828 : Castle,"6,148","1,072","1,958",994,"2,124"
E05008829 : Delapre and Briar Hill,"5,141",835,"1,548","1,147","1,611"
E05008830 : East Hunsbury,"3,546","1,009","1,258",689,590
E05008831 : Eastfield,"1,681",253,444,372,612
E05008832 : Headlands,"1,413",206,400,332,475
E05008833 : Kings Heath,"1,725",111,399,382,833
E05008834 : Kingsley,"1,720",276,540,391,513
E05008835 : Kingsthorpe,"1,387",329,461,379,218
E05008836 : Nene Valley,"3,379","1,214","1,169",562,434
E05008837 : New Duston,"3,032",619,"1,058",770,585
E05008838 : Obelisk,952,149,337,275,191
E05008839 : Old Duston,"2,105",362,680,552,511
E05008840 : Park,"1,159",439,396,185,139
E05008841 : Parklands,"1,159",225,380,310,244
E05008842 : Phippsville,"1,464",418,461,292,293
E05008843 : Rectory Farm,"1,814",262,581,417,554
E05008844 : Riverside,"1,483",204,514,351,414
E05008845 : Rushmills,"1,424",462,505,228,229
E05008846 : St David's,"1,657",138,444,362,713
E05008847 : St James,"2,183",329,628,449,777
E05008848 : Semilong,"2,316",306,688,463,859
E05008849 : Spencer,"1,795",186,427,360,822
E05008850 : Spring Park,"1,204",223,375,382,224
E05008851 : Sunnyside,"1,343",185,454,327,377
E05008852 : Talavera,"3,885",350,"1,130",802,"1,603"
E05008853 : Trinity,"1,324",287,471,266,300
E05008854 : Upton,"1,949",648,723,286,292
E05008855 : West Hunsbury,"1,503",399,491,290,323
E05008856 : Westone,"1,084",211,358,260,255
E05006027 : Astwell,579,229,186,119,45
E05006028 : Blakesley and Cote,"1,054",437,300,204,113
E05006029 : Blisworth and Roade,"1,200",264,400,294,242
E05006030 : Brackley East,"1,247",344,417,293,193
E05006031 : Brackley South,"1,417",274,456,323,364
E05006032 : Brackley West,"1,450",407,530,321,192
E05006033 : Brafield and Yardley,"1,196",371,403,256,166
E05006034 : Cosgrove and Grafton,606,202,193,124,87
E05006035 : Danvers and Wardoun,"1,052",413,305,210,124
E05006036 : Deanshanger,"1,259",351,424,281,203
E05006037 : Grange Park,"1,447",582,544,191,130
E05006038 : Hackleton,628,252,196,100,80
E05006039 : Harpole and Grange,"1,198",352,368,309,169
E05006040 : Heyfords and Bugbrooke,"1,213",334,345,324,210
E05006041 : Kings Sutton,627,170,172,154,131
E05006042 : Kingthorn,469,177,143,91,58
E05006043 : Little Brook,645,220,240,113,72
E05006044 : Middleton Cheney,"1,025",262,325,271,167
E05006045 : Old Stratford,618,244,195,96,83
E05006046 : Salcey,698,198,241,154,105
E05006047 : Silverstone,662,226,210,139,87
E05006048 : Steane,604,184,200,138,82
E05006049 : Tove,474,200,130,86,58
E05006050 : Towcester Brook,"1,848",484,536,446,382
E05006051 : Towcester Mill,"1,179",420,411,181,167
E05006052 : Washington,521,211,160,92,58
E05006053 : Whittlewood,569,170,198,120,81
E05008595 : Brickhill,"1,756",225,459,431,641
E05006055 : Castle,"2,654",296,690,515,"1,153"
E05006056 : Croyland,"2,510",368,698,619,825
E05006057 : Earls Barton,"1,659",426,520,414,299
E05006058 : Finedon,"1,397",217,421,382,377
E05008596 : Great Doddington and Wilby,470,126,151,114,79
E05006060 : Hemmingwell,"2,558",417,705,509,927
E05006061 : Irchester,"1,440",220,436,425,359
E05006062 : North,671,219,211,139,102
E05008597 : Queensway,"1,867",127,439,495,806
E05006064 : Redwell East,"1,280",307,442,295,236
E05006065 : Redwell West,"1,091",253,423,266,149
E05006066 : South,652,182,191,168,111
E05008598 : Swanspool,"2,118",271,557,445,845
E05006068 : West,501,152,166,111,72
E05006069 : Wollaston,"1,267",349,410,288,220
E05006362 : Hucknall Central,"2,314",333,692,642,647
E05006363 : Hucknall East,"2,863",427,849,695,892
E05006364 : Hucknall North,"2,235",333,691,582,629
E05006365 : Hucknall West,"2,952",367,867,864,854
E05006366 : Jacksdale,975,104,264,296,311
E05006367 : Kirkby in Ashfield Central,"2,215",339,656,577,643
E05006368 : Kirkby in Ashfield East,"2,141",191,492,507,951
E05006369 : Kirkby in Ashfield West,"2,130",256,548,536,790
E05006370 : Selston,"1,992",277,567,560,588
E05006371 : Sutton in Ashfield Central,"3,587",292,787,947,"1,561"
E05006372 : Sutton in Ashfield East,"3,979",439,914,"1,040","1,586"
E05006373 : Sutton in Ashfield North,"3,371",393,899,930,"1,149"
E05006374 : Sutton in Ashfield West,"3,748",564,"1,005",952,"1,227"
E05006375 : Underwood,859,195,248,226,190
E05006376 : Woodhouse,"2,166",287,634,594,651
E05006377 : Beckingham,648,144,215,180,109
E05006378 : Blyth,607,147,202,150,108
E05006379 : Carlton,"1,607",274,438,390,505
E05006380 : Clayworth,527,154,167,114,92
E05006381 : East Markham,672,207,197,165,103
E05006382 : East Retford East,"2,210",351,565,593,701
E05006383 : East Retford North,"1,790",227,475,538,550
E05006384 : East Retford South,"1,321",147,323,372,479
E05006385 : East Retford West,"1,715",281,478,461,495
E05006386 : Everton,670,248,193,144,85
E05006387 : Harworth,"2,371",211,532,721,907
E05006388 : Langold,741,67,134,239,301
E05006389 : Misterton,697,139,191,233,134
E05006390 : Rampton,590,127,189,163,111
E05006391 : Ranskill,679,172,200,174,133
E05006392 : Sturton,671,164,192,208,107
E05006393 : Sutton,598,176,183,142,97
E05006394 : Tuxford and Trent,"1,290",241,307,409,333
E05006395 : Welbeck,597,99,172,157,169
E05006396 : Worksop East,"1,830",190,441,489,710
E05006397 : Worksop North,"2,818",528,855,650,785
E05006398 : Worksop North East,"1,885",284,504,445,652
E05006399 : Worksop North West,"2,679",430,719,577,953
E05006400 : Worksop South,"2,142",430,642,445,625
E05006401 : Worksop South East,"2,616",143,376,542,"1,555"
E05006402 : Attenborough,661,232,211,119,99
E05006403 : Awsworth,722,95,221,213,193
E05006404 : Beeston Central,"1,542",469,570,182,321
E05006405 : Beeston North,"1,775",517,573,239,446
E05006406 : Beeston Rylands,"1,922",519,530,369,504
E05006407 : Beeston West,"1,797",766,576,195,260
E05006408 : Bramcote,"1,965",878,637,225,225
E05006409 : Brinsley,673,125,207,194,147
E05006410 : Chilwell East,"1,415",513,426,261,215
E05006411 : Chilwell West,"2,338",538,695,472,633
E05006412 : Cossall and Kimberley,"2,124",428,668,508,520
E05006413 : Eastwood North and Greasley (Beauvale),950,123,284,299,244
E05006414 : Eastwood South,"2,844",343,701,760,"1,040"
E05006415 : Greasley (Giltbrook and Newthorpe),"1,779",345,594,473,367
E05006416 : Nuthall East and Strelley,"1,564",502,544,308,210
E05006417 : Nuthall West and Greasley (Watnall),"1,456",403,419,327,307
E05006418 : Stapleford North,"1,455",203,407,355,490
E05006419 : Stapleford South East,"1,499",330,451,366,352
E05006420 : Stapleford South West,"1,822",302,523,498,499
E05006421 : Toton and Chilwell Meadows,"2,534",901,879,438,316
E05006422 : Trowell,665,156,232,171,106
E05006423 : Bestwood Village,577,116,195,145,121
E05006424 : Bonington,"2,296",394,740,560,602
E05006425 : Burton Joyce and Stoke Bardolph,970,373,315,163,119
E05006426 : Calverton,"2,128",397,699,484,548
E05006427 : Carlton,"2,276",392,736,570,578
E05006428 : Carlton Hill,"2,419",375,815,615,614
E05006429 : Daybrook,"1,722",238,520,387,577
E05006430 : Gedling,"1,928",442,634,502,350
E05006431 : Killisick,744,49,190,199,306
E05006432 : Kingswell,"1,548",356,555,349,288
E05006433 : Lambley,600,176,227,120,77
E05006434 : Mapperley Plains,"2,236",531,806,508,391
E05006435 : Netherfield and Colwick,"2,916",461,968,664,823
E05006436 : Newstead,712,181,205,169,157
E05006437 : Phoenix,"1,566",224,505,454,383
E05006438 : Porchester,"2,275",702,820,423,330
E05006439 : Ravenshead,"1,495",569,555,228,143
E05006440 : St James,"1,230",188,437,356,249
E05006441 : St Marys,"1,966",331,607,521,507
E05006442 : Valley,"1,402",192,439,371,400
E05006443 : Woodborough,580,205,159,123,93
E05006444 : Woodthorpe,"1,954",787,671,303,193
E05008857 : Abbott,666,59,174,191,242
E05008858 : Berry Hill,582,199,213,103,67
E05008859 : Brick Kiln,974,87,219,312,356
E05008860 : Broomhill,"1,009",74,223,268,444
E05008861 : Bull Farm and Pleasley Hill,"1,092",98,259,307,428
E05008862 : Carr Bank,"1,182",101,266,251,564
E05008863 : Eakring,851,170,292,226,163
E05008864 : Grange Farm,871,172,278,231,190
E05008865 : Holly,"1,002",179,364,255,204
E05008866 : Hornby,783,152,255,229,147
E05008867 : Kings Walk,"1,089",288,467,206,128
E05008868 : Kingsway,897,109,257,248,283
E05008869 : Ladybrook,"1,206",91,273,262,580
E05008870 : Lindhurst,807,197,289,176,145
E05008871 : Ling Forest,762,115,234,222,191
E05008872 : Manor,727,110,228,219,170
E05008873 : Market Warsop,945,80,191,310,364
E05008874 : Maun Valley,845,111,269,241,224
E05008875 : Meden,735,79,162,219,275
E05008876 : Netherfield,796,74,197,208,317
E05008877 : Newgate,"1,147",75,217,244,611
E05008878 : Newlands,865,85,215,259,306
E05008879 : Oak Tree,993,57,192,210,534
E05008880 : Oakham,796,276,263,161,96
E05008881 : Park Hall,"1,021",109,242,299,371
E05008882 : Peafields,901,152,248,216,285
E05008883 : Penniment,836,76,159,224,377
E05008884 : Portland,896,56,186,220,434
E05008885 : Racecourse,"1,012",108,294,260,350
E05008886 : Ransom Wood,961,70,208,228,455
E05008887 : Sandhurst,987,161,309,255,262
E05008888 : Sherwood,799,121,215,223,240
E05008889 : Warsop Carrs,936,93,224,240,379
E05008890 : Woodhouse,"1,030",61,213,278,478
E05008891 : Woodlands,711,100,209,135,267
E05008892 : Yeoman Hill,"1,222",178,334,310,400
E05006464 : Balderton North,"1,415",235,388,435,357
E05006465 : Balderton West,"1,500",222,388,442,448
E05006466 : Beacon,"2,475",512,719,530,714
E05006467 : Blidworth,"1,428",194,397,408,429
E05006468 : Boughton,"1,506",145,347,407,607
E05006469 : Bridge,"1,713",193,386,464,670
E05006470 : Castle,"1,703",319,493,343,548
E05006471 : Caunton,625,219,196,127,83
E05006472 : Clipstone,"1,430",215,355,389,471
E05006473 : Collingham and Meering,"1,215",362,366,297,190
E05006474 : Devon,"1,718",129,325,401,863
E05006475 : Edwinstowe,"1,509",269,491,394,355
E05006476 : Farndon,"1,886",563,619,384,320
E05006477 : Farnsfield and Bilsthorpe,"2,342",657,638,533,514
E05006478 : Lowdham,"1,310",522,438,220,130
E05006479 : Magnus,"1,729",274,415,400,640
E05006480 : Muskham,700,225,243,147,85
E05006481 : Ollerton,"2,001",171,498,590,742
E05006482 : Rainworth,"2,159",277,611,617,654
E05006483 : Southwell East,650,285,184,105,76
E05006484 : Southwell North,617,202,199,111,105
E05006485 : Southwell West,714,295,226,94,99
E05006486 : Sutton-on-Trent,703,204,211,174,114
E05006487 : Trent,637,315,209,69,44
E05006488 : Winthorpe,799,260,285,142,112
E05006489 : Abbey,"1,391",680,417,137,157
E05006490 : Bingham East,"1,294",464,453,219,158
E05006491 : Bingham West,"1,547",423,535,293,296
E05006492 : Compton Acres,"1,553",750,483,164,156
E05006493 : Cotgrave,"2,234",408,665,562,599
E05006494 : Cranmer,521,204,156,92,69
E05006495 : Edwalton Village,"1,002",402,308,132,160
E05006496 : Gamston,"1,838",842,596,201,199
E05006497 : Gotham,584,191,168,134,91
E05006498 : Keyworth North,354,178,100,42,34
E05006499 : Keyworth South,"1,393",432,411,285,265
E05006500 : Lady Bay,"1,647",850,487,155,155
E05006501 : Leake,"1,732",584,540,311,297
E05006502 : Lutterell,"1,096",409,381,135,171
E05006503 : Manvers,"1,147",431,426,167,123
E05006504 : Melton,"1,597",830,499,133,135
E05006505 : Musters,"1,232",680,352,108,92
E05006506 : Nevile,539,244,172,74,49
E05006507 : Oak,596,268,167,100,61
E05006508 : Ruddington,"2,269",757,710,422,380
E05006509 : Soar Valley,597,233,205,86,73
E05006510 : Stanford,719,322,213,128,56
E05006511 : Thoroton,642,235,220,113,74
E05006512 : Tollerton,472,195,166,69,42
E05006513 : Trent,"1,323",484,413,224,202
E05006514 : Trent Bridge,"1,662",649,622,156,235
E05006515 : Wiverton,"1,143",389,354,212,188
E05006516 : Wolds,579,282,175,91,31
E05001842 : Aylestone,"1,914",367,575,448,524
E05001843 : Backbury,836,237,265,195,139
E05001844 : Belmont,"3,272",303,757,858,"1,354"
E05001845 : Bircher,709,204,205,205,95
E05001846 : Bringsty,771,242,207,234,88
E05001847 : Bromyard,"1,651",271,408,517,455
"E05001848 : Burghill, Holmer and Lyde",872,232,278,213,149
E05001849 : Castle,814,218,215,257,124
E05001850 : Central,"1,184",193,312,249,430
E05001851 : Credenhill,956,191,318,240,207
E05001852 : Frome,974,313,264,251,146
E05001853 : Golden Cross with Weobley,749,173,214,205,157
E05001854 : Golden Valley North,824,199,219,265,141
E05001855 : Golden Valley South,783,188,189,292,114
E05001856 : Hagley,"1,116",304,341,279,192
E05001857 : Hampton Court,708,183,174,207,144
E05001858 : Hollington,595,163,165,152,115
E05001859 : Hope End,"1,436",578,408,257,193
E05001860 : Kerne Bridge,858,270,272,171,145
E05001861 : Kington Town,937,149,205,321,262
E05001862 : Ledbury,"2,690",638,700,676,676
E05001863 : Leominster North,"1,667",192,359,521,595
E05001864 : Leominster South,"1,832",263,419,526,624
E05001865 : Llangarron,898,281,260,218,139
E05001866 : Mortimer,899,197,236,285,181
E05001867 : Old Gore,872,271,238,227,136
E05001868 : Pembridge and Lyonshall with Titley,828,202,215,264,147
E05001869 : Penyard,881,282,248,195,156
E05001870 : Pontrilas,927,282,265,257,123
E05001871 : Ross-on-Wye East,"1,354",294,398,292,370
E05001872 : Ross-on-Wye West,"1,787",326,476,441,544
E05001873 : St Martins and Hinton,"4,053",398,"1,126","1,074","1,455"
E05001874 : St Nicholas,"2,196",390,673,519,614
E05001875 : Stoney Street,761,134,205,239,183
E05001876 : Sutton Walls,834,193,261,189,191
E05001877 : Three Elms,"3,468",484,987,863,"1,134"
E05001878 : Tupsley,"2,581",616,812,593,560
E05001879 : Upton,771,186,220,224,141
E05001880 : Valletts,893,178,253,274,188
E05001881 : Wormsley Ridge,750,208,211,191,140
E05008136 : Abbey,"1,164",363,396,216,189
E05008137 : Albrighton,"1,210",301,433,274,202
E05008138 : Alveley and Claverley,"1,067",306,360,238,163
E05008139 : Bagley,"1,499",340,502,352,305
E05008140 : Battlefield,"1,346",182,399,447,318
"E05008141 : Bayston Hill, Column and Sutton","3,332",832,"1,043",810,647
E05008142 : Belle Vue,"1,632",490,519,322,301
E05008143 : Bishop's Castle,"1,064",211,265,344,244
