QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05001492 : Ladgate,"1,704",181,482,400,641
E05001493 : Linthorpe,"2,939",625,952,566,796
E05001494 : North Ormesby and Brambles Farm,"2,230",81,380,453,"1,316"
E05001495 : Marton,"1,391",324,475,336,256
E05001496 : Marton West,"1,506",410,596,305,195
E05001497 : Middlehaven,"1,760",87,520,254,899
E05001498 : Nunthorpe,"1,221",414,417,226,164
E05001499 : Pallister,"1,815",52,319,406,"1,038"
E05001500 : Park,"1,846",288,519,396,643
E05001501 : Park End,"1,954",61,309,445,"1,139"
E05001502 : Stainton and Thornton,879,147,256,211,265
E05001503 : Thorntree,"1,978",57,223,412,"1,286"
E05001504 : University,"2,001",123,641,252,985
E05008018 : Alnwick,"1,572",288,416,344,524
E05008019 : Amble,"1,416",167,332,413,504
E05008020 : Amble West with Warkworth,"1,229",299,414,280,236
E05008021 : Ashington Central,"1,776",102,437,425,812
E05008022 : Bamburgh,"1,421",237,362,468,354
E05008023 : Bedlington Central,"1,287",243,399,310,335
E05008024 : Bedlington East,"1,619",142,422,396,659
E05008025 : Bedlington West,"1,775",353,637,385,400
E05008026 : Bellingham,"1,210",243,329,389,249
E05008027 : Berwick East,"1,577",138,369,477,593
E05008028 : Berwick North,"1,385",198,333,387,467
E05008029 : Berwick West with Ord,"1,163",118,280,344,421
E05008030 : Bothal,"1,373",234,457,304,378
E05008031 : Bywell,"1,306",565,371,198,172
E05008032 : Chevington with Longhorseley,"1,386",277,387,342,380
E05008033 : Choppington,"1,577",154,472,400,551
E05008034 : College,"1,776",149,464,411,752
E05008035 : Corbridge,"1,158",445,338,197,178
E05008036 : Cowpen,"1,366",78,287,360,641
E05008037 : Cramlington East,"1,736",174,565,412,585
E05008038 : Cramlington Eastfield,"1,679",256,620,400,403
E05008039 : Cramlington North,"1,720",572,719,269,160
E05008040 : Cramlington South East,"1,258",191,510,265,292
E05008041 : Cramlington Village,"1,332",257,474,258,343
E05008042 : Cramlington West,"1,777",163,559,441,614
E05008043 : Croft,"1,705",101,426,378,800
E05008044 : Haltwhistle,"1,496",192,332,473,499
E05008045 : Hartley,"1,463",294,527,359,283
E05008046 : Haydon,"1,397",211,472,344,370
E05008047 : Haydon and Hadrian,"1,297",291,333,415,258
E05008048 : Hexham Central with Acomb,"1,404",298,416,317,373
E05008049 : Hexham East,"1,185",328,300,250,307
E05008050 : Hexham West,"1,237",536,347,204,150
E05008051 : Hirst,"1,927",123,420,396,988
E05008052 : Holywell,"1,569",252,572,356,389
E05008053 : Humshaugh,"1,378",391,359,404,224
E05008054 : Isabella,"1,648",93,414,398,743
E05008055 : Kitty Brewster,"1,683",194,463,384,642
E05008056 : Lesbury,"1,454",344,444,371,295
E05008057 : Longhoughton,"1,238",353,410,278,197
E05008058 : Lynemouth,"1,476",211,459,343,463
E05008059 : Morpeth Kirkhill,"1,474",468,442,292,272
E05008060 : Morpeth North,"1,167",492,367,155,153
E05008061 : Morpeth Stobhill,"1,257",316,397,209,335
E05008062 : Newbiggin Central and East,"1,469",143,405,340,581
E05008063 : Newsham,"1,539",127,447,379,586
E05008064 : Norham and Islandshires,"1,303",266,337,425,275
E05008065 : Pegswood,"1,283",230,399,300,354
E05008066 : Plessey,"1,229",153,450,270,356
E05008067 : Ponteland East,"1,245",459,410,229,147
E05008068 : Ponteland North,"1,253",418,384,283,168
E05008069 : Ponteland South with Heddon,"1,005",479,299,115,112
E05008070 : Ponteland West,"1,068",479,353,140,96
E05008071 : Prudhoe East,"1,789",291,467,474,557
E05008072 : Prudhoe West,"1,584",372,482,369,361
E05008073 : Rothbury,"1,556",414,407,452,283
E05008074 : Seaton with Newbiggin West,"1,429",165,398,350,516
E05008075 : Seghill with Seaton Delaval,"1,850",256,633,421,540
E05008076 : Shilbottle,"1,406",431,422,296,257
E05008077 : Sleekburn,"1,324",95,380,350,499
E05008078 : South Blyth,"1,421",343,564,306,208
E05008079 : South Tynedale,"1,387",506,349,346,186
E05008080 : Stakeford,"1,369",193,454,347,375
E05008081 : Stocksfield and Broomhaugh,"1,314",552,402,214,146
E05008082 : Ulgham,"1,617",450,523,321,323
E05008083 : Wensleydale,"1,607",215,553,361,478
E05008084 : Wooler,"1,285",198,374,358,355
E05001505 : Brotton,"2,201",189,458,701,853
E05001506 : Coatham,"2,102",186,549,489,878
E05001507 : Dormanstown,"1,999",166,495,531,807
E05001508 : Eston,"2,398",185,584,602,"1,027"
E05001509 : Grangetown,"1,761",45,253,369,"1,094"
E05001510 : Guisborough,"2,409",373,626,607,803
E05001511 : Hutton,"2,058",626,598,451,383
E05001512 : Kirkleatham,"2,158",191,521,526,920
E05001513 : Lockwood,603,66,120,169,248
E05001514 : Loftus,"1,960",158,395,594,813
E05001515 : Longbeck,"2,031",403,683,523,422
E05001516 : Newcomen,"1,292",91,295,327,579
E05001517 : Normanby,"2,097",268,623,563,643
E05001518 : Ormesby,"1,703",246,489,436,532
E05001519 : St Germain's,"1,670",295,555,427,393
E05001520 : Saltburn,"1,941",496,554,356,535
E05001521 : Skelton,"2,391",310,607,645,829
E05001522 : South Bank,"2,126",112,454,475,"1,085"
E05001523 : Teesville,"1,842",160,484,469,729
E05001524 : West Dyke,"2,251",494,788,519,450
E05001525 : Westworth,"1,397",299,419,361,318
E05001526 : Zetland,"1,398",206,454,348,390
E05001527 : Billingham Central,"2,245",193,579,561,912
E05001528 : Billingham East,"2,301",168,506,586,"1,041"
E05001529 : Billingham North,"2,905",542,"1,055",708,600
E05001530 : Billingham South,"2,062",212,534,515,801
E05001531 : Billingham West,"1,364",291,460,341,272
E05001532 : Bishopsgarth and Elm Tree,"2,018",363,650,496,509
E05001533 : Eaglescliffe,"3,083","1,000","1,004",576,503
E05001534 : Fairfield,"1,622",306,549,398,369
E05001535 : Grangefield,"1,847",447,578,455,367
E05001536 : Hardwick,"2,143",122,467,506,"1,048"
E05001537 : Hartburn,"1,720",442,624,370,284
E05001538 : Ingleby Barwick East,"3,267",963,"1,238",649,417
E05001539 : Ingleby Barwick West,"3,436","1,148","1,281",608,399
E05001540 : Mandale and Victoria,"3,766",365,"1,017",771,"1,613"
E05001541 : Newtown,"2,451",184,552,533,"1,182"
E05001542 : Northern Parishes,"1,026",479,315,136,96
E05001543 : Norton North,"2,163",277,605,529,752
E05001544 : Norton South,"2,423",249,682,591,901
E05001545 : Norton West,"1,845",496,618,397,334
E05001546 : Parkfield and Oxbridge,"2,861",367,829,542,"1,123"
E05001547 : Roseworth,"2,230",123,450,585,"1,072"
E05001548 : Stainsby Hill,"1,999",153,502,539,805
E05001549 : Stockton Town Centre,"2,347",134,426,459,"1,328"
E05001550 : Village,"2,165",227,629,549,760
E05001551 : Western Parishes,968,299,321,174,174
E05001552 : Yarm,"2,988","1,163",969,436,420
E05001067 : Birtley,"2,500",330,806,569,795
E05001068 : Blaydon,"3,379",524,998,762,"1,095"
E05001069 : Bridges,"3,733",932,"1,147",500,"1,154"
E05001070 : Chopwell and Rowlands Gill,"2,877",565,798,621,893
E05001071 : Chowdene,"2,724",387,770,644,923
E05001072 : Crawcrook and Greenside,"2,831",556,989,693,593
E05001073 : Deckham,"3,453",450,911,711,"1,381"
E05001074 : Dunston and Teams,"3,515",514,898,701,"1,402"
E05001075 : Dunston Hill and Whickham East,"2,721",580,854,660,627
E05001076 : Felling,"3,149",275,758,652,"1,464"
E05001077 : High Fell,"3,118",290,735,710,"1,383"
E05001078 : Lamesley,"2,772",370,840,647,915
E05001079 : Lobley Hill and Bensham,"3,592",481,"1,026",744,"1,341"
E05001080 : Low Fell,"2,702",950,921,482,349
E05001081 : Pelaw and Heworth,"2,927",368,914,709,936
"E05001082 : Ryton, Crookhill and Stella","2,453",528,795,508,622
E05001083 : Saltwell,"3,440",705,"1,065",594,"1,076"
E05001084 : Wardley and Leam Lane,"2,571",380,789,634,768
E05001085 : Whickham North,"2,601",506,865,499,731
E05001086 : Whickham South and Sunniside,"2,492",634,946,458,454
E05001087 : Windy Nook and Whitehills,"3,090",319,838,742,"1,191"
E05001088 : Winlaton and High Spen,"2,394",371,710,681,632
E05001089 : Benwell and Scotswood,"4,097",331,968,854,"1,944"
E05001090 : Blakelaw,"3,508",465,975,694,"1,374"
E05001091 : Byker,"4,731",461,"1,161",832,"2,277"
E05001092 : Castle,"3,284",780,"1,155",663,686
E05001093 : Dene,"3,019","1,216","1,071",381,351
E05001094 : Denton,"3,016",279,890,758,"1,089"
E05001095 : East Gosforth,"3,308","1,649","1,046",278,335
E05001096 : Elswick,"4,271",337,"1,051",629,"2,254"
E05001097 : Fawdon,"3,287",382,943,647,"1,315"
E05001098 : Fenham,"3,292",351,972,783,"1,186"
E05001099 : Kenton,"3,849",674,"1,031",720,"1,424"
E05001100 : Lemington,"3,378",382,"1,068",833,"1,095"
E05001101 : Newburn,"3,033",431,842,720,"1,040"
E05001102 : North Heaton,"2,741",869,"1,009",380,483
E05001103 : North Jesmond,"3,201","1,031","1,874",101,195
E05001104 : Ouseburn,"3,625",749,"1,693",364,819
E05001105 : Parklands,"2,923","1,404",900,299,320
E05001106 : South Heaton,"3,745",833,"1,716",378,818
E05001107 : South Jesmond,"3,479","1,127","1,820",179,353
E05001108 : Walker,"4,131",175,820,792,"2,344"
E05001109 : Walkergate,"3,107",323,871,782,"1,131"
E05001110 : Westerhope,"2,485",458,886,618,523
E05001111 : Westgate,"4,381",787,"2,000",396,"1,198"
E05001112 : West Gosforth,"2,992","1,648",825,212,307
E05001113 : Wingrove,"3,955",651,"1,576",416,"1,312"
E05001114 : Woolsington,"3,483",414,981,764,"1,324"
E05001115 : Battle Hill,"3,555",457,"1,226",874,998
E05001116 : Benton,"3,279",788,"1,186",602,703
E05001117 : Camperdown,"3,516",419,"1,147",803,"1,147"
E05001118 : Chirton,"4,281",344,"1,195",910,"1,832"
E05001119 : Collingwood,"3,471",489,"1,090",746,"1,146"
E05001120 : Cullercoats,"2,565",665,927,544,429
E05001121 : Howdon,"3,759",315,"1,035",895,"1,514"
E05001122 : Killingworth,"3,217",677,"1,188",679,673
E05001123 : Longbenton,"3,757",717,"1,224",675,"1,141"
E05001124 : Monkseaton North,"2,719","1,117","1,002",324,276
E05001125 : Monkseaton South,"2,959",749,"1,104",517,589
E05001126 : Northumberland,"2,665",310,938,711,706
E05001127 : Preston,"2,736",671,"1,041",533,491
E05001128 : Riverside,"4,715",584,"1,362",883,"1,886"
E05001129 : St Mary's,"2,073",791,774,286,222
E05001130 : Tynemouth,"3,775","1,304","1,281",555,635
E05001131 : Valley,"3,739",691,"1,265",778,"1,005"
E05001132 : Wallsend,"4,202",615,"1,427",827,"1,333"
E05001133 : Weetslade,"2,758",444,"1,016",654,644
E05001134 : Whitley Bay,"3,195","1,042","1,139",484,530
E05001135 : Beacon and Bents,"3,318",436,917,709,"1,256"
E05001136 : Bede,"2,502",175,569,693,"1,065"
E05001137 : Biddick and All Saints,"3,006",165,660,684,"1,497"
E05001138 : Boldon Colliery,"3,053",524,897,671,961
E05001139 : Cleadon and East Boldon,"2,218",886,807,319,206
E05001140 : Cleadon Park,"2,034",248,520,452,814
E05001141 : Fellgate and Hedworth,"2,477",288,671,595,923
E05001142 : Harton,"2,360",322,693,563,782
E05001143 : Hebburn North,"3,183",424,970,722,"1,067"
E05001144 : Hebburn South,"2,333",278,659,609,787
E05001145 : Horsley Hill,"2,807",454,840,632,881
E05001146 : Monkton,"2,617",360,836,616,805
E05001147 : Primrose,"2,674",241,692,635,"1,106"
E05001148 : Simonside and Rekendyke,"3,367",220,847,781,"1,519"
E05001149 : Westoe,"2,727",541,904,605,677
E05001150 : West Park,"2,910",403,980,668,859
E05001151 : Whitburn and Marsden,"2,142",426,653,500,563
E05001152 : Whiteleas,"2,579",217,683,666,"1,013"
E05001153 : Barnes,"3,127",536,"1,060",670,861
E05001154 : Castle,"3,323",195,822,840,"1,466"
E05001155 : Copt Hill,"3,429",481,"1,051",814,"1,083"
E05001156 : Doxford,"3,067",479,"1,041",724,823
E05001157 : Fulwell,"3,253",730,"1,187",733,603
E05001158 : Hendon,"4,684",483,"1,362",786,"2,053"
E05001159 : Hetton,"3,439",358,888,858,"1,335"
E05001160 : Houghton,"3,451",404,"1,055",866,"1,126"
E05001161 : Millfield,"3,850",470,"1,397",740,"1,243"
E05001162 : Pallion,"3,128",188,742,708,"1,490"
E05001163 : Redhill,"3,711",200,777,866,"1,868"
E05001164 : Ryhope,"3,211",421,934,813,"1,043"
E05001165 : St Anne's,"3,389",316,839,803,"1,431"
E05001166 : St Chad's,"2,846",454,846,578,968
E05001167 : St Michael's,"3,659",838,"1,332",632,857
E05001168 : St Peter's,"3,521",639,"1,253",723,906
E05001169 : Sandhill,"3,648",185,865,839,"1,759"
E05001170 : Shiney Row,"3,938",576,"1,211",938,"1,213"
E05001171 : Silksworth,"3,176",351,930,736,"1,159"
E05001172 : Southwick,"3,551",251,833,788,"1,679"
E05001173 : Washington Central,"3,548",496,"1,117",873,"1,062"
E05001174 : Washington East,"3,336",641,"1,029",686,980
E05001175 : Washington North,"3,951",340,985,861,"1,765"
E05001176 : Washington South,"3,551",658,"1,236",761,896
E05001177 : Washington West,"3,644",549,"1,195",835,"1,065"
E05001620 : Audley,"2,444",159,443,428,"1,414"
E05001621 : Bastwell,"1,822",150,328,319,"1,025"
E05001622 : Beardwood with Lammack,"1,558",544,535,267,212
E05001623 : Corporation Park,"1,824",299,497,320,708
E05001624 : Earcroft,"1,443",147,398,344,554
E05001625 : East Rural,602,172,196,130,104
E05001626 : Ewood,"2,437",273,650,554,960
E05001627 : Fernhurst,"1,914",436,675,493,310
E05001628 : Higher Croft,"2,584",290,699,562,"1,033"
E05001629 : Little Harwood,"1,883",194,486,425,778
E05001630 : Livesey with Pleasington,"1,807",451,627,452,277
E05001631 : Marsh House,"2,161",338,612,581,630
E05001632 : Meadowhead,"1,788",229,471,466,622
E05001633 : Mill Hill,"2,318",178,566,531,"1,043"
E05001634 : North Turton with Tockholes,"1,348",577,449,212,110
E05001635 : Queen's Park,"2,049",278,478,423,870
E05001636 : Roe Lee,"1,770",340,583,417,430
E05001637 : Shadsworth with Whitebirk,"2,714",126,482,607,"1,499"
E05001638 : Shear Brow,"1,965",247,497,311,910
E05001639 : Sudell,"2,405",196,543,528,"1,138"
E05001640 : Sunnyhurst,"2,076",326,643,512,595
E05001641 : Wensley Fold,"2,351",181,481,438,"1,251"
E05001642 : Whitehall,"1,360",269,472,319,300
E05001643 : Anchorsholme,"1,800",247,657,423,473
E05001644 : Bispham,"1,892",286,672,398,536
E05001645 : Bloomfield,"2,596",108,593,400,"1,495"
E05001646 : Brunswick,"2,604",198,658,523,"1,225"
E05001647 : Claremont,"2,912",147,694,529,"1,542"
E05001648 : Clifton,"2,330",158,631,518,"1,023"
E05001649 : Greenlands,"2,162",254,785,476,647
E05001650 : Hawes Side,"2,347",170,702,560,915
E05001651 : Highfield,"1,872",230,607,451,584
E05001652 : Ingthorpe,"2,231",223,718,485,805
E05001653 : Layton,"2,301",230,750,499,822
E05001654 : Marton,"2,211",354,813,484,560
E05001655 : Norbreck,"1,603",289,632,347,335
E05001656 : Park,"2,510",239,654,472,"1,145"
E05001657 : Squires Gate,"1,822",300,625,402,495
E05001658 : Stanley,"1,904",272,694,431,507
E05001659 : Talbot,"2,434",180,660,422,"1,172"
E05001660 : Tyldesley,"2,152",240,659,486,767
E05001661 : Victoria,"2,222",150,632,514,926
E05001662 : Warbreck,"1,997",258,655,438,646
