KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05005541 : Central,"2,042","1,660",155,48
E05005542 : Coastal,"2,960","1,886",84,65
E05005543 : Fenside,"3,180","2,230",193,117
E05005544 : Fishtoft,"4,310","3,005",125,133
E05005545 : Five Village,"2,887","1,877",112,93
E05005546 : Frampton and Holme,"1,276",824,34,29
E05005547 : Kirton,"3,553","2,477",158,119
E05005548 : North,"2,765","1,928",78,78
E05005549 : Old Leake and Wrangle,"2,479","1,555",76,92
E05005550 : Pilgrim,"1,716","1,317",102,84
E05005551 : Skirbeck,"3,997","2,720",190,149
E05005552 : South,"1,822","1,404",43,41
E05005553 : Staniland South,"2,650","1,755",108,54
E05005554 : Staniland North,"1,512","1,137",88,52
E05005555 : Swineshead and Holland Fen,"2,768","1,892",134,74
E05005556 : West,"1,546","1,088",27,51
E05005557 : Witham,"3,159","2,389",166,101
E05005558 : Wyberton,"2,684","1,887",96,67
E05005559 : Alford,"3,175","1,946",127,114
E05005560 : Binbrook,"1,378",811,46,41
E05005561 : Burgh le Marsh,"1,729","1,036",61,48
E05005562 : Chapel St Leonards,"3,515","1,668",169,73
E05005563 : Coningsby and Tattershall,"5,121","3,721",221,126
E05005564 : Croft,"1,702","1,033",49,53
E05005565 : Frithville,"1,467",948,50,58
E05005566 : Grimoldby,"1,632","1,087",53,58
E05005567 : Halton Holegate,"1,927","1,102",52,127
E05005568 : Holton le Clay,"2,767","1,893",83,80
E05005569 : Horncastle,"4,994","3,241",161,162
E05005570 : Hundleby,"1,615","1,009",43,45
E05005571 : Ingoldmells,"1,905","1,058",88,46
E05005572 : Legbourne,"1,472",946,31,43
E05005573 : Ludford,"1,612","1,045",52,46
E05005574 : Mablethorpe Central,"1,387",630,80,39
E05005575 : Mablethorpe East,"1,438",675,86,50
E05005576 : Mablethorpe North,"1,540",621,63,50
E05005577 : Mareham le Fen,"1,602",996,50,46
E05005578 : Marshchapel,"1,653","1,101",41,40
E05005579 : North Holme,"1,616","1,067",72,63
E05005580 : North Somercotes,"1,433",864,39,63
E05005581 : North Thoresby,"1,477",962,25,62
E05005582 : Priory,"1,761","1,285",112,66
E05005583 : Roughton,"1,676","1,023",37,53
E05005584 : St Clement's,"4,042","2,239",236,142
E05005585 : St James',"1,802","1,302",71,48
E05005586 : St Margaret's,"1,712","1,119",72,57
E05005587 : St Mary's,"1,458",952,48,44
E05005588 : St Michael's,"1,801","1,263",46,56
E05005589 : Scarbrough,"3,599","2,212",296,106
E05005590 : Seacroft,"2,927","1,884",129,104
E05005591 : Sibsey,"1,401",952,39,34
E05005592 : Skidbrooke with Saltfleet Haven,"1,558",882,64,43
E05005593 : Spilsby,"2,111","1,338",90,86
E05005594 : Stickney,"1,734","1,120",55,64
E05005595 : Sutton on Sea North,"1,424",579,58,38
E05005596 : Sutton on Sea South,"1,605",605,51,42
E05005597 : Tetford,"1,638","1,068",29,44
E05005598 : Tetney,"1,868","1,259",44,95
E05005599 : Trinity,"1,712","1,084",80,67
E05005600 : Trusthorpe and Mablethorpe South,"1,701",678,84,48
E05005601 : Wainfleet and Friskney,"3,012","1,725",136,113
E05005602 : Willoughby with Sloothby,"1,510",870,58,56
E05005603 : Winthorpe,"3,660","2,196",236,118
E05005604 : Withern with Stain,"1,395",837,44,43
E05005605 : Woodhall Spa,"2,862","1,664",61,76
E05005606 : Wragby,"1,802","1,120",48,58
E05005607 : Abbey,"9,055","6,452",607,592
E05005608 : Birchwood,"6,168","4,282",360,221
E05005609 : Boultham,"5,527","3,998",246,227
E05005610 : Bracebridge,"5,401","4,109",169,169
E05005611 : Carholme,"12,341","7,618",325,"3,428"
E05005612 : Castle,"5,686","3,928",305,362
E05005613 : Glebe,"5,319","3,627",325,216
E05005614 : Hartsholme,"4,836","3,644",123,108
E05005615 : Minster,"5,177","3,374",305,324
E05005616 : Moorland,"5,350","3,458",316,209
E05005617 : Park,"6,717","5,033",452,431
E05005618 : Ashby de la Launde and Cranwell,"4,123","3,066",116,105
E05005619 : Bassingham and Brant Broughton,"3,529","2,552",68,118
"E05005620 : Billinghay, Martin and North Kyme","3,644","2,324",118,144
E05005621 : Bracebridge Heath and Waddington East,"6,701","5,121",182,195
E05005622 : Branston,"3,564","2,383",98,98
E05005623 : Cliff Villages,"3,806","2,561",66,123
"E05005624 : Eagle, Swinderby and Witham St Hughs","3,900","2,945",82,126
E05005625 : Heckington Rural,"3,859","2,482",123,128
E05005626 : Heighington and Washingborough,"4,946","3,421",115,145
E05005627 : Kirkby la Thorpe and South Kyme,"1,812","1,215",58,62
E05005628 : Leasingham and Rauceby,"1,519",950,38,34
E05005629 : Metheringham,"3,978","2,700",130,127
E05005630 : North Hykeham Forum,"1,374",914,27,41
E05005631 : North Hykeham Memorial,"2,078","1,474",49,52
E05005632 : North Hykeham Mill,"3,089","2,319",90,121
E05005633 : North Hykeham Moor,"1,957","1,306",39,63
E05005634 : North Hykeham Witham,"1,623","1,007",49,47
E05005635 : Osbournby,"1,727","1,138",55,65
E05005636 : Ruskington,"4,067","2,597",142,117
E05005637 : Skellingthorpe,"2,549","1,834",49,63
E05005638 : Sleaford Castle,"1,791","1,348",82,74
E05005639 : Sleaford Holdingham,"1,995","1,472",99,76
E05005640 : Sleaford Navigation,"1,890","1,299",109,66
E05005641 : Sleaford Quarrington and Mareham,"5,236","3,999",152,221
E05005642 : Sleaford Westholme,"2,028","1,330",103,80
E05005643 : Waddington West,"1,831","1,308",51,45
E05005644 : Crowland and Deeping St Nicholas,"4,496","3,323",150,122
"E05005645 : Donington, Quadring and Gosberton","5,162","3,516",194,155
E05005646 : Fleet,"1,555",969,43,38
E05005647 : Gedney,"1,756","1,097",71,66
E05005648 : Holbeach Hurn,"1,703","1,188",77,75
E05005649 : Holbeach Town,"5,124","3,447",244,165
E05005650 : Long Sutton,"5,208","3,213",184,129
"E05005651 : Moulton, Weston and Cowbit","4,917","3,297",185,151
E05005652 : Pinchbeck and Surfleet,"4,986","3,433",181,132
E05005653 : Spalding Castle,"1,798","1,295",74,49
E05005654 : Spalding Monks House,"3,812","2,848",123,85
E05005655 : Spalding St John's,"4,633","3,594",182,108
E05005656 : Spalding St Mary's,"3,306","2,359",128,94
E05005657 : Spalding St Paul's,"3,966","2,779",189,133
E05005658 : Spalding Wygate,"3,277","2,428",135,86
E05005659 : Sutton Bridge,"3,103","2,054",159,100
E05005660 : The Saints,"1,897","1,274",72,60
E05005661 : Whaplode and Holbeach St John's,"3,221","2,162",141,98
E05005662 : All Saints,"3,761","2,711",146,116
E05005663 : Aveland,"1,621","1,127",41,56
E05005664 : Barrowby,"1,426",945,35,43
E05005665 : Belmont,"3,826","3,029",94,95
E05005666 : Bourne East,"5,945","4,427",196,187
E05005667 : Bourne West,"4,311","3,083",127,139
E05005668 : Deeping St James,"5,358","4,048",161,157
E05005669 : Earlesfield,"5,129","3,553",372,231
E05005670 : Ermine,"2,021","1,475",56,68
E05005671 : Forest,"1,528","1,043",37,49
E05005672 : Glen Eden,"1,773","1,259",41,58
E05005673 : Grantham St John's,"4,615","3,493",220,155
E05005674 : Green Hill,"3,048","2,237",58,100
E05005675 : Greyfriars,"3,038","2,289",96,94
E05005676 : Harrowby,"4,013","2,644",185,171
E05005677 : Heath,"1,354",895,29,48
E05005678 : Hillsides,"1,630","1,172",47,45
E05005679 : Isaac Newton,"1,770","1,257",57,48
E05005680 : Lincrest,"1,624","1,095",42,61
E05005681 : Loveden,"1,847","1,350",51,54
E05005682 : Market and West Deeping,"4,642","3,308",178,132
E05005683 : Morkery,"1,830","1,381",57,39
E05005684 : Peascliffe,"1,531","1,015",40,49
E05005685 : Ringstone,"2,156","1,536",56,70
E05005686 : St Anne's,"3,574","2,630",161,138
E05005687 : St George's,"2,823","2,117",102,77
E05005688 : St Mary's,"3,382","2,441",139,118
E05005689 : St Wulfram's,"2,997","2,053",106,86
E05005690 : Saxonwell,"1,685","1,132",34,63
E05005691 : Stamford St John's,"4,409","3,412",84,110
E05005692 : Thurlby,"1,602","1,171",36,35
E05005693 : Toller,"1,926","1,303",58,76
E05005694 : Truesdale,"3,423","2,553",84,97
E05005695 : Witham Valley,"1,701","1,089",22,48
E05005696 : Bardney,"1,517","1,008",50,41
E05005697 : Caistor,"2,358","1,619",64,84
E05005698 : Cherry Willingham,"3,170","2,111",87,83
E05005699 : Dunholme,"1,807","1,254",43,96
E05005700 : Fiskerton,"1,552","1,077",49,48
E05005701 : Gainsborough East,"4,907","3,241",427,188
E05005702 : Gainsborough North,"5,017","3,457",294,179
E05005703 : Gainsborough South-West,"3,412","2,327",287,110
E05005704 : Hemswell,"1,910","1,313",81,74
E05005705 : Kelsey,"2,044","1,428",66,69
E05005706 : Lea,"1,580","1,055",43,52
E05005707 : Market Rasen,"3,903","2,592",164,181
E05005708 : Middle Rasen,"2,208","1,489",54,65
E05005709 : Nettleham,"3,415","2,268",64,184
E05005710 : Saxilby,"3,771","2,635",109,118
E05005711 : Scampton,"2,354","1,763",74,105
E05005712 : Scotter,"3,520","2,464",78,103
E05005713 : Stow,"1,694","1,160",43,57
E05005714 : Sudbrooke,"1,915","1,293",26,96
E05005715 : Thonock,"1,996","1,392",76,45
E05005716 : Torksey,"2,124","1,266",52,56
E05005717 : Waddingham and Spital,"1,884","1,341",67,50
E05005718 : Welton,"4,042","2,861",91,168
E05005719 : Wold View,"1,749","1,155",71,71
E05005720 : Yarborough,"1,682","1,199",37,44
E05005926 : Beanfield,"2,515","1,745",114,72
E05005927 : Central,"1,601","1,100",81,59
E05005928 : Danesholme,"2,956","2,045",149,101
E05005929 : East,"5,169","3,801",271,161
E05005930 : Exeter,"1,605","1,138",137,60
E05005931 : Great Oakley,"1,763","1,419",41,61
E05005932 : Kingswood,"4,910","3,313",415,182
E05005933 : Lodge Park,"2,437","1,751",117,79
E05005934 : Oakley Vale,"6,761","5,640",243,247
E05005935 : Rowlett,"3,250","2,442",160,113
E05005936 : Rural West,"1,272",935,19,38
E05005937 : Shire Lodge,"3,301","2,424",170,97
E05005938 : Stanion and Corby Village,"1,918","1,380",76,56
E05005939 : Tower Hill,"3,092","2,196",170,101
E05005940 : Weldon and Gretton,"2,499","1,837",59,77
E05005941 : Abbey North,"7,120","5,530",264,224
E05005942 : Abbey South,"2,498","1,685",107,39
E05005943 : Badby,"1,488","1,043",24,52
E05005944 : Barby and Kilsby,"3,430","1,840",60,114
E05005945 : Boughton and Pitsford,"1,243",897,22,49
E05005946 : Brampton,"1,380","1,004",24,47
E05005947 : Braunston,"1,313",893,44,37
E05005948 : Brixworth,"4,431","3,401",109,171
E05005949 : Byfield,"1,375",962,32,38
E05005950 : Clipston,"1,538","1,119",28,55
E05005951 : Crick,"1,358","1,025",38,44
E05005952 : Drayton,"4,541","3,326",212,157
E05005953 : Flore,"1,416","1,028",41,41
E05005954 : Hill,"4,117","3,009",193,163
E05005955 : Long Buckby,"3,099","2,306",83,98
E05005956 : Moulton,"3,084","2,179",73,162
E05005957 : Ravensthorpe,"1,378",994,13,45
E05005958 : Spratton,"1,357","1,005",35,41
E05005959 : Walgrave,"1,499","1,091",42,52
E05005960 : Weedon,"2,527","1,878",74,60
E05005961 : Welford,"1,413","1,028",42,57
E05005962 : West Haddon and Guilsborough,"1,690","1,302",53,73
E05005963 : Woodford,"2,733","2,081",85,83
E05005964 : Yelvertoft,"1,351",920,33,76
E05005965 : Barnwell,"1,434","1,073",32,50
E05005966 : Fineshade,"1,527","1,079",36,59
E05005967 : Higham Ferrers Chichele,"2,522","1,856",82,82
E05005968 : Higham Ferrers Lancaster,"3,735","2,834",123,110
E05005969 : Irthlingborough John Pyel,"3,381","2,593",161,105
E05005970 : Irthlingborough Waterloo,"2,850","2,014",104,107
E05005971 : King's Forest,"1,356",971,36,51
E05005972 : Lower Nene,"1,549","1,129",23,57
E05005973 : Lyveden,"1,519","1,115",47,43
E05005974 : Oundle,"4,406","2,798",97,580
E05005975 : Prebendal,"1,585","1,078",27,64
E05005976 : Raunds Saxon,"3,505","2,578",99,146
E05005977 : Raunds Windmill,"2,881","2,042",106,84
E05005978 : Rushden Bates,"3,289","2,473",109,109
E05005979 : Rushden Hayden,"5,248","3,842",324,186
E05005980 : Rushden Pemberton,"4,892","3,509",223,160
E05005981 : Rushden Sartoris,"3,151","2,351",78,89
E05005982 : Rushden Spencer,"4,575","3,383",178,107
E05005983 : Stanwick,"1,638","1,167",40,67
E05005984 : Thrapston Lakes,"3,378","2,506",95,96
E05005985 : Thrapston Market,"3,023","2,310",65,102
E05005986 : Woodford,"1,562","1,120",51,50
E05005987 : All Saints,"6,012","4,660",299,195
E05005988 : Avondale Grange,"3,877","2,686",289,147
E05005989 : Barton,"3,507","2,476",66,115
E05008549 : Brambleside,"3,444","2,602",110,108
E05005991 : Burton Latimer,"5,412","3,927",186,183
E05005992 : Desborough Loatland,"4,204","3,199",150,145
E05005993 : Desborough St Giles,"3,548","2,509",112,121
E05005994 : Ise Lodge,"5,409","4,013",137,152
E05005995 : Northfield,"1,954","1,472",123,51
E05005996 : Pipers Hill,"3,769","2,597",176,121
E05008550 : Queen Eleanor and Buccleuch,"1,945","1,426",39,53
E05005998 : Rothwell,"5,639","4,098",243,146
E05005999 : St Michael's and Wicksteed,"5,441","3,899",293,174
E05006000 : St Peter's,"3,403","2,668",100,106
E05006001 : Slade,"4,401","3,401",119,123
E05006002 : Welland,"2,003","1,434",38,58
E05006003 : William Knibb,"3,952","2,945",248,103
E05008824 : Abington,"7,429","5,886",300,403
E05008825 : Billing,"6,120","4,400",305,251
E05008826 : Boothville,"2,926","2,110",56,104
E05008827 : Brookside,"3,908","2,681",263,206
E05008828 : Castle,"11,349","8,709",756,760
E05008829 : Delapre and Briar Hill,"10,623","8,199",542,395
E05008830 : East Hunsbury,"7,631","6,313",211,222
E05008831 : Eastfield,"3,692","2,623",244,158
E05008832 : Headlands,"3,171","2,291",157,154
E05008833 : Kings Heath,"3,245","2,237",284,134
E05008834 : Kingsley,"3,966","2,942",168,185
E05008835 : Kingsthorpe,"3,346","2,418",94,88
E05008836 : Nene Valley,"7,669","6,153",201,285
E05008837 : New Duston,"7,346","5,577",185,200
E05008838 : Obelisk,"3,412","2,125",63,783
E05008839 : Old Duston,"5,209","3,690",160,139
E05008840 : Park,"3,179","2,238",73,102
E05008841 : Parklands,"3,221","2,137",78,92
E05008842 : Phippsville,"3,457","2,674",135,155
E05008843 : Rectory Farm,"3,930","2,951",203,179
E05008844 : Riverside,"3,208","2,451",146,125
E05008845 : Rushmills,"3,640","2,530",107,155
E05008846 : St David's,"3,569","2,429",272,275
E05008847 : St James,"4,175","3,256",306,151
E05008848 : Semilong,"4,654","3,373",296,498
E05008849 : Spencer,"3,990","2,767",286,182
E05008850 : Spring Park,"3,220","2,298",85,97
E05008851 : Sunnyside,"3,173","2,203",134,262
E05008852 : Talavera,"7,839","5,705",666,385
E05008853 : Trinity,"3,280","2,363",124,424
E05008854 : Upton,"3,817","3,201",108,117
E05008855 : West Hunsbury,"3,475","2,635",115,102
E05008856 : Westone,"2,813","1,914",100,103
E05006027 : Astwell,"1,487","1,173",28,44
E05006028 : Blakesley and Cote,"2,568","1,956",58,69
E05006029 : Blisworth and Roade,"3,169","2,198",85,92
E05006030 : Brackley East,"3,139","2,340",58,100
E05006031 : Brackley South,"3,133","2,454",78,92
E05006032 : Brackley West,"3,150","2,654",70,99
E05006033 : Brafield and Yardley,"3,004","2,203",74,75
E05006034 : Cosgrove and Grafton,"1,602","1,159",31,54
E05006035 : Danvers and Wardoun,"2,665","1,960",64,76
E05006036 : Deanshanger,"3,023","2,354",81,92
E05006037 : Grange Park,"2,956","2,590",76,87
E05006038 : Hackleton,"1,644","1,213",43,53
E05006039 : Harpole and Grange,"3,269","2,378",64,84
E05006040 : Heyfords and Bugbrooke,"3,184","2,330",86,119
E05006041 : Kings Sutton,"1,528","1,144",39,49
E05006042 : Kingthorn,"1,218",837,22,38
E05006043 : Little Brook,"1,652","1,242",30,39
E05006044 : Middleton Cheney,"2,760","2,078",43,84
E05006045 : Old Stratford,"1,453","1,100",41,40
E05006046 : Salcey,"1,689","1,294",45,49
E05006047 : Silverstone,"1,630","1,246",34,40
E05006048 : Steane,"1,494","1,105",38,55
E05006049 : Tove,"1,237",883,21,34
E05006050 : Towcester Brook,"4,323","3,392",150,129
E05006051 : Towcester Mill,"2,495","2,063",54,81
E05006052 : Washington,"1,303",977,28,38
E05006053 : Whittlewood,"1,546","1,126",35,35
E05008595 : Brickhill,"4,083","2,866",244,144
E05006055 : Castle,"5,532","4,131",300,189
E05006056 : Croyland,"5,762","3,965",305,227
E05006057 : Earls Barton,"3,922","2,899",103,135
E05006058 : Finedon,"3,219","2,248",141,95
E05008596 : Great Doddington and Wilby,"1,292",873,24,36
E05006060 : Hemmingwell,"5,801","4,064",389,242
E05006061 : Irchester,"3,492","2,494",129,73
E05006062 : North,"1,688","1,192",39,44
E05008597 : Queensway,"4,023","2,698",285,155
E05006064 : Redwell East,"3,194","2,352",82,121
E05006065 : Redwell West,"2,607","2,043",86,87
E05006066 : South,"1,531","1,122",41,38
E05008598 : Swanspool,"4,422","3,122",267,126
E05006068 : West,"1,281",928,35,45
E05006069 : Wollaston,"2,968","2,250",92,87
E05006362 : Hucknall Central,"5,338","3,722",254,177
E05006363 : Hucknall East,"5,969","4,280",344,177
E05006364 : Hucknall North,"5,191","3,670",227,171
E05006365 : Hucknall West,"7,188","5,099",317,196
E05006366 : Jacksdale,"2,409","1,647",95,72
E05006367 : Kirkby in Ashfield Central,"5,245","3,678",201,153
E05006368 : Kirkby in Ashfield East,"4,762","3,061",285,173
E05006369 : Kirkby in Ashfield West,"5,033","3,381",255,218
E05006370 : Selston,"4,969","3,370",199,169
E05006371 : Sutton in Ashfield Central,"8,323","5,370",465,278
E05006372 : Sutton in Ashfield East,"9,149","6,116",514,421
E05006373 : Sutton in Ashfield North,"8,104","5,393",379,265
E05006374 : Sutton in Ashfield West,"8,709","6,075",348,241
E05006375 : Underwood,"2,212","1,495",80,55
E05006376 : Woodhouse,"5,436","3,613",177,155
E05006377 : Beckingham,"1,652","1,145",53,48
E05006378 : Blyth,"1,646","1,129",38,37
E05006379 : Carlton,"4,134","2,684",163,113
E05006380 : Clayworth,"1,470",948,36,46
E05006381 : East Markham,"1,794","1,233",59,97
E05006382 : East Retford East,"5,137","3,536",250,164
E05006383 : East Retford North,"4,380","2,936",171,155
E05006384 : East Retford South,"3,062","2,138",166,97
E05006385 : East Retford West,"3,590","2,634",179,129
E05006386 : Everton,"1,710","1,194",44,53
E05006387 : Harworth,"5,733","3,764",289,215
E05006388 : Langold,"1,869","1,246",104,51
E05006389 : Misterton,"1,790","1,226",63,44
E05006390 : Rampton,"1,823","1,099",45,57
E05006391 : Ranskill,"1,843","1,182",58,124
E05006392 : Sturton,"1,725","1,191",33,61
E05006393 : Sutton,"2,580","1,333",65,68
E05006394 : Tuxford and Trent,"3,221","2,230",119,113
E05006395 : Welbeck,"1,523","1,025",52,52
E05006396 : Worksop East,"4,595","3,057",177,169
E05006397 : Worksop North,"6,649","5,055",226,227
E05006398 : Worksop North East,"4,639","3,109",151,137
E05006399 : Worksop North West,"5,730","4,211",241,203
E05006400 : Worksop South,"5,197","3,647",123,147
E05006401 : Worksop South East,"5,813","3,604",389,307
E05006402 : Attenborough,"1,673","1,187",49,74
E05006403 : Awsworth,"1,720","1,228",86,56
E05006404 : Beeston Central,"3,756","2,294",144,747
E05006405 : Beeston North,"4,311","2,769",208,629
E05006406 : Beeston Rylands,"4,308","3,149",182,266
E05006407 : Beeston West,"4,018","2,834",135,402
E05006408 : Bramcote,"5,243","3,564",133,263
E05006409 : Brinsley,"1,758","1,186",62,58
E05006410 : Chilwell East,"3,547","2,484",104,170
E05006411 : Chilwell West,"5,742","3,884",265,257
E05006412 : Cossall and Kimberley,"5,088","3,620",184,204
E05006413 : Eastwood North and Greasley (Beauvale),"2,366","1,664",85,78
E05006414 : Eastwood South,"6,777","4,393",424,229
E05006415 : Greasley (Giltbrook and Newthorpe),"4,725","3,247",149,120
E05006416 : Nuthall East and Strelley,"3,889","2,920",138,167
E05006417 : Nuthall West and Greasley (Watnall),"3,714","2,558",103,149
E05006418 : Stapleford North,"3,452","2,346",176,126
E05006419 : Stapleford South East,"3,643","2,595",163,119
E05006420 : Stapleford South West,"4,078","3,073",177,159
E05006421 : Toton and Chilwell Meadows,"5,976","4,605",140,231
E05006422 : Trowell,"1,789","1,238",49,70
E05006423 : Bestwood Village,"1,422",977,63,41
E05006424 : Bonington,"4,992","3,694",283,168
E05006425 : Burton Joyce and Stoke Bardolph,"2,515","1,742",59,71
E05006426 : Calverton,"5,227","3,713",199,164
E05006427 : Carlton,"5,120","3,647",206,202
E05006428 : Carlton Hill,"5,338","3,998",271,200
E05006429 : Daybrook,"3,663","2,575",213,137
E05006430 : Gedling,"4,888","3,493",160,180
E05006431 : Killisick,"1,709","1,121",128,88
E05006432 : Kingswell,"3,584","2,566",134,114
E05006433 : Lambley,"1,547","1,082",39,40
E05006434 : Mapperley Plains,"5,395","3,815",165,197
E05006435 : Netherfield and Colwick,"5,626","4,251",307,202
E05006436 : Newstead,"1,744","1,220",81,68
E05006437 : Phoenix,"3,640","2,680",175,127
E05006438 : Porchester,"5,190","3,896",201,195
E05006439 : Ravenshead,"4,139","2,738",74,139
E05006440 : St James,"3,204","2,203",104,105
E05006441 : St Marys,"4,825","3,331",216,193
E05006442 : Valley,"3,125","2,224",168,114
E05006443 : Woodborough,"1,422",930,39,40
E05006444 : Woodthorpe,"4,969","3,597",106,221
E05008857 : Abbott,"1,734","1,041",54,45
E05008858 : Berry Hill,"1,650","1,096",32,38
E05008859 : Brick Kiln,"2,260","1,541",99,86
E05008860 : Broomhill,"2,268","1,537",113,88
E05008861 : Bull Farm and Pleasley Hill,"2,611","1,644",165,101
E05008862 : Carr Bank,"2,399","1,543",186,86
E05008863 : Eakring,"2,017","1,478",42,60
E05008864 : Grange Farm,"2,110","1,542",54,54
E05008865 : Holly,"2,332","1,819",64,76
E05008866 : Hornby,"2,083","1,495",50,62
E05008867 : Kings Walk,"2,139","1,811",56,71
E05008868 : Kingsway,"2,243","1,512",79,80
E05008869 : Ladybrook,"2,535","1,757",184,79
E05008870 : Lindhurst,"2,219","1,459",47,73
E05008871 : Ling Forest,"1,972","1,364",64,70
E05008872 : Manor,"2,062","1,338",58,55
E05008873 : Market Warsop,"2,288","1,501",137,81
E05008874 : Maun Valley,"1,925","1,399",61,58
E05008875 : Meden,"1,966","1,144",80,60
E05008876 : Netherfield,"2,140","1,396",96,79
E05008877 : Newgate,"2,198","1,461",166,71
E05008878 : Newlands,"2,320","1,543",85,89
E05008879 : Oak Tree,"2,018","1,140",194,97
E05008880 : Oakham,"1,954","1,475",48,64
E05008881 : Park Hall,"2,381","1,583",112,79
E05008882 : Peafields,"2,116","1,475",85,62
E05008883 : Penniment,"2,056","1,307",101,71
E05008884 : Portland,"1,746","1,236",151,63
E05008885 : Racecourse,"2,234","1,571",109,83
E05008886 : Ransom Wood,"1,993","1,246",137,91
E05008887 : Sandhurst,"2,246","1,676",84,69
E05008888 : Sherwood,"1,873","1,297",79,62
E05008889 : Warsop Carrs,"2,307","1,481",101,80
E05008890 : Woodhouse,"2,363","1,458",169,105
E05008891 : Woodlands,"1,634","1,107",84,50
E05008892 : Yeoman Hill,"2,763","1,919",121,123
E05006464 : Balderton North,"3,573","2,459",116,117
E05006465 : Balderton West,"3,607","2,620",134,118
E05006466 : Beacon,"5,416","4,072",179,160
E05006467 : Blidworth,"3,255","2,187",145,117
E05006468 : Boughton,"3,682","2,314",182,150
E05006469 : Bridge,"3,694","2,687",217,124
E05006470 : Castle,"3,500","2,459",153,140
E05006471 : Caunton,"1,710","1,187",30,56
E05006472 : Clipstone,"3,249","2,283",137,120
E05006473 : Collingham and Meering,"3,310","2,168",70,94
E05006474 : Devon,"3,899","2,474",240,139
E05006475 : Edwinstowe,"3,799","2,556",111,130
E05006476 : Farndon,"4,336","3,193",113,104
E05006477 : Farnsfield and Bilsthorpe,"6,045","4,084",193,219
E05006478 : Lowdham,"4,326","2,971",107,143
E05006479 : Magnus,"3,815","2,729",210,138
E05006480 : Muskham,"1,858","1,318",50,56
E05006481 : Ollerton,"4,842","3,270",183,164
E05006482 : Rainworth,"5,144","3,497",186,204
E05006483 : Southwell East,"1,672","1,095",36,110
E05006484 : Southwell North,"1,657","1,073",42,73
E05006485 : Southwell West,"2,153","1,405",56,299
E05006486 : Sutton-on-Trent,"1,824","1,269",41,51
E05006487 : Trent,"1,781","1,215",25,80
E05006488 : Winthorpe,"1,998","1,386",39,51
E05006489 : Abbey,"3,274","2,474",85,177
E05006490 : Bingham East,"3,229","2,264",73,104
E05006491 : Bingham West,"3,379","2,566",126,137
E05006492 : Compton Acres,"3,629","2,791",107,246
E05006493 : Cotgrave,"5,296","3,916",253,164
E05006494 : Cranmer,"2,163","1,317",74,61
E05006495 : Edwalton Village,"2,588","1,730",73,115
E05006496 : Gamston,"3,872","3,072",110,149
E05006497 : Gotham,"1,510","1,045",25,55
E05006498 : Keyworth North,"1,157",733,24,42
E05006499 : Keyworth South,"3,640","2,486",109,126
E05006500 : Lady Bay,"3,781","2,992",102,261
E05006501 : Leake,"4,592","3,188",113,222
E05006502 : Lutterell,"2,712","1,869",69,128
E05006503 : Manvers,"2,894","2,075",61,73
E05006504 : Melton,"3,434","2,620",84,241
E05006505 : Musters,"3,056","2,273",88,244
E05006506 : Nevile,"1,397","1,008",26,39
E05006507 : Oak,"1,556","1,049",28,62
E05006508 : Ruddington,"5,194","3,871",144,175
E05006509 : Soar Valley,"2,106","1,175",35,600
E05006510 : Stanford,"1,921","1,371",32,72
E05006511 : Thoroton,"1,578","1,157",22,64
E05006512 : Tollerton,"1,320",886,27,50
E05006513 : Trent,"3,315","2,318",99,89
E05006514 : Trent Bridge,"3,743","2,695",138,610
E05006515 : Wiverton,"2,861","2,016",66,94
E05006516 : Wolds,"1,558","1,088",29,65
E05001842 : Aylestone,"4,846","3,361",162,330
E05001843 : Backbury,"2,219","1,533",57,76
E05001844 : Belmont,"7,163","5,293",384,256
E05001845 : Bircher,"2,020","1,342",26,86
E05001846 : Bringsty,"2,155","1,504",60,75
E05001847 : Bromyard,"4,225","2,895",140,162
"E05001848 : Burghill, Holmer and Lyde","2,426","1,732",52,97
E05001849 : Castle,"2,279","1,552",39,73
E05001850 : Central,"2,448","1,898",111,112
E05001851 : Credenhill,"2,517","1,830",81,88
E05001852 : Frome,"2,610","1,923",64,89
E05001853 : Golden Cross with Weobley,"2,063","1,351",53,81
E05001854 : Golden Valley North,"2,226","1,571",58,89
E05001855 : Golden Valley South,"2,139","1,544",43,70
E05001856 : Hagley,"2,804","2,158",74,98
E05001857 : Hampton Court,"2,018","1,389",55,59
E05001858 : Hollington,"1,585","1,104",37,57
E05001859 : Hope End,"4,087","2,685",130,135
E05001860 : Kerne Bridge,"2,302","1,610",66,92
E05001861 : Kington Town,"2,233","1,607",90,58
E05001862 : Ledbury,"6,731","4,792",212,207
E05001863 : Leominster North,"3,985","2,798",180,122
E05001864 : Leominster South,"4,332","2,985",177,152
E05001865 : Llangarron,"2,508","1,718",65,86
E05001866 : Mortimer,"2,365","1,668",50,71
E05001867 : Old Gore,"2,366","1,711",56,80
E05001868 : Pembridge and Lyonshall with Titley,"2,306","1,582",57,75
E05001869 : Penyard,"2,476","1,673",55,70
