KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05001495 : Marton,"3,495","2,448",122,125
E05001496 : Marton West,"3,817","2,709",97,149
E05001497 : Middlehaven,"3,973","1,917",387,953
E05001498 : Nunthorpe,"3,626","2,371",123,179
E05001499 : Pallister,"4,018","2,485",406,194
E05001500 : Park,"4,325","2,909",352,302
E05001501 : Park End,"4,272","2,730",476,217
E05001502 : Stainton and Thornton,"2,130","1,387",112,79
E05001503 : Thorntree,"4,225","2,406",551,230
E05001504 : University,"5,101","2,575",447,"1,239"
E05008018 : Alnwick,"3,413","2,388",189,116
E05008019 : Amble,"3,322","2,215",242,98
E05008020 : Amble West with Warkworth,"3,180","2,014",128,111
E05008021 : Ashington Central,"3,695","2,463",323,137
E05008022 : Bamburgh,"3,617","2,328",96,78
E05008023 : Bedlington Central,"3,127","2,153",132,98
E05008024 : Bedlington East,"3,530","2,408",274,127
E05008025 : Bedlington West,"4,131","2,971",155,176
E05008026 : Bellingham,"3,087","2,210",94,82
E05008027 : Berwick East,"3,542","2,511",164,97
E05008028 : Berwick North,"3,206","2,234",136,75
E05008029 : Berwick West with Ord,"2,911","1,940",106,95
E05008030 : Bothal,"3,259","2,270",125,123
E05008031 : Bywell,"3,233","2,272",78,127
E05008032 : Chevington with Longhorseley,"4,428","2,610",236,149
E05008033 : Choppington,"3,414","2,404",239,109
E05008034 : College,"3,846","2,488",305,148
E05008035 : Corbridge,"3,041","2,017",62,158
E05008036 : Cowpen,"3,136","1,980",219,138
E05008037 : Cramlington East,"4,019","2,698",202,133
E05008038 : Cramlington Eastfield,"3,842","2,817",143,160
E05008039 : Cramlington North,"4,041","3,122",74,172
E05008040 : Cramlington South East,"3,086","1,997",94,76
E05008041 : Cramlington Village,"3,308","2,117",133,100
E05008042 : Cramlington West,"3,984","2,748",251,138
E05008043 : Croft,"3,412","2,130",308,123
E05008044 : Haltwhistle,"3,598","2,463",122,105
E05008045 : Hartley,"3,635","2,480",131,102
E05008046 : Haydon,"3,539","2,405",148,125
E05008047 : Haydon and Hadrian,"3,316","2,380",89,103
E05008048 : Hexham Central with Acomb,"3,181","2,232",109,125
E05008049 : Hexham East,"2,896","1,985",123,104
E05008050 : Hexham West,"3,280","2,247",84,181
E05008051 : Hirst,"4,023","2,550",446,167
E05008052 : Holywell,"3,805","2,517",134,89
E05008053 : Humshaugh,"3,463","2,541",84,110
E05008054 : Isabella,"3,464","2,141",276,115
E05008055 : Kitty Brewster,"3,947","2,599",232,173
E05008056 : Lesbury,"3,721","2,512",120,118
E05008057 : Longhoughton,"3,275","2,342",96,105
E05008058 : Lynemouth,"3,635","2,391",205,142
E05008059 : Morpeth Kirkhill,"3,686","2,449",122,154
E05008060 : Morpeth North,"3,120","1,951",99,104
E05008061 : Morpeth Stobhill,"2,968","1,968",139,110
E05008062 : Newbiggin Central and East,"3,437","2,079",260,108
E05008063 : Newsham,"3,445","2,295",236,151
E05008064 : Norham and Islandshires,"3,377","2,254",104,92
E05008065 : Pegswood,"2,867","2,048",134,83
E05008066 : Plessey,"2,987","2,023",121,104
E05008067 : Ponteland East,"3,279","2,193",66,139
E05008068 : Ponteland North,"3,245","2,300",65,141
E05008069 : Ponteland South with Heddon,"3,057","1,922",66,135
E05008070 : Ponteland West,"3,204","2,175",56,137
E05008071 : Prudhoe East,"4,224","2,916",180,128
E05008072 : Prudhoe West,"3,832","2,854",116,156
E05008073 : Rothbury,"3,930","2,687",103,100
E05008074 : Seaton with Newbiggin West,"3,409","2,288",204,130
E05008075 : Seghill with Seaton Delaval,"4,142","2,881",222,127
E05008076 : Shilbottle,"3,678","2,495",119,118
E05008077 : Sleekburn,"2,965","1,934",209,103
E05008078 : South Blyth,"3,522","2,613",81,92
E05008079 : South Tynedale,"3,698","2,638",77,144
E05008080 : Stakeford,"3,525","2,315",124,100
E05008081 : Stocksfield and Broomhaugh,"3,544","2,451",73,111
E05008082 : Ulgham,"3,901","2,660",144,147
E05008083 : Wensleydale,"3,406","2,419",194,97
