KS105EW - Household composition,
ONS Crown Copyright Reserved [from Nomis on 19 December 2025],
,
population,All households
units,Households
rural urban,Total
household composition,All categories: Household composition
,
E05008038 : Cramlington Eastfield,"1,986"
E05008039 : Cramlington North,"2,003"
E05008040 : Cramlington South East,"1,884"
E05008041 : Cramlington Village,"2,030"
E05008042 : Cramlington West,"2,209"
E05008043 : Croft,"2,198"
E05008044 : Haltwhistle,"2,219"
E05008045 : Hartley,"2,259"
E05008046 : Haydon,"1,962"
E05008047 : Haydon and Hadrian,"1,896"
E05008048 : Hexham Central with Acomb,"2,084"
E05008049 : Hexham East,"1,830"
E05008050 : Hexham West,"1,811"
E05008051 : Hirst,"2,452"
E05008052 : Holywell,"2,368"
E05008053 : Humshaugh,"1,984"
E05008054 : Isabella,"2,238"
E05008055 : Kitty Brewster,"2,237"
E05008056 : Lesbury,"2,322"
E05008057 : Longhoughton,"1,788"
E05008058 : Lynemouth,"2,079"
E05008059 : Morpeth Kirkhill,"2,299"
E05008060 : Morpeth North,"1,919"
E05008061 : Morpeth Stobhill,"1,883"
E05008062 : Newbiggin Central and East,"2,191"
E05008063 : Newsham,"1,992"
E05008064 : Norham and Islandshires,"2,061"
E05008065 : Pegswood,"1,711"
E05008066 : Plessey,"1,737"
E05008067 : Ponteland East,"2,046"
E05008068 : Ponteland North,"1,859"
E05008069 : Ponteland South with Heddon,"1,737"
E05008070 : Ponteland West,"1,682"
E05008071 : Prudhoe East,"2,559"
E05008072 : Prudhoe West,"1,974"
E05008073 : Rothbury,"2,435"
E05008074 : Seaton with Newbiggin West,"1,884"
E05008075 : Seghill with Seaton Delaval,"2,507"
E05008076 : Shilbottle,"2,113"
E05008077 : Sleekburn,"1,834"
E05008078 : South Blyth,"1,853"
E05008079 : South Tynedale,"2,043"
E05008080 : Stakeford,"2,135"
E05008081 : Stocksfield and Broomhaugh,"2,043"
E05008082 : Ulgham,"2,262"
E05008083 : Wensleydale,"2,251"
E05008084 : Wooler,"2,029"
E05001505 : Brotton,"2,998"
E05001506 : Coatham,"2,634"
E05001507 : Dormanstown,"2,953"
E05001508 : Eston,"3,270"
E05001509 : Grangetown,"2,080"
E05001510 : Guisborough,"3,564"
E05001511 : Hutton,"3,057"
E05001512 : Kirkleatham,"3,153"
E05001513 : Lockwood,922
E05001514 : Loftus,"2,793"
E05001515 : Longbeck,"2,914"
E05001516 : Newcomen,"1,865"
E05001517 : Normanby,"3,025"
E05001518 : Ormesby,"2,682"
E05001519 : St Germain's,"2,858"
E05001520 : Saltburn,"2,865"
E05001521 : Skelton,"3,189"
E05001522 : South Bank,"2,786"
E05001523 : Teesville,"2,920"
E05001524 : West Dyke,"3,129"
E05001525 : Westworth,"1,931"
E05001526 : Zetland,"2,017"
E05001527 : Billingham Central,"3,131"
E05001528 : Billingham East,"3,086"
E05001529 : Billingham North,"3,700"
E05001530 : Billingham South,"2,744"
E05001531 : Billingham West,"2,416"
E05001532 : Bishopsgarth and Elm Tree,"2,930"
E05001533 : Eaglescliffe,"4,338"
E05001534 : Fairfield,"2,456"
E05001535 : Grangefield,"2,653"
E05001536 : Hardwick,"2,844"
E05001537 : Hartburn,"2,778"
E05001538 : Ingleby Barwick East,"3,806"
E05001539 : Ingleby Barwick West,"3,712"
E05001540 : Mandale and Victoria,"4,681"
E05001541 : Newtown,"2,970"
E05001542 : Northern Parishes,"1,284"
E05001543 : Norton North,"3,004"
E05001544 : Norton South,"3,099"
E05001545 : Norton West,"2,808"
E05001546 : Parkfield and Oxbridge,"3,378"
E05001547 : Roseworth,"3,044"
E05001548 : Stainsby Hill,"2,722"
E05001549 : Stockton Town Centre,"2,998"
E05001550 : Village,"3,074"
E05001551 : Western Parishes,"1,358"
E05001552 : Yarm,"4,145"
E05001067 : Birtley,"3,599"
E05001068 : Blaydon,"4,454"
E05001069 : Bridges,"4,327"
E05001070 : Chopwell and Rowlands Gill,"4,209"
E05001071 : Chowdene,"4,109"
E05001072 : Crawcrook and Greenside,"3,881"
E05001073 : Deckham,"4,428"
E05001074 : Dunston and Teams,"4,359"
E05001075 : Dunston Hill and Whickham East,"3,874"
E05001076 : Felling,"4,206"
E05001077 : High Fell,"4,181"
E05001078 : Lamesley,"3,984"
E05001079 : Lobley Hill and Bensham,"4,726"
E05001080 : Low Fell,"3,836"
E05001081 : Pelaw and Heworth,"4,069"
"E05001082 : Ryton, Crookhill and Stella","3,552"
E05001083 : Saltwell,"4,165"
E05001084 : Wardley and Leam Lane,"3,605"
E05001085 : Whickham North,"3,811"
E05001086 : Whickham South and Sunniside,"3,652"
E05001087 : Windy Nook and Whitehills,"4,375"
E05001088 : Winlaton and High Spen,"3,752"
E05001089 : Benwell and Scotswood,"5,426"
E05001090 : Blakelaw,"4,763"
E05001091 : Byker,"5,835"
E05001092 : Castle,"4,260"
E05001093 : Dene,"3,885"
E05001094 : Denton,"4,574"
E05001095 : East Gosforth,"4,375"
E05001096 : Elswick,"5,116"
E05001097 : Fawdon,"4,474"
E05001098 : Fenham,"4,441"
E05001099 : Kenton,"4,880"
E05001100 : Lemington,"4,490"
E05001101 : Newburn,"4,270"
E05001102 : North Heaton,"3,795"
E05001103 : North Jesmond,"3,668"
E05001104 : Ouseburn,"4,194"
E05001105 : Parklands,"4,086"
E05001106 : South Heaton,"4,350"
E05001107 : South Jesmond,"4,086"
E05001108 : Walker,"5,382"
E05001109 : Walkergate,"4,353"
E05001110 : Westerhope,"4,103"
E05001111 : Westgate,"4,869"
E05001112 : West Gosforth,"4,099"
E05001113 : Wingrove,"4,645"
E05001114 : Woolsington,"4,734"
E05001115 : Battle Hill,"4,758"
E05001116 : Benton,"4,676"
E05001117 : Camperdown,"4,620"
E05001118 : Chirton,"5,405"
E05001119 : Collingwood,"4,885"
E05001120 : Cullercoats,"4,255"
E05001121 : Howdon,"5,029"
E05001122 : Killingworth,"4,187"
E05001123 : Longbenton,"5,061"
E05001124 : Monkseaton North,"3,741"
E05001125 : Monkseaton South,"4,313"
E05001126 : Northumberland,"3,582"
E05001127 : Preston,"3,892"
E05001128 : Riverside,"5,839"
E05001129 : St Mary's,"3,587"
E05001130 : Tynemouth,"5,276"
E05001131 : Valley,"4,714"
E05001132 : Wallsend,"5,217"
E05001133 : Weetslade,"4,259"
E05001134 : Whitley Bay,"3,999"
E05001135 : Beacon and Bents,"4,316"
E05001136 : Bede,"3,410"
E05001137 : Biddick and All Saints,"3,968"
E05001138 : Boldon Colliery,"4,119"
E05001139 : Cleadon and East Boldon,"3,621"
E05001140 : Cleadon Park,"3,059"
E05001141 : Fellgate and Hedworth,"3,419"
E05001142 : Harton,"3,720"
E05001143 : Hebburn North,"3,945"
E05001144 : Hebburn South,"3,476"
E05001145 : Horsley Hill,"4,035"
E05001146 : Monkton,"3,683"
E05001147 : Primrose,"3,594"
E05001148 : Simonside and Rekendyke,"4,379"
E05001149 : Westoe,"3,638"
E05001150 : West Park,"3,765"
E05001151 : Whitburn and Marsden,"3,323"
E05001152 : Whiteleas,"3,697"
E05001153 : Barnes,"4,562"
E05001154 : Castle,"4,640"
E05001155 : Copt Hill,"4,789"
E05001156 : Doxford,"4,134"
E05001157 : Fulwell,"4,973"
E05001158 : Hendon,"5,798"
E05001159 : Hetton,"4,982"
E05001160 : Houghton,"4,885"
E05001161 : Millfield,"4,839"
E05001162 : Pallion,"4,290"
E05001163 : Redhill,"5,063"
E05001164 : Ryhope,"4,454"
E05001165 : St Anne's,"4,528"
E05001166 : St Chad's,"4,441"
E05001167 : St Michael's,"5,065"
E05001168 : St Peter's,"4,931"
E05001169 : Sandhill,"5,115"
E05001170 : Shiney Row,"5,320"
E05001171 : Silksworth,"4,562"
E05001172 : Southwick,"4,870"
E05001173 : Washington Central,"4,846"
E05001174 : Washington East,"4,363"
E05001175 : Washington North,"5,062"
E05001176 : Washington South,"4,384"
E05001177 : Washington West,"4,862"
E05001620 : Audley,"3,141"
E05001621 : Bastwell,"2,123"
E05001622 : Beardwood with Lammack,"2,184"
E05001623 : Corporation Park,"2,234"
E05001624 : Earcroft,"1,949"
E05001625 : East Rural,826
E05001626 : Ewood,"3,022"
E05001627 : Fernhurst,"2,227"
E05001628 : Higher Croft,"3,127"
E05001629 : Little Harwood,"2,432"
E05001630 : Livesey with Pleasington,"2,825"
E05001631 : Marsh House,"2,784"
E05001632 : Meadowhead,"2,465"
E05001633 : Mill Hill,"2,905"
E05001634 : North Turton with Tockholes,"1,822"
E05001635 : Queen's Park,"2,467"
E05001636 : Roe Lee,"2,581"
E05001637 : Shadsworth with Whitebirk,"3,334"
E05001638 : Shear Brow,"2,352"
E05001639 : Sudell,"3,150"
E05001640 : Sunnyhurst,"2,680"
E05001641 : Wensley Fold,"2,980"
E05001642 : Whitehall,"1,743"
E05001643 : Anchorsholme,"3,160"
E05001644 : Bispham,"2,912"
E05001645 : Bloomfield,"3,132"
E05001646 : Brunswick,"3,297"
E05001647 : Claremont,"3,595"
E05001648 : Clifton,"3,194"
E05001649 : Greenlands,"3,082"
E05001650 : Hawes Side,"3,245"
E05001651 : Highfield,"2,902"
E05001652 : Ingthorpe,"3,220"
E05001653 : Layton,"3,073"
E05001654 : Marton,"3,015"
E05001655 : Norbreck,"2,753"
E05001656 : Park,"3,273"
E05001657 : Squires Gate,"2,741"
E05001658 : Stanley,"2,991"
E05001659 : Talbot,"3,075"
E05001660 : Tyldesley,"2,975"
E05001661 : Victoria,"3,039"
E05001662 : Warbreck,"2,776"
E05001663 : Waterloo,"2,917"
E05008610 : Alderley Edge,"2,197"
E05008611 : Alsager,"5,183"
E05008612 : Audlem,"1,972"
E05008613 : Bollington,"3,770"
E05008614 : Brereton Rural,"1,985"
E05008615 : Broken Cross and Upton,"3,537"
E05008616 : Bunbury,"1,917"
E05008617 : Chelford,"1,697"
E05008618 : Congleton East,"5,658"
E05008619 : Congleton West,"5,903"
E05008620 : Crewe Central,"2,557"
E05008621 : Crewe East,"6,197"
E05008622 : Crewe North,"2,060"
E05008623 : Crewe St Barnabas,"2,303"
E05008624 : Crewe South,"4,843"
E05008625 : Crewe West,"4,447"
E05008626 : Dane Valley,"3,891"
E05008627 : Disley,"1,902"
E05008628 : Gawsworth,"1,656"
E05008629 : Handforth,"4,241"
E05008630 : Haslington,"3,284"
E05008631 : High Legh,"1,857"
E05008632 : Knutsford,"5,910"
E05008633 : Leighton,"1,959"
E05008634 : Macclesfield Central,"4,507"
E05008635 : Macclesfield East,"1,988"
E05008636 : Macclesfield Hurdsfield,"2,185"
E05008637 : Macclesfield South,"3,666"
E05008638 : Macclesfield Tytherington,"3,720"
E05008639 : Macclesfield West and Ivy,"3,586"
E05008640 : Middlewich,"5,671"
E05008641 : Mobberley,"1,962"
E05008642 : Nantwich North and West,"4,179"
E05008643 : Nantwich South and Stapeley,"3,765"
E05008644 : Odd Rode,"3,652"
E05008645 : Poynton East and Pott Shrigley,"3,297"
E05008646 : Poynton West and Adlington,"3,473"
E05008647 : Prestbury,"1,814"
E05008648 : Sandbach Elworth,"1,837"
E05008649 : Sandbach Ettiley Heath and Wheelock,"1,816"
E05008650 : Sandbach Heath and East,"1,995"
E05008651 : Sandbach Town,"2,192"
E05008652 : Shavington,"1,757"
E05008653 : Sutton,"1,834"
E05008654 : Willaston and Rope,"1,995"
E05008655 : Wilmslow Dean Row,"1,921"
E05008656 : Wilmslow East,"1,864"
E05008657 : Wilmslow Lacey Green,"1,866"
E05008658 : Wilmslow West and Chorley,"4,133"
E05008659 : Wistaston,"3,927"
E05008660 : Wrenbury,"1,846"
E05008661 : Wybunbury,"2,067"
E05008662 : Blacon,"5,830"
E05008663 : Boughton,"2,884"
E05008664 : Chester City,"2,218"
E05008665 : Chester Villages,"3,425"
E05008666 : Davenham and Moulton,"5,631"
E05008667 : Dodleston and Huntington,"1,659"
E05008668 : Ellesmere Port Town,"4,076"
E05008669 : Elton,"1,948"
E05008670 : Farndon,"1,718"
E05008671 : Frodsham,"4,025"
E05008672 : Garden Quarter,"2,029"
E05008673 : Gowy,"1,633"
E05008674 : Grange,"1,948"
E05008675 : Great Boughton,"3,895"
E05008676 : Handbridge Park,"4,094"
E05008677 : Hartford and Greenbank,"3,479"
E05008678 : Helsby,"2,143"
E05008679 : Hoole,"4,100"
E05008680 : Kingsley,"1,720"
E05008681 : Lache,"2,514"
E05008682 : Ledsham and Manor,"3,168"
E05008683 : Little Neston and Burton,"3,677"
E05008684 : Malpas,"1,709"
E05008685 : Marbury,"5,097"
E05008686 : Neston,"1,940"
E05008687 : Netherpool,"1,457"
E05008688 : Newton,"4,341"
E05008689 : Parkgate,"1,639"
E05008690 : Rossmore,"1,918"
E05008691 : St Paul's,"3,993"
E05008692 : Saughall and Mollington,"1,837"
E05008693 : Shakerley,"1,716"
E05008694 : Strawberry,"2,017"
E05008695 : Sutton,"3,840"
E05008696 : Tarporley,"1,924"
E05008697 : Tarvin and Kelsall,"3,371"
E05008698 : Tattenhall,"1,869"
E05008699 : Upton,"3,638"
